,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,689289.0,5062.0,378368,40.257,0.01243,1.991,20.001,16.001,20.005,791599,1778393,4679145,10002533,17251670,791599,1778393,10002533,4679145,0.9570853
1,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,836826.0,6231.0,416173,40.293,0.01781,1.993,20.002,16.0,20.001,792634,1770608,4686500,10000595,17250337,792634,1770608,10000595,4686500,0.9575165
2,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,773476.0,5782.0,57027,40.268,0.0149,1.989,20.008,15.994,19.996,790018,1768036,4682044,9998132,17238230,790018,1768036,9998132,4682044,0.95736164
3,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,717201.0,5225.0,982388,40.309,0.01308,1.993,19.995,16.013,20.004,791601,1766627,4692813,10001875,17252916,791601,1766627,10001875,4692813,0.95792794
4,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,738711.0,5409.0,87907,40.25,0.01372,1.991,20.008,15.993,19.993,791637,1770645,4688939,9996388,17247609,791637,1770645,9996388,4688939,0.95735973
5,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,798589.0,6016.0,939244,40.298,0.01595,1.994,20.004,16.002,19.996,792017,1766052,4685236,9998001,17241306,792017,1766052,9998001,4685236,0.957728
6,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,741372.0,5541.0,612717,40.294,0.01376,1.99,19.997,15.995,20.0,790740,1771069,4685727,10000160,17247696,790740,1771069,10000160,4685727,0.95758635
7,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,752739.0,5502.0,55128,40.333,0.01411,1.999,20.016,15.994,19.995,795076,1764085,4688176,9997536,17244873,795076,1764085,9997536,4688176,0.95820206
8,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,792191.0,5928.0,669478,40.288,0.01564,1.991,20.013,16.004,20.003,791741,1767272,4682859,10001420,17243292,791741,1767272,10001420,4682859,0.95751774
9,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,640250.0,4520.0,681268,40.299,0.01143,1.99,20.001,16.0,19.997,790842,1770385,4690621,9998578,17250426,790842,1770385,9998578,4690621,0.9578885
10,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,791698.0,5981.0,584138,40.27,0.0156,1.992,20.009,16.006,19.997,792418,1774267,4684350,9998302,17249337,792418,1774267,9998302,4684350,0.95716953
11,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,777237.0,5768.0,437928,40.271,0.01503,1.991,19.995,16.004,19.996,791127,1768279,4685916,9997772,17243094,791127,1768279,9997772,4685916,0.9576213
12,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,844061.0,6397.0,728587,40.261,0.01835,1.989,19.998,16.004,20.006,790086,1775238,4683255,10002945,17251524,790086,1775238,10002945,4683255,0.95721
13,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,865589.0,6512.0,114224,40.255,0.0199,1.994,20.004,15.995,19.988,792886,1772716,4684034,9994143,17243779,792886,1772716,9994143,4684034,0.95725995
14,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,750356.0,5512.0,242512,40.242,0.0141,1.993,19.995,16.004,20.004,792184,1770767,4695085,10001980,17260016,792184,1770767,10001980,4695085,0.9574215
15,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,790935.0,5853.0,278084,40.302,0.01552,1.994,19.986,15.992,20.002,792830,1766826,4680910,10000765,17241331,792830,1766826,10000765,4680910,0.9578166
16,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,805157.0,6047.0,172187,40.243,0.01621,1.99,20.003,16.005,19.996,789741,1768090,4689451,9998222,17245504,789741,1768090,9998222,4689451,0.9569613
17,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,856128.0,6472.0,119440,40.315,0.01926,1.996,19.991,16.003,19.988,792505,1766039,4688656,9993885,17241085,792505,1766039,9993885,4688656,0.95793796
18,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,796552.0,5886.0,870285,40.258,0.0158,1.993,20.002,15.998,20.006,791566,1770221,4689196,10003010,17253993,791566,1770221,10003010,4689196,0.9573408
19,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,835637.0,6455.0,331123,40.304,0.01781,1.993,20.004,16.002,20.007,791142,1771708,4681454,10003306,17247610,791142,1771708,10003306,4681454,0.95786333
20,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,793710.0,5816.0,226785,40.245,0.0156,1.994,19.995,15.992,20.001,793224,1768298,4688254,10000434,17250210,793224,1768298,10000434,4688254,0.95712674
21,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,844112.0,6354.0,569282,40.29,0.01834,1.992,20.011,15.997,19.996,791001,1772758,4680825,9998039,17242623,791001,1772758,9998039,4680825,0.9578806
