,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,888720.0,1215.0,855138,23.147,0.01623,7.676,20.008,15.997,20.007,3836248,3851286,3212305,10003380,20903219,3836248,3851286,10003380,3212305,0.7410897
1,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,853858.0,1325.0,744989,23.149,0.01402,7.656,20.002,16.005,19.997,3826127,3845435,3215061,9998483,20885106,3826127,3845435,9998483,3215061,0.7409173
2,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,850920.0,1200.0,501219,23.142,0.0138,7.674,20.001,15.999,20.003,3835335,3852912,3212940,10001267,20902454,3835335,3852912,10001267,3212940,0.7411994
3,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,902210.0,1295.0,118614,23.151,0.01745,7.663,20.01,16.0,19.997,3829586,3845132,3213171,9998535,20886424,3829586,3845132,9998535,3213171,0.74082446
4,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,895425.0,1240.0,646017,23.178,0.01682,7.657,20.004,16.0,19.998,3826909,3840474,3217073,9998831,20883287,3826909,3840474,9998831,3217073,0.7414047
5,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,934347.0,1317.0,643206,23.18,0.02159,7.674,19.996,15.998,20.005,3835495,3847587,3216957,10002648,20902687,3835495,3847587,10002648,3216957,0.74169064
6,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,905869.0,1245.0,859393,23.187,0.0178,7.675,20.006,15.985,20.002,3835466,3843507,3217873,10000943,20897789,3835466,3843507,10000943,3217873,0.7416177
7,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,910129.0,1286.0,351576,23.15,0.01826,7.678,19.997,16.006,19.997,3837168,3847415,3217501,9998475,20900559,3837168,3847415,9998475,3217501,0.741105
8,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,889947.0,1180.0,567032,23.155,0.01637,7.677,20.0,15.987,20.006,3836607,3849309,3212787,10003020,20901723,3836607,3849309,10003020,3212787,0.741237
9,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,909683.0,1265.0,850695,23.173,0.01828,7.654,20.007,15.994,20.006,3825119,3843043,3217064,10002874,20888100,3825119,3843043,10002874,3217064,0.7413239
