,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,744261.0,5987.0,211374,41.889,0.01291,2.222,20.008,15.998,20.003,941011,1788511,4597761,10001319,17328602,941011,1788511,10001319,4597761,0.9865555
1,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,870228.0,7231.0,512730,41.9,0.01853,2.214,20.012,16.001,19.999,938459,1792560,4592138,9999466,17322623,938459,1792560,9999466,4592138,0.9864234
2,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,846954.0,6837.0,110277,41.885,0.01701,2.221,20.002,16.008,19.994,940914,1790441,4593461,9997125,17321941,940914,1790441,9997125,4593461,0.986461
3,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,837709.0,6912.0,808452,41.856,0.01643,2.217,20.001,15.997,20.005,938204,1794609,4592072,10002681,17327566,938204,1794609,10002681,4592072,0.9860022
4,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,778386.0,6299.0,820894,41.913,0.01392,2.223,20.005,16.004,20.003,942008,1785399,4592265,10001460,17321132,942008,1785399,10001460,4592265,0.9868569
5,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,694224.0,5434.0,58009,41.893,0.01166,2.22,19.994,15.998,19.998,939862,1782425,4605704,9998818,17326809,939862,1782425,9998818,4605704,0.98672813
6,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,832052.0,6670.0,870005,41.887,0.01618,2.22,20.009,16.001,20.005,940247,1788630,4597382,10002471,17328730,940247,1788630,10002471,4597382,0.98665464
7,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,841071.0,6829.0,186856,41.893,0.01653,2.218,20.008,16.0,20.001,939069,1788042,4598389,10000653,17326153,939069,1788042,10000653,4598389,0.9865403
8,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,863085.0,7147.0,379333,41.871,0.01794,2.217,19.996,16.002,20.007,939211,1791393,4594337,10003360,17328301,939211,1791393,10003360,4594337,0.9863496
9,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,819086.0,6605.0,813813,41.905,0.01556,2.214,20.004,15.986,19.996,937011,1786508,4596946,9997829,17318294,937011,1786508,9997829,4596946,0.98671675
10,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,823246.0,6690.0,742932,41.889,0.01572,2.219,20.033,16.004,19.999,940164,1794484,4595239,9999645,17329532,940164,1794484,9999645,4595239,0.9866855
11,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,785361.0,6247.0,89953,41.831,0.01419,2.217,20.001,16.0,19.999,938379,1802197,4587100,9999559,17327235,938379,1802197,9999559,4587100,0.9857051
12,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,886744.0,7356.0,453360,41.903,0.01986,2.22,19.987,16.013,20.0,940727,1781022,4600660,10000104,17322513,940727,1781022,10000104,4600660,0.9868162
13,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,869267.0,7112.0,626231,41.908,0.01839,2.22,20.006,15.998,19.997,940924,1789664,4595750,9998392,17324730,940924,1789664,9998392,4595750,0.98658663
14,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,850027.0,6814.0,971490,41.884,0.01714,2.217,20.017,16.0,20.001,939148,1786362,4601467,10000591,17327568,939148,1786362,10000591,4601467,0.9863731
15,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,852690.0,6813.0,9007,41.893,0.01728,2.221,19.992,15.993,19.989,940622,1791656,4588265,9994544,17315087,940622,1791656,9994544,4588265,0.9866249
16,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,881869.0,7359.0,52521,41.89,0.01931,2.22,19.986,15.995,19.989,941323,1793005,4590792,9994719,17319839,941323,1793005,9994719,4590792,0.9865903
17,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,766491.0,6347.0,454875,41.94,0.01349,2.22,20.016,16.0,20.002,940424,1787723,4591137,10000973,17320257,940424,1787723,10000973,4591137,0.98705727
18,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,835698.0,6807.0,258044,41.938,0.01632,2.22,19.996,16.0,20.004,940588,1784643,4587969,10002090,17315290,940588,1784643,10002090,4587969,0.9870363
19,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,664012.0,5345.0,826780,41.869,0.01111,2.221,20.007,15.995,19.996,940753,1787555,4594221,9998134,17320663,940753,1787555,9998134,4594221,0.9863178
20,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,855791.0,6933.0,781725,41.885,0.01745,2.218,20.013,15.999,19.993,940064,1793501,4592131,9996393,17322089,940064,1793501,9996393,4592131,0.98656297
21,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,892271.0,7250.0,906525,41.875,0.02039,2.218,20.005,16.01,19.993,939807,1785478,4606825,9996513,17328623,939807,1785478,9996513,4606825,0.9862829
22,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,838971.0,6895.0,599903,41.896,0.01657,2.218,20.004,15.995,19.997,938844,1786942,4596323,9998537,17320646,938844,1786942,9998537,4596323,0.98662174
23,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,831906.0,6740.0,269419,41.892,0.01615,2.22,20.015,15.998,19.997,939916,1789879,4592845,9998299,17320939,939916,1789879,9998299,4592845,0.98649335
24,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,837395.0,6792.0,234514,41.891,0.01647,2.218,20.005,16.003,19.998,938607,1788802,4592779,9998844,17319032,938607,1788802,9998844,4592779,0.98642635
25,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,763681.0,6109.0,568514,41.936,0.01347,2.215,19.994,15.998,20.003,938562,1783520,4596611,10001713,17320406,938562,1783520,10001713,4596611,0.98697716
26,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,591918.0,4655.0,583556,41.93,0.00994,2.219,20.02,15.994,19.997,940300,1795171,4589906,9998368,17323745,940300,1795171,9998368,4589906,0.9867654
27,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,845388.0,6982.0,248742,41.914,0.0169,2.218,20.01,16.001,19.996,939319,1787191,4590418,9998235,17315163,939319,1787191,9998235,4590418,0.98677546
28,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,724692.0,5715.0,542107,41.833,0.01235,2.218,20.0,16.001,20.015,938975,1791105,4600488,10007418,17337986,938975,1791105,10007418,4600488,0.9860102
29,serbia,1000000,1000,2020-01-01,2020-12-31,hybrid,803078.0,6509.0,167815,41.916,0.0148,2.223,19.998,16.0,20.003,941799,1786822,4592692,10001256,17322569,941799,1786822,10001256,4592692,0.9867261
