,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,959550.0,7109.0,965787,41.377,0.03506,2.16,20.01,16.004,19.999,902009,1655393,4823060,9999535,17379997,902009,1655393,9999535,4823060,0.97845536
1,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,968259.0,7205.0,657173,41.421,0.03987,2.159,20.022,15.998,20.011,900891,1661375,4812587,10005582,17380435,900891,1661375,10005582,4812587,0.97871566
2,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,962876.0,7225.0,231711,41.424,0.03676,2.157,19.999,16.006,19.994,900750,1653151,4826190,9997151,17377242,900750,1653151,9997151,4826190,0.97897583
3,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,950585.0,6975.0,725732,41.371,0.03147,2.16,19.988,16.0,20.0,901712,1651542,4825201,9999871,17378326,901712,1651542,9999871,4825201,0.9783554
4,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,941490.0,6844.0,306510,41.413,0.02857,2.161,19.985,16.003,20.002,902412,1653353,4826265,10000871,17382901,902412,1653353,10000871,4826265,0.9788671
5,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,964467.0,7142.0,285892,41.433,0.03771,2.159,19.971,15.992,20.001,901411,1651368,4824116,10000361,17377256,901411,1651368,10000361,4824116,0.97926205
6,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,961589.0,7135.0,117104,41.418,0.03601,2.156,19.998,16.004,19.989,900160,1653459,4824465,9994718,17372802,900160,1653459,9994718,4824465,0.97886896
7,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,959418.0,7050.0,101687,41.408,0.03481,2.157,19.998,15.99,20.0,900921,1655801,4822365,9999800,17378887,900921,1655801,9999800,4822365,0.9786582
8,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,955568.0,7216.0,249007,41.405,0.03318,2.158,20.007,15.999,20.001,900736,1656017,4819623,10000322,17376698,900736,1656017,10000322,4819623,0.978783
9,slovakia,1000000,1000,2020-01-01,2020-12-31,hybrid,961625.0,7016.0,754390,41.394,0.03601,2.159,20.041,15.994,20.002,901092,1657564,4817734,10001019,17377409,901092,1657564,10001019,4817734,0.9783862
