,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,770356.0,7723.0,915340,44.031,0.01449,1.907,20.022,15.997,19.995,733544,1547517,4604475,9997416,16882952,733544,1547517,9997416,4604475,1.0010941
1,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,814939.0,8220.0,893870,44.011,0.01628,1.907,20.001,15.999,19.994,732823,1541509,4610989,9997126,16882447,732823,1541509,9997126,4610989,1.0011176
2,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,840715.0,8454.0,59032,44.019,0.01762,1.905,20.003,16.003,20.001,733568,1543072,4609245,10000525,16886410,733568,1543072,10000525,4609245,1.0012158
3,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,793380.0,8008.0,337809,44.016,0.01539,1.909,20.022,16.0,19.996,734768,1545790,4609258,9998215,16888031,734768,1545790,9998215,4609258,1.0010685
4,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,839982.0,8651.0,747634,44.003,0.01763,1.911,19.982,16.003,20.0,735604,1540805,4605216,10000041,16881666,735604,1540805,10000041,4605216,1.0010118
5,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,900394.0,9135.0,947881,43.981,0.02287,1.903,19.996,16.005,20.0,731542,1546169,4611135,9999774,16888620,731542,1546169,9999774,4611135,1.0007136
6,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,811764.0,8146.0,953674,43.969,0.01615,1.911,19.994,16.004,20.006,735066,1546281,4601559,10003064,16885970,735066,1546281,10003064,4601559,1.0005119
7,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,793487.0,7995.0,128234,43.98,0.01543,1.905,20.004,16.007,20.002,732995,1545554,4611733,10001035,16891317,732995,1545554,10001035,4611733,1.0009098
8,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,861100.0,8783.0,277664,43.983,0.01906,1.908,19.993,16.0,19.993,733110,1547205,4603086,9996432,16879833,733110,1547205,9996432,4603086,1.000742
9,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,868434.0,8870.0,426366,44.022,0.01967,1.906,20.015,16.002,19.993,733541,1544955,4604163,9996432,16879091,733541,1544955,9996432,4604163,1.0009509
10,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,725699.0,7161.0,843611,44.006,0.01312,1.908,19.986,15.989,19.993,733231,1546024,4603115,9996565,16878935,733231,1546024,9996565,4603115,1.0010873
11,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,803962.0,8092.0,130201,44.027,0.0158,1.909,20.021,15.992,20.001,734466,1540061,4603623,10000577,16878727,734466,1540061,10000577,4603623,1.0014458
12,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,851628.0,8625.0,522659,43.971,0.0184,1.906,20.006,15.994,19.992,733173,1549044,4603753,9996106,16882076,733173,1549044,9996106,4603753,1.0004601
13,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,697195.0,6724.0,647891,43.986,0.0125,1.904,20.003,16.006,20.001,731242,1546943,4611886,10000523,16890594,731242,1546943,10000523,4611886,1.0008314
14,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,820562.0,8170.0,161333,44.008,0.01657,1.906,20.02,15.999,19.992,733037,1544178,4613806,9996224,16887245,733037,1544178,9996224,4613806,1.0008308
15,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,833192.0,8258.0,123230,44.031,0.01733,1.909,19.996,15.99,19.998,734862,1542680,4605617,9998783,16881942,734862,1542680,9998783,4605617,1.0009944
16,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,804837.0,8026.0,621276,44.005,0.01593,1.909,19.994,15.997,19.999,734198,1543132,4613212,9999443,16889985,734198,1543132,9999443,4613212,1.0009856
17,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,838059.0,8386.0,41505,43.999,0.01749,1.906,20.009,15.999,19.995,733452,1554274,4608191,9997476,16893393,733452,1554274,9997476,4608191,1.0009898
18,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,834455.0,8408.0,421664,44.031,0.01727,1.908,20.017,16.005,19.997,734456,1542508,4611481,9998499,16886944,734456,1542508,9998499,4611481,1.0012949
19,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,853073.0,8548.0,459714,43.964,0.01851,1.905,19.993,16.005,19.995,732769,1557207,4604817,9997545,16892338,732769,1557207,9997545,4604817,1.0003794
20,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,760814.0,7492.0,356956,44.021,0.01415,1.905,19.999,16.013,19.996,733299,1541461,4612501,9998057,16885318,733299,1541461,9998057,4612501,1.0012343
21,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,771897.0,7672.0,350594,44.017,0.01449,1.907,19.979,16.0,19.997,734100,1548273,4601896,9998607,16882876,734100,1548273,9998607,4601896,1.0010861
22,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,843744.0,8459.0,256153,44.003,0.01786,1.908,20.008,15.994,19.998,734697,1549054,4599643,9998880,16882274,734697,1549054,9998880,4599643,1.0010693
23,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,845615.0,8554.0,672772,44.013,0.01794,1.909,19.998,15.997,19.999,735050,1542057,4606477,9999472,16883056,735050,1542057,9999472,4606477,1.0012782
24,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,833971.0,8418.0,965329,44.006,0.0173,1.908,20.004,16.003,19.994,734192,1543484,4607447,9997187,16882310,734192,1543484,9997187,4607447,1.0010387
25,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,791643.0,7782.0,562727,44.053,0.01526,1.909,20.011,16.004,20.006,735077,1538839,4607327,10003053,16884296,735077,1538839,10003053,4607327,1.0014725
26,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,719446.0,7085.0,736328,43.963,0.01296,1.905,20.006,16.0,19.998,731744,1547273,4610901,9998917,16888835,731744,1547273,9998917,4610901,1.0003339
27,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,765661.0,7667.0,836544,43.994,0.01443,1.906,19.962,16.0,20.001,733713,1543601,4599512,10000506,16877332,733713,1543601,10000506,4599512,1.0005853
