,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,772146.0,1811.0,763059,29.724,0.01501,2.609,19.994,16.007,20.002,1181634,2875114,4299165,10000808,18356721,1181634,2875114,10000808,4299165,0.8410284
1,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,742244.0,1771.0,379106,29.753,0.014,2.61,20.019,16.002,20.0,1182206,2887260,4285025,9999759,18354250,1182206,2887260,9999759,4285025,0.8409944
2,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,778505.0,1906.0,689245,29.731,0.01526,2.612,19.984,15.996,19.993,1182885,2884898,4285563,9996568,18349914,1182885,2884898,9996568,4285563,0.84068936
3,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,768195.0,1867.0,473964,29.74,0.01489,2.603,20.017,16.002,20.0,1178539,2881255,4291874,10000150,18351818,1178539,2881255,10000150,4291874,0.8409084
4,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,806857.0,1924.0,291224,29.751,0.01652,2.608,20.004,16.01,20.003,1180304,2871550,4302040,10001282,18355176,1180304,2871550,10001282,4302040,0.8413496
5,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,791288.0,1868.0,249510,29.742,0.01585,2.609,20.005,15.994,19.997,1181488,2879978,4285674,9998726,18345866,1181488,2879978,9998726,4285674,0.8408279
6,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,763016.0,1746.0,825525,29.739,0.01466,2.608,19.999,15.995,20.0,1181680,2885199,4283750,10000134,18350763,1181680,2885199,10000134,4283750,0.8408326
7,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,803087.0,1976.0,325302,29.811,0.01634,2.613,19.999,15.983,20.004,1183858,2865047,4287543,10001804,18338252,1183858,2865047,10001804,4287543,0.8417557
8,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,830921.0,2063.0,96162,29.744,0.01795,2.608,19.993,15.99,19.991,1181008,2876100,4285806,9995501,18338415,1181008,2876100,9995501,4285806,0.8409248
9,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,848209.0,2047.0,391418,29.736,0.01911,2.612,20.002,16.004,20.005,1182787,2881922,4288922,10002644,18356275,1182787,2881922,10002644,4288922,0.8408255
10,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,853462.0,2058.0,882701,29.79,0.01951,2.614,19.993,15.999,19.998,1184260,2877004,4285888,9999030,18346182,1184260,2877004,9999030,4285888,0.8412139
11,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,743721.0,1719.0,605382,29.763,0.01396,2.61,19.996,15.996,19.987,1182059,2878898,4290262,9993506,18344725,1182059,2878898,9993506,4290262,0.8413898
12,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,855532.0,2016.0,802751,29.747,0.01972,2.604,20.011,16.003,20.0,1179632,2885674,4290412,9999928,18355646,1179632,2885674,9999928,4290412,0.84081936
13,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,844539.0,2034.0,497222,29.734,0.01886,2.61,19.993,15.996,19.996,1182170,2874036,4289889,9998198,18344293,1182170,2874036,9998198,4289889,0.8406376
14,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,815876.0,1983.0,389120,29.71,0.01715,2.607,20.0,16.001,19.996,1180140,2882169,4284266,9997965,18344540,1180140,2882169,9997965,4284266,0.84069973
15,south africa,1000000,1000,2020-01-01,2020-12-31,hybrid,785839.0,1843.0,539163,29.73,0.01559,2.601,20.009,16.002,19.996,1179287,2879736,4291365,9997908,18348296,1179287,2879736,9997908,4291365,0.8407492
