,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,934888.0,1450.0,706843,24.536,0.02869,4.524,19.99,15.992,19.996,2235982,3625187,3538222,9997961,19397352,2235982,3625187,9997961,3538222,0.7683642
1,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,936168.0,1464.0,723952,24.497,0.02901,4.519,20.002,16.002,20.0,2233594,3633594,3538241,9999796,19405225,2233594,3633594,9999796,3538241,0.7678974
2,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,924744.0,1390.0,522875,24.515,0.02628,4.529,19.991,16.004,19.991,2238346,3615312,3545156,9995269,19394083,2238346,3615312,9995269,3545156,0.76797676
3,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,926104.0,1414.0,249017,24.508,0.02662,4.525,19.986,16.003,20.001,2237250,3622139,3540994,10000596,19400979,2237250,3622139,10000596,3540994,0.7679329
4,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,910964.0,1343.0,292008,24.516,0.02378,4.532,20.006,16.015,20.004,2240076,3622184,3545429,10001922,19409611,2240076,3622184,10001922,3545429,0.76817805
5,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,923384.0,1379.0,340618,24.497,0.02625,4.525,19.992,15.998,20.011,2236895,3625017,3535954,10005427,19403293,2236895,3625017,10005427,3535954,0.767607
6,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,908699.0,1314.0,672361,24.532,0.02351,4.532,19.999,16.003,20.005,2240256,3619001,3542176,10002575,19404008,2240256,3619001,10002575,3542176,0.76796126
7,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,927301.0,1431.0,440190,24.503,0.02687,4.53,19.99,16.012,19.995,2239087,3625325,3538997,9997578,19400987,2239087,3625325,9997578,3538997,0.76761067
8,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,931547.0,1391.0,343071,24.531,0.02785,4.533,20.001,16.0,20.0,2240504,3623123,3543219,10000059,19406905,2240504,3623123,10000059,3543219,0.7682738
9,state of palestine,1000000,1000,2020-01-01,2020-12-31,hybrid,949345.0,1411.0,280992,24.512,0.0331,4.528,19.999,16.005,20.003,2238481,3626466,3539861,10001418,19406226,2238481,3626466,10001418,3539861,0.767801
