,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,886334.0,886.0,625076,21.126,0.02604,3.636,20.0,16.007,19.994,1765072,4147724,2947520,9997121,18857437,1765072,4147724,9997121,2947520,0.7130942
1,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,877446.0,859.0,164621,21.147,0.02474,3.631,19.999,15.998,20.004,1762586,4146515,2948526,10001993,18859620,1762586,4146515,10001993,2948526,0.71316004
2,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,919267.0,857.0,668934,21.133,0.03229,3.637,20.0,15.991,20.0,1765853,4150293,2948858,10000081,18865085,1765853,4150293,10000081,2948858,0.7135078
3,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,892420.0,844.0,538477,21.134,0.02692,3.643,19.998,15.992,20.006,1768126,4143886,2955539,10003240,18870791,1768126,4143886,10003240,2955539,0.7134685
4,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,886717.0,792.0,400116,21.111,0.02607,3.635,20.004,15.998,20.0,1764459,4148150,2947979,9999831,18860419,1764459,4148150,9999831,2947979,0.7131617
5,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,884270.0,840.0,85269,21.155,0.02553,3.644,20.002,15.996,20.006,1768548,4143153,2954767,10002997,18869465,1768548,4143153,10002997,2954767,0.7138239
6,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,899506.0,842.0,219145,21.127,0.0281,3.638,19.993,15.995,20.006,1766407,4146771,2950196,10003027,18866401,1766407,4146771,10003027,2950196,0.71332175
7,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,913814.0,834.0,221565,21.143,0.03102,3.636,20.008,15.995,20.005,1764740,4152419,2947703,10002279,18867141,1764740,4152419,10002279,2947703,0.71343535
8,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,884003.0,815.0,269542,21.135,0.02571,3.643,20.007,16.007,19.999,1768891,4152426,2945972,9999591,18866880,1768891,4152426,9999591,2945972,0.7135741
9,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,884750.0,780.0,315643,21.103,0.02583,3.638,19.997,16.009,20.008,1765539,4148660,2949641,10003797,18867637,1765539,4148660,10003797,2949641,0.71310943
10,uganda,1000000,1000,2020-01-01,2020-12-31,hybrid,884779.0,774.0,131555,21.154,0.02582,3.636,20.014,15.999,19.999,1765060,4142339,2954534,9999517,18861450,1765060,4142339,9999517,2954534,0.7137209
