,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,758087.0,6985.0,980311,41.378,0.01491,1.762,20.009,15.996,20.0,632492,1847086,4435280,10000108,16914966,632492,1847086,10000108,4435280,0.97500294
1,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,862081.0,8073.0,852030,41.391,0.02045,1.767,19.999,15.996,19.995,634624,1844857,4422627,9997358,16899466,634624,1844857,9997358,4422627,0.9751372
2,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,676558.0,6166.0,246602,41.375,0.01269,1.766,20.006,16.002,19.99,633918,1851583,4425585,9994940,16906026,633918,1851583,9994940,4425585,0.97495246
3,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,777393.0,7178.0,693834,41.339,0.0156,1.762,20.008,16.002,20.003,632545,1852486,4428462,10001740,16915233,632545,1852486,10001740,4428462,0.97462857
4,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,805221.0,7555.0,674437,41.326,0.01691,1.76,20.017,16.002,20.001,631244,1857005,4428005,10000256,16916510,631244,1857005,10000256,4428005,0.9742511
5,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,757660.0,7080.0,481549,41.355,0.01497,1.762,19.989,15.999,20.001,632092,1846351,4429664,10000726,16908833,632092,1846351,10000726,4429664,0.9745737
6,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,786245.0,7285.0,441191,41.36,0.01605,1.761,20.01,16.004,19.991,632824,1855009,4420703,9995675,16904211,632824,1855009,9995675,4420703,0.9745634
7,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,828779.0,7877.0,411355,41.369,0.01814,1.764,20.007,16.006,20.003,633338,1850246,4425469,10001362,16910415,633338,1850246,10001362,4425469,0.97496647
8,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,842679.0,7916.0,454990,41.355,0.01914,1.76,20.02,16.004,19.992,632373,1855062,4423111,9996077,16906623,632373,1855062,9996077,4423111,0.97491044
9,united kingdom,1000000,1000,2020-01-01,2020-12-31,hybrid,824624.0,7802.0,477373,41.378,0.01788,1.759,19.989,15.996,19.998,631887,1855577,4422379,9999065,16908908,631887,1855577,9999065,4422379,0.9750811
