,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,890572.0,3800.0,695681,33.974,0.02014,2.972,20.01,15.997,20.004,1393618,2354312,4671857,10002100,18421887,1393618,2354312,10002100,4671857,0.8891861
1,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,808027.0,3348.0,237907,34.028,0.01463,2.961,20.0,15.995,20.004,1389681,2342215,4679237,10001907,18413040,1389681,2342215,10001907,4679237,0.8898033
2,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,797127.0,3312.0,341789,33.971,0.01425,2.969,19.997,15.993,20.002,1392638,2351954,4673968,10001065,18419625,1392638,2351954,10001065,4673968,0.88933635
3,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,878110.0,3708.0,831572,33.948,0.01901,2.958,20.005,16.005,20.003,1386989,2345530,4678183,10001586,18412288,1386989,2345530,10001586,4678183,0.8891541
4,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,845380.0,3495.0,663729,34.014,0.01657,2.966,19.998,15.997,20.005,1391314,2348019,4668437,10002743,18410513,1391314,2348019,10002743,4668437,0.88975227
5,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,863719.0,3596.0,153548,33.961,0.01787,2.97,20.018,15.992,19.991,1392890,2355737,4667500,9995426,18411553,1392890,2355737,9995426,4667500,0.8892136
6,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,848851.0,3543.0,832153,34.01,0.01687,2.965,19.995,16.002,19.997,1391032,2343158,4675431,9998532,18408153,1391032,2343158,9998532,4675431,0.88969946
7,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,876631.0,3583.0,831628,33.985,0.01888,2.963,19.981,15.996,19.996,1389901,2345942,4673719,9998145,18407707,1389901,2345942,9998145,4673719,0.889494
8,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,866838.0,3640.0,172725,34.028,0.01801,2.97,20.0,15.994,19.999,1393006,2345516,4677639,9999703,18415864,1393006,2345516,9999703,4677639,0.89004976
9,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,817476.0,3363.0,192693,33.991,0.01514,2.964,20.003,15.999,19.993,1390159,2351353,4673573,9996702,18411787,1390159,2351353,9996702,4673573,0.88971674
10,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,757813.0,3084.0,291655,33.982,0.0129,2.961,19.992,15.998,20.003,1388435,2349417,4669015,10001372,18408239,1388435,2349417,10001372,4669015,0.8894053
11,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,894638.0,3793.0,336225,34.018,0.02057,2.967,20.005,16.002,20.002,1391681,2344761,4679579,10000834,18416855,1391681,2344761,10000834,4679579,0.8896339
12,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,833834.0,3493.0,288848,34.022,0.01593,2.963,20.0,15.998,20.002,1389998,2344754,4676072,10001146,18411970,1389998,2344754,10001146,4676072,0.88967514
13,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,790309.0,3363.0,966559,34.007,0.01394,2.966,20.005,15.993,19.997,1391084,2347319,4676911,9998552,18413866,1391084,2347319,9998552,4676911,0.8896464
14,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,834952.0,3492.0,545785,33.969,0.01601,2.969,19.998,16.004,19.996,1393192,2350250,4670443,9997986,18411871,1393192,2350250,9997986,4670443,0.8891453
15,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,859433.0,3638.0,860881,33.989,0.01754,2.964,20.007,15.998,19.998,1390293,2345874,4677758,9999193,18413118,1390293,2345874,9999193,4677758,0.88951135
16,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,819874.0,3401.0,664138,33.98,0.01521,2.969,19.999,15.999,19.999,1391996,2346740,4671842,9999637,18410215,1391996,2346740,9999637,4671842,0.8892447
17,vietnam,1000000,1000,2020-01-01,2020-12-31,hybrid,858756.0,3590.0,628315,33.986,0.01746,2.966,19.991,15.995,20.005,1391404,2350793,4669283,10002727,18414207,1391404,2350793,10002727,4669283,0.88946533
