,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,865821.0,1254.0,928782,23.242,0.02324,3.228,20.003,15.998,20.006,1539322,3894594,3233782,10003061,18670759,1539322,3894594,10003061,3233782,0.7445844
1,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,866980.0,1231.0,560218,23.236,0.02345,3.218,19.988,16.01,19.994,1534543,3893847,3233700,9996958,18659048,1534543,3893847,9996958,3233700,0.74445975
2,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,869672.0,1229.0,963141,23.257,0.02357,3.223,19.999,15.995,19.992,1537289,3894912,3235735,9996233,18664169,1537289,3894912,9996233,3235735,0.7446072
3,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,892081.0,1241.0,36229,23.256,0.02645,3.221,20.0,16.008,19.993,1536590,3893318,3241565,9996467,18667940,1536590,3893318,9996467,3241565,0.74477977
4,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,906670.0,1212.0,936265,23.263,0.02921,3.226,19.998,15.998,19.994,1538667,3886656,3243995,9996996,18666314,1538667,3886656,9996996,3243995,0.7450624
5,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,889836.0,1307.0,166081,23.269,0.02611,3.229,19.989,16.008,20.003,1540019,3886019,3242539,10001424,18670001,1540019,3886019,10001424,3242539,0.7450052
6,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,892967.0,1280.0,734002,23.257,0.02664,3.227,20.008,16.004,19.996,1539106,3885725,3245130,9998186,18668147,1539106,3885725,9998186,3245130,0.7447699
7,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,907359.0,1280.0,589841,23.253,0.02934,3.225,19.991,16.004,19.994,1538074,3883476,3242087,9997012,18660649,1538074,3883476,9997012,3242087,0.7447574
8,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,906793.0,1231.0,113822,23.272,0.02917,3.23,20.01,16.012,20.003,1541166,3892714,3243132,10001469,18678481,1541166,3892714,10001469,3243132,0.74487954
9,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,856137.0,1215.0,574330,23.253,0.02214,3.226,20.01,16.0,20.009,1539079,3901003,3234797,10004452,18679331,1539079,3901003,10004452,3234797,0.74472314
10,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,858127.0,1168.0,228963,23.264,0.02224,3.227,20.005,16.003,20.002,1539510,3887430,3246187,10000816,18673943,1539510,3887430,10000816,3246187,0.74505115
11,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,908603.0,1320.0,908095,23.255,0.0296,3.227,20.003,15.999,19.999,1539302,3885547,3243279,9999613,18667741,1539302,3885547,9999613,3243279,0.7447514
12,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,883116.0,1232.0,269099,23.251,0.02538,3.222,20.01,15.992,20.0,1537578,3893209,3242380,9999798,18672965,1537578,3893209,9999798,3242380,0.7448171
13,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,873403.0,1230.0,769473,23.232,0.02404,3.216,20.001,16.001,20.004,1534056,3889548,3237072,10002012,18662688,1534056,3889548,10002012,3237072,0.7444312
14,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,899330.0,1273.0,844221,23.263,0.02774,3.233,19.999,16.007,19.995,1542307,3885165,3243251,9997375,18668098,1542307,3885165,9997375,3243251,0.7449076
15,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,866487.0,1243.0,599745,23.256,0.02331,3.222,19.992,16.008,19.995,1536460,3886533,3248133,9997387,18668513,1536460,3886533,9997387,3248133,0.7447996
16,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,886239.0,1240.0,362581,23.271,0.02569,3.226,20.008,15.997,20.002,1538960,3899701,3238383,10000955,18677999,1538960,3899701,10000955,3238383,0.7452052
17,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,915208.0,1299.0,576515,23.25,0.03086,3.227,19.982,15.999,20.011,1538848,3885084,3239911,10005362,18669205,1538848,3885084,10005362,3239911,0.74460554
18,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,869534.0,1303.0,201373,23.245,0.02361,3.22,19.99,15.989,20.002,1535606,3891028,3235351,10000896,18662881,1535606,3891028,10000896,3235351,0.7445461
19,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,900577.0,1343.0,128525,23.266,0.02799,3.224,19.996,16.0,20.007,1537392,3892032,3241522,10003565,18674511,1537392,3892032,10003565,3241522,0.7450073
20,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,886885.0,1236.0,18615,23.257,0.02589,3.221,20.005,15.99,19.997,1536225,3895252,3239075,9998662,18669214,1536225,3895252,9998662,3239075,0.7448186
21,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,925915.0,1242.0,739044,23.246,0.03365,3.23,19.997,15.996,19.999,1540506,3894272,3238923,9999472,18673173,1540506,3894272,9999472,3238923,0.74485344
22,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,898156.0,1242.0,615938,23.25,0.02758,3.224,20.006,16.002,20.01,1537571,3893888,3240570,10005248,18677277,1537571,3893888,10005248,3240570,0.74486315
23,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,899788.0,1279.0,289701,23.265,0.02796,3.226,19.997,15.991,20.002,1538883,3885210,3238232,10001193,18663518,1538883,3885210,10001193,3238232,0.744606
24,zimbabwe,1000000,1000,2020-01-01,2020-12-31,hybrid,887772.0,1228.0,386425,23.235,0.02586,3.223,20.009,15.996,19.998,1537475,3889462,3241636,9999248,18667821,1537475,3889462,9999248,3241636,0.74464124
