,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,926445.0,5170.0,13161,34.404,0.02819,2.523,19.99,16.001,20.009,1129468,2547236,4233303,10004356,17914363,1129468,2547236,10004356,4233303,0.89378035
1,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,911210.0,4916.0,597807,34.419,0.02513,2.528,19.984,16.004,20.006,1131454,2539348,4247552,10003125,17921479,1131454,2539348,10003125,4247552,0.89435923
2,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,926938.0,5139.0,981918,34.423,0.02803,2.52,20.008,16.004,20.0,1127745,2547775,4240199,9999811,17915530,1127745,2547775,9999811,4240199,0.89424443
3,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,895731.0,5102.0,377430,34.403,0.02281,2.522,20.005,16.005,20.005,1129181,2548152,4235933,10002641,17915907,1129181,2548152,10002641,4235933,0.8942724
4,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,935014.0,5152.0,962468,34.401,0.0301,2.521,20.007,16.005,20.005,1128602,2547015,4247618,10002401,17925636,1128602,2547015,10002401,4247618,0.8942676
5,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,942388.0,5300.0,531167,34.429,0.03227,2.524,19.993,16.004,19.993,1130537,2554179,4239244,9996640,17920600,1130537,2554179,9996640,4239244,0.8943331
6,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,901359.0,5037.0,154927,34.416,0.02365,2.523,20.003,15.996,19.998,1129445,2542978,4240065,9999004,17911492,1129445,2542978,9999004,4240065,0.89443165
7,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,927400.0,5226.0,236229,34.353,0.02832,2.515,20.008,15.995,19.994,1125969,2559554,4234423,9997088,17917034,1125969,2559554,9997088,4234423,0.8936115
8,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,905795.0,5066.0,312638,34.433,0.02426,2.525,19.999,16.009,19.999,1130241,2543661,4248905,9999287,17922094,1130241,2543661,9999287,4248905,0.89470446
9,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,860724.0,4869.0,275205,34.411,0.0194,2.526,19.99,15.994,20.0,1130811,2551790,4232234,10000202,17915037,1130811,2551790,10000202,4232234,0.89409524
