,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,892148.0,7388.0,775544,39.376,0.02302,1.964,20.0,15.991,19.997,772837,2007466,4438670,9998473,17217446,772837,2007466,9998473,4438670,0.95278364
1,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,908994.0,7267.0,409135,39.398,0.02511,1.971,19.983,15.997,20.0,776517,2003874,4445958,9999871,17226220,776517,2003874,9999871,4445958,0.9528254
2,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,918258.0,7387.0,883731,39.406,0.02677,1.964,19.997,15.989,19.992,773212,2006373,4441634,9995864,17217083,773212,2006373,9995864,4441634,0.95310825
3,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,910173.0,7422.0,44166,39.334,0.02549,1.966,20.008,15.99,19.998,773222,2016027,4433332,9999148,17221729,773222,2016027,9999148,4433332,0.9519436
4,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,935806.0,7717.0,192588,39.346,0.03093,1.957,20.008,16.004,19.999,769122,2005216,4447621,9999722,17221681,769122,2005216,9999722,4447621,0.9521624
5,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,915601.0,7353.0,347694,39.324,0.02646,1.96,19.993,16.0,19.999,770674,2013424,4438246,9999330,17221674,770674,2013424,9999330,4438246,0.9520464
6,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,917762.0,7578.0,910398,39.415,0.02663,1.962,20.006,16.004,19.991,772109,2004501,4447101,9995695,17219406,772109,2004501,9995695,4447101,0.95307773
7,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,915313.0,7473.0,965157,39.382,0.0263,1.964,19.998,16.001,19.995,772810,2014249,4437158,9997464,17221681,772810,2014249,9997464,4437158,0.95250523
8,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,891447.0,7228.0,344601,39.312,0.02299,1.959,19.99,15.996,19.998,770610,2011356,4443378,9999067,17224411,770610,2011356,9999067,4443378,0.9518028
9,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,918073.0,7626.0,663557,39.347,0.02693,1.961,19.995,15.999,20.001,771568,2018942,4435472,10000683,17226665,771568,2018942,10000683,4435472,0.9521363
10,australia,1000000,1000,2020-01-01,2020-12-31,hybrid,935033.0,7656.0,849164,39.357,0.03082,1.965,19.998,16.005,19.993,772591,2006686,4445943,9996742,17221962,772591,2006686,9996742,4445943,0.9522703
