,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,695417.0,6746.0,253542,42.117,0.01282,1.832,20.003,15.989,20.001,680572,1824270,4418076,10000273,16923191,680572,1824270,10000273,4418076,0.98114055
1,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,694804.0,6696.0,400976,42.131,0.01285,1.832,20.027,15.993,20.002,681959,1822737,4429933,10000891,16935520,681959,1822737,10000891,4429933,0.9815119
2,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,810900.0,8064.0,50779,42.152,0.0167,1.835,20.002,15.996,20.0,682470,1822115,4428477,10000024,16933086,682470,1822115,10000024,4428477,0.9816097
3,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,821706.0,8369.0,933868,42.172,0.01735,1.832,20.012,15.994,19.997,681563,1824165,4430241,9998526,16934495,681563,1824165,9998526,4430241,0.9818127
4,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,742425.0,7373.0,712173,42.113,0.01414,1.83,19.99,15.993,20.003,680602,1822218,4425307,10001271,16929398,680602,1822218,10001271,4425307,0.9812093
5,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,703206.0,6897.0,779156,42.139,0.01304,1.83,20.001,15.998,19.999,680939,1822239,4423904,9999437,16926519,680939,1822239,9999437,4423904,0.98140293
6,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,759308.0,7594.0,853114,42.122,0.01471,1.827,20.0,16.007,20.0,679467,1823642,4427943,9999919,16930971,679467,1823642,9999919,4427943,0.9812121
7,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,402356.0,3682.0,454118,42.16,0.00864,1.836,20.002,16.005,20.001,683173,1820746,4432188,10000503,16936610,683173,1820746,10000503,4432188,0.9816206
8,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,540241.0,5121.0,441425,42.12,0.01011,1.832,20.003,15.997,19.998,681365,1821493,4425780,9999110,16927748,681365,1821493,9999110,4425780,0.9811572
9,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,838030.0,8464.0,981771,42.154,0.01822,1.832,20.004,16.003,20.002,681166,1821184,4427163,10000974,16930487,681166,1821184,10000974,4427163,0.9815679
10,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,749700.0,7358.0,435785,42.125,0.01437,1.831,20.004,15.998,20.0,680579,1826629,4423506,9999819,16930533,680579,1826629,9999819,4423506,0.9813192
11,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,863664.0,8793.0,276068,42.152,0.02012,1.827,20.004,15.996,19.993,680059,1821944,4423747,9996535,16922285,680059,1821944,9996535,4423747,0.9815118
12,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,565044.0,5082.0,179768,42.146,0.01043,1.827,20.002,15.998,20.0,679905,1819537,4428654,9999984,16928080,679905,1819537,9999984,4428654,0.98148423
13,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,894378.0,9227.0,167576,42.143,0.02312,1.829,20.009,16.005,19.997,679914,1821470,4428316,9998494,16928194,679914,1821470,9998494,4428316,0.98151815
14,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,869577.0,8817.0,276389,42.161,0.02051,1.833,19.997,15.995,20.004,681855,1824054,4422170,10002106,16930185,681855,1824054,10002106,4422170,0.98181784
15,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,833663.0,8334.0,298407,42.163,0.01808,1.833,19.993,16.001,19.999,682085,1816345,4424207,9999667,16922304,682085,1816345,9999667,4424207,0.98182654
16,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,593092.0,5643.0,527535,42.158,0.01089,1.831,19.994,15.987,19.996,680567,1819124,4425550,9998001,16923242,680567,1819124,9998001,4425550,0.9814092
17,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,870512.0,8666.0,380605,42.163,0.0206,1.831,19.991,16.0,19.992,681161,1819060,4427698,9996199,16924118,681161,1819060,9996199,4427698,0.981817
18,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,796325.0,7871.0,415901,42.178,0.01608,1.833,19.986,15.998,20.0,681809,1813039,4428725,10000211,16923784,681809,1813039,10000211,4428725,0.9821143
19,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,811254.0,8017.0,26506,42.184,0.01676,1.831,19.979,16.004,19.999,681579,1817509,4426170,9999706,16924964,681579,1817509,9999706,4426170,0.9820219
20,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,880381.0,8912.0,878471,42.119,0.02163,1.832,19.994,16.0,20.0,681551,1824117,4426479,9999871,16932018,681551,1824117,9999871,4426479,0.98129857
21,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,874354.0,9057.0,214135,42.172,0.02099,1.829,20.013,16.009,19.994,680293,1819212,4432532,9997105,16929142,680293,1819212,9997105,4432532,0.98182666
22,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,772343.0,7720.0,185133,42.155,0.01522,1.831,19.973,16.0,20.002,681655,1819850,4426402,10001116,16929023,681655,1819850,10001116,4426402,0.98175466
23,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,643699.0,6395.0,703886,42.129,0.01169,1.829,20.005,16.003,20.002,679927,1821336,4426662,10000914,16928839,679927,1821336,10000914,4426662,0.9814326
24,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,689767.0,6858.0,302949,42.212,0.0127,1.829,19.997,16.0,20.003,681000,1812059,4430197,10001437,16924693,681000,1812059,10001437,4430197,0.9822779
