,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,940786.0,1811.0,898758,27.239,0.03636,2.743,19.99,15.999,20.008,1261775,3260986,3907291,10003844,18433896,1261775,3260986,10003844,3907291,0.8057838
1,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,922597.0,1749.0,944648,27.187,0.03064,2.744,20.016,16.007,19.998,1261833,3273657,3895593,9998985,18430068,1261833,3273657,9998985,3895593,0.8049113
2,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,944447.0,1811.0,356596,27.196,0.03786,2.745,20.014,16.007,20.004,1262125,3267466,3900717,10002223,18432531,1262125,3267466,10002223,3900717,0.805203
3,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,939647.0,1748.0,665660,27.174,0.03617,2.741,20.014,15.99,19.998,1260554,3276033,3897701,9998919,18433207,1260554,3276033,9998919,3897701,0.80511296
4,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,946123.0,1856.0,667419,27.203,0.03855,2.741,19.995,16.001,19.996,1260544,3275476,3897639,9997878,18431537,1260544,3275476,9997878,3897639,0.805419
5,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,936915.0,1784.0,404540,27.217,0.0349,2.743,20.004,15.999,19.995,1261667,3269485,3901759,9997691,18430602,1261667,3269485,9997691,3901759,0.8054382
6,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,945983.0,1807.0,789431,27.171,0.03872,2.741,20.004,15.992,19.995,1260472,3266803,3897066,9997723,18422064,1260472,3266803,9997723,3897066,0.80503774
7,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,924914.0,1756.0,847555,27.224,0.03143,2.75,19.986,15.998,20.0,1265091,3259124,3902367,10000191,18426773,1265091,3259124,10000191,3902367,0.805815
8,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,946377.0,1906.0,86959,27.189,0.03877,2.745,20.011,15.991,20.0,1262406,3268996,3895453,9999899,18426754,1262406,3268996,9999899,3895453,0.8049094
9,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,920337.0,1821.0,917123,27.229,0.03023,2.75,20.012,15.997,20.003,1264419,3259350,3904269,10001420,18429458,1264419,3259350,10001420,3904269,0.8054761
10,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,948148.0,1838.0,203223,27.207,0.0398,2.745,20.0,15.997,20.0,1262355,3272130,3899435,9999810,18433730,1262355,3272130,9999810,3899435,0.80543524
11,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,922992.0,1752.0,191154,27.193,0.03089,2.743,20.013,16.001,20.004,1261879,3274012,3900960,10001876,18438727,1261879,3274012,10001876,3900960,0.8051517
12,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,937854.0,1806.0,409038,27.253,0.03529,2.743,19.986,15.999,19.991,1262277,3252511,3909181,9995725,18419694,1262277,3252511,9995725,3909181,0.806308
13,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,920106.0,1722.0,847204,27.216,0.0302,2.742,19.998,16.003,20.002,1260596,3269983,3899431,10000830,18430840,1260596,3269983,10000830,3899431,0.8053888
14,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,934117.0,1815.0,149073,27.232,0.03424,2.745,19.982,16.012,19.998,1262674,3260185,3904845,9998961,18426665,1262674,3260185,9998961,3904845,0.80568254
15,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,937335.0,1797.0,487258,27.175,0.03521,2.741,19.993,16.004,20.001,1260465,3265947,3902174,10000325,18428911,1260465,3265947,10000325,3902174,0.8050197
16,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,935293.0,1799.0,800216,27.203,0.03437,2.742,20.001,16.006,19.993,1261080,3263908,3902385,9996712,18424085,1261080,3263908,9996712,3902385,0.80537456
17,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,926783.0,1767.0,234365,27.158,0.03194,2.741,19.984,15.998,20.006,1260357,3280151,3888089,10002947,18431544,1260357,3280151,10002947,3888089,0.80453557
18,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,936023.0,1795.0,641205,27.203,0.0348,2.74,20.001,16.002,19.996,1259754,3273105,3904150,9998196,18435205,1259754,3273105,9998196,3904150,0.8054394
19,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,947659.0,1841.0,276228,27.191,0.03923,2.746,20.005,15.996,19.998,1262541,3265837,3900593,9999245,18428216,1262541,3265837,9999245,3900593,0.8053863
20,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,943614.0,1786.0,736240,27.203,0.03743,2.738,19.999,16.01,20.003,1258932,3267517,3905314,10001475,18433238,1258932,3267517,10001475,3905314,0.80551815
21,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,953131.0,1772.0,999607,27.21,0.04223,2.746,20.005,16.003,20.003,1263538,3264384,3904906,10001433,18434261,1263538,3264384,10001433,3904906,0.80537856
22,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,914618.0,1706.0,471890,27.176,0.02896,2.74,19.995,16.013,20.0,1260231,3271477,3901974,10000116,18433798,1260231,3271477,10000116,3901974,0.80502826
23,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,947962.0,1853.0,308339,27.234,0.03971,2.744,19.998,16.017,19.998,1261628,3254870,3914689,9998785,18429972,1261628,3254870,9998785,3914689,0.80581605
24,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,929919.0,1786.0,71832,27.2,0.03273,2.745,20.016,15.989,19.998,1262832,3267938,3903293,9998847,18432910,1262832,3267938,9998847,3903293,0.8053004
25,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,921881.0,1790.0,955900,27.223,0.03059,2.75,19.993,15.997,19.991,1264457,3264485,3902818,9995430,18427190,1264457,3264485,9995430,3902818,0.8056469
26,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,934409.0,1766.0,86173,27.158,0.0344,2.741,19.994,15.998,19.998,1260459,3278895,3890090,9999054,18428498,1260459,3278895,9999054,3890090,0.80454516
27,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,950085.0,1806.0,749762,27.223,0.04049,2.744,19.984,16.001,20.003,1261997,3262568,3901174,10001567,18427306,1261997,3262568,10001567,3901174,0.80534035
28,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,949601.0,1802.0,825591,27.217,0.04018,2.739,19.995,15.998,20.0,1259667,3260142,3904639,10000017,18424465,1259667,3260142,10000017,3904639,0.805643
29,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,926129.0,1819.0,809292,27.202,0.03168,2.744,19.992,15.992,20.002,1262338,3267179,3900419,10001028,18430964,1262338,3267179,10001028,3900419,0.8053892
