,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962861.0,10560.0,477861,44.023,0.03575,2.149,19.982,15.997,20.0,896454,1594718,4557463,9999992,17048627,896454,1594718,9999992,4557463,1.006655
1,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,964493.0,10505.0,253764,44.052,0.03662,2.155,19.973,15.998,19.993,897872,1595829,4550062,9996299,17040062,897872,1595829,9996299,4550062,1.0067883
2,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,945036.0,9915.0,428784,44.014,0.02908,2.151,20.0,15.998,19.993,896418,1604561,4555349,9996594,17052922,896418,1604561,9996594,4555349,1.006225
3,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,964809.0,10359.0,408405,44.064,0.03702,2.152,20.012,16.004,20.004,898071,1594978,4552304,10001910,17047263,898071,1594978,10001910,4552304,1.0070784
4,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,968794.0,10449.0,874525,44.024,0.03936,2.151,19.988,16.001,19.996,896860,1596010,4560126,9997839,17050835,896860,1596010,9997839,4560126,1.0065575
5,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,948060.0,10136.0,256783,44.007,0.03,2.151,19.995,16.006,19.994,896772,1598502,4557114,9996869,17049257,896772,1598502,9996869,4557114,1.006244
6,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,959341.0,10365.0,370884,44.014,0.03426,2.155,19.987,16.001,19.996,898351,1598543,4553284,9997793,17047971,898351,1598543,9997793,4553284,1.0063261
7,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,966426.0,10474.0,676979,44.026,0.03753,2.149,20.003,16.002,20.0,895840,1597309,4563022,10000033,17056204,895840,1597309,10000033,4563022,1.0067586
8,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,945199.0,10212.0,501036,44.011,0.02924,2.153,19.995,15.995,19.996,898092,1600412,4559776,9997799,17056079,898092,1600412,9997799,4559776,1.0063386
9,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956202.0,10295.0,747608,44.031,0.0328,2.154,19.982,15.995,19.997,898740,1601868,4550091,9998741,17049440,898740,1601868,9998741,4550091,1.0065995
10,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,937989.0,10083.0,113114,44.03,0.02732,2.153,20.018,15.993,19.991,897713,1610612,4546085,9995640,17050050,897713,1610612,9995640,4546085,1.0063902
11,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,941159.0,10065.0,98459,44.061,0.02805,2.153,19.978,15.992,19.998,897954,1594032,4552228,9999173,17043387,897954,1594032,9999173,4552228,1.0068065
12,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957924.0,10188.0,321199,44.009,0.03362,2.152,19.991,15.998,19.999,896682,1605323,4556885,9999496,17058386,896682,1605323,9999496,4556885,1.0061389
13,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,959384.0,10151.0,562224,44.001,0.03411,2.151,20.021,15.999,19.998,897150,1600803,4560480,9998875,17057308,897150,1600803,9998875,4560480,1.0061266
14,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,948516.0,10303.0,659605,44.023,0.03008,2.152,19.975,16.004,20.002,897084,1604103,4552466,10001032,17054685,897084,1604103,10001032,4552466,1.0065621
15,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,963030.0,10318.0,752853,44.042,0.03591,2.154,20.012,15.997,19.997,898080,1596497,4557513,9998680,17050770,898080,1596497,9998680,4557513,1.0064857
16,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,963387.0,10621.0,445021,44.04,0.03614,2.147,20.004,15.998,20.001,894494,1599054,4555727,10000291,17049566,894494,1599054,10000291,4555727,1.0066613
17,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,958607.0,10291.0,178867,44.037,0.03363,2.152,20.02,16.001,20.006,897104,1600918,4557222,10003074,17058318,897104,1600918,10003074,4557222,1.0066105
18,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,939882.0,10135.0,898989,44.064,0.02778,2.148,20.004,16.0,19.995,895481,1599112,4556784,9997703,17049080,895481,1599112,9997703,4556784,1.0068761
19,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962930.0,10487.0,718291,44.013,0.03574,2.152,19.996,16.001,19.998,897005,1606317,4551012,9998886,17053220,897005,1606317,9998886,4551012,1.006273
20,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962763.0,10416.0,848193,44.025,0.03569,2.154,20.015,16.006,19.998,897369,1594106,4563224,9999145,17053844,897369,1594106,9999145,4563224,1.0063397
21,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,962618.0,10303.0,387679,44.035,0.03566,2.156,19.99,15.991,20.001,899704,1597930,4555908,10000433,17053975,899704,1597930,10000433,4555908,1.0066774
22,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,950502.0,10164.0,839750,43.981,0.03075,2.148,20.016,15.996,20.001,895323,1611173,4546653,10000391,17053540,895323,1611173,10000391,4546653,1.0058422
23,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,966149.0,10580.0,225904,44.04,0.0374,2.149,19.998,16.002,20.004,896576,1595610,4556290,10001969,17050445,896576,1595610,10001969,4556290,1.0066428
24,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,964784.0,10581.0,77359,44.026,0.03702,2.153,19.985,16.003,20.006,898301,1601686,4555983,10002913,17058883,898301,1601686,10002913,4555983,1.0064285
25,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957886.0,10239.0,619800,44.031,0.0336,2.151,19.993,15.996,20.007,896843,1598644,4555301,10003746,17054534,896843,1598644,10003746,4555301,1.0061791
26,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,955178.0,10316.0,270992,44.11,0.03212,2.154,19.996,16.0,20.014,898677,1591881,4558659,10007082,17056299,898677,1591881,10007082,4558659,1.0074526
27,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,935871.0,9978.0,128602,43.97,0.02694,2.15,20.011,16.002,19.998,896984,1603672,4556032,9999084,17055772,896984,1603672,9999084,4556032,1.0055759
28,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,956528.0,10390.0,996969,44.001,0.0327,2.152,20.017,15.997,20.004,897480,1606595,4557416,10001943,17063434,897480,1606595,10001943,4557416,1.006239
29,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,955487.0,10302.0,618627,44.01,0.03276,2.152,20.023,16.003,19.996,897324,1606813,4553508,9998145,17055790,897324,1606813,9998145,4553508,1.0064018
