,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,851115.0,3119.0,54574,31.306,0.01872,2.7,20.006,16.006,20.002,1236336,2872186,4181918,10001249,18291689,1236336,2872186,10001249,4181918,0.8571152
1,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,815986.0,3134.0,487404,31.302,0.01657,2.702,19.997,15.995,19.993,1237780,2866338,4182900,9996296,18283314,1237780,2866338,9996296,4182900,0.8573722
2,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,776262.0,2977.0,421975,31.341,0.0148,2.702,19.99,16.0,19.994,1237136,2861831,4186227,9997174,18282368,1237136,2861831,9997174,4186227,0.85771114
3,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,847812.0,3278.0,901941,31.326,0.0185,2.697,20.001,15.993,19.997,1235020,2862453,4184897,9998302,18280672,1235020,2862453,9998302,4184897,0.8572254
4,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,819372.0,3134.0,856238,31.318,0.01672,2.705,19.993,16.005,20.003,1239180,2859178,4191335,10001333,18291026,1239180,2859178,10001333,4191335,0.85757995
5,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,713893.0,2654.0,406827,31.305,0.0128,2.706,20.011,16.008,19.999,1239565,2862846,4189544,9999532,18291487,1239565,2862846,9999532,4189544,0.8574615
6,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,741812.0,2748.0,419011,31.314,0.01354,2.707,20.0,16.003,20.003,1240445,2863049,4184520,10001253,18289267,1240445,2863049,10001253,4184520,0.8573328
7,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,801953.0,3060.0,235773,31.312,0.01586,2.704,20.007,15.995,19.998,1238337,2859127,4192967,9998830,18289261,1238337,2859127,9998830,4192967,0.85751027
8,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,788576.0,3000.0,210843,31.301,0.01527,2.707,20.016,15.992,19.997,1239964,2858525,4183865,9998420,18280774,1239964,2858525,9998420,4183865,0.8569634
9,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,897858.0,3460.0,478889,31.31,0.02332,2.705,20.007,15.998,20.003,1239737,2863957,4189081,10001598,18294373,1239737,2863957,10001598,4189081,0.8572068
10,dominican republic,1000000,1000,2020-01-01,2020-12-31,hybrid,627895.0,2371.0,626187,31.297,0.01089,2.699,19.998,15.987,19.993,1236688,2863494,4179354,9996450,18275986,1236688,2863494,9996450,4179354,0.8572713
