,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,953844.0,4061.0,566558,31.61,0.03395,3.21,19.986,16.003,19.99,1530857,2877230,4133404,9995211,18536702,1530857,2877230,9995211,4133404,0.86649936
1,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,949484.0,4111.0,965688,31.597,0.03209,3.217,19.989,15.998,19.998,1533808,2873829,4135306,9999076,18542019,1533808,2873829,9999076,4135306,0.86645985
2,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,938529.0,4083.0,830963,31.632,0.02854,3.222,20.012,16.005,20.002,1535999,2874334,4138389,10001191,18549913,1535999,2874334,10001191,4138389,0.86665696
3,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,941410.0,4100.0,422941,31.55,0.02944,3.208,20.0,15.994,19.997,1529341,2885081,4128411,9998283,18541116,1529341,2885081,9998283,4128411,0.86576414
4,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,945584.0,4091.0,851804,31.582,0.03069,3.22,19.995,15.997,20.003,1535019,2880292,4130485,10001523,18547319,1535019,2880292,10001523,4130485,0.86615646
5,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,947737.0,4075.0,222249,31.554,0.03129,3.218,20.002,15.993,20.006,1534041,2878470,4130764,10002822,18546097,1534041,2878470,10002822,4130764,0.86601543
6,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,949613.0,4173.0,658098,31.561,0.03211,3.214,20.016,16.002,20.005,1531573,2884886,4130132,10002628,18549219,1531573,2884886,10002628,4130132,0.8659895
7,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,959580.0,4294.0,314807,31.58,0.03642,3.219,20.004,15.993,20.001,1534013,2879124,4131727,10000655,18545519,1534013,2879124,10000655,4131727,0.86602914
8,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,954039.0,4131.0,643583,31.591,0.03362,3.215,19.999,16.002,19.997,1532885,2885376,4133113,9998419,18549793,1532885,2885376,9998419,4133113,0.8661779
9,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,951846.0,4070.0,347042,31.604,0.03286,3.218,20.01,16.008,20.0,1534279,2879978,4135367,9999931,18549555,1534279,2879978,9999931,4135367,0.8666409
