,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,827771.0,2088.0,599119,30.512,0.01538,3.677,19.99,16.002,20.001,1787094,2872314,4242401,10000452,18902261,1787094,2872314,10000452,4242401,0.8422161
1,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,841237.0,2188.0,112948,30.487,0.01624,3.677,19.982,15.997,19.997,1786260,2868322,4235596,9998517,18888695,1786260,2868322,9998517,4235596,0.84172094
2,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,889834.0,2142.0,80985,30.52,0.02002,3.681,20.011,16.008,20.007,1788789,2872348,4245066,10003317,18909520,1788789,2872348,10003317,4245066,0.8421866
3,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,597944.0,1477.0,822189,30.494,0.00936,3.68,19.998,16.007,19.999,1788580,2872639,4240491,9999549,18901259,1788580,2872639,9999549,4240491,0.84220386
4,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,844638.0,2126.0,190844,30.483,0.01641,3.672,20.005,16.008,20.003,1784692,2871089,4242871,10001323,18899975,1784692,2871089,10001323,4242871,0.8417375
5,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825045.0,1918.0,714488,30.492,0.01533,3.68,19.995,15.987,19.994,1788037,2871094,4232431,9997133,18888695,1788037,2871094,9997133,4232431,0.8419239
6,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,757332.0,1892.0,402226,30.538,0.01264,3.678,19.991,15.992,19.996,1787336,2871738,4235441,9997815,18892330,1787336,2871738,9997815,4235441,0.8424603
7,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,710429.0,1751.0,725729,30.492,0.01145,3.681,20.001,16.004,20.01,1788671,2870933,4245908,10004984,18910496,1788671,2870933,10004984,4245908,0.8421334
8,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,861538.0,2163.0,30105,30.527,0.01751,3.676,19.991,15.99,19.999,1786124,2859541,4245477,9999256,18890398,1786124,2859541,9999256,4245477,0.8425118
9,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,856890.0,2172.0,347550,30.497,0.01717,3.678,20.004,15.999,20.002,1787593,2872281,4240224,10001064,18901162,1787593,2872281,10001064,4240224,0.8417037
10,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,875611.0,2114.0,780081,30.499,0.01853,3.682,19.991,16.006,19.998,1788783,2873060,4239280,9999072,18900195,1788783,2873060,9999072,4239280,0.8418234
11,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,759131.0,1854.0,549146,30.474,0.01272,3.68,20.007,16.008,20.007,1787720,2877876,4243823,10003585,18913004,1787720,2877876,10003585,4243823,0.84189034
12,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,877722.0,2123.0,25134,30.54,0.0188,3.677,19.998,16.001,20.004,1787471,2869739,4242806,10001975,18901991,1787471,2869739,10001975,4242806,0.84264904
13,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,863729.0,2076.0,590802,30.516,0.0177,3.678,19.999,16.001,19.997,1787203,2869124,4241418,9998736,18896481,1787203,2869124,9998736,4241418,0.8422765
14,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,795435.0,1964.0,775469,30.486,0.01396,3.677,20.01,15.997,19.999,1786962,2866237,4239970,9999343,18892512,1786962,2866237,9999343,4239970,0.8420059
15,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,825893.0,1993.0,861087,30.463,0.01535,3.681,20.009,15.998,20.0,1788926,2883546,4232161,10000045,18904678,1788926,2883546,10000045,4232161,0.84156024
16,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,793046.0,1970.0,315279,30.506,0.01389,3.675,20.007,16.0,19.993,1785046,2870687,4244887,9996440,18897060,1785046,2870687,9996440,4244887,0.8423275
17,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,877596.0,2205.0,798868,30.507,0.01881,3.676,19.999,16.002,20.01,1785831,2863377,4240600,10004763,18894571,1785831,2863377,10004763,4240600,0.8419617
18,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,897421.0,2184.0,193023,30.501,0.0208,3.681,20.005,16.001,20.006,1788667,2878198,4236361,10002857,18906083,1788667,2878198,10002857,4236361,0.8421426
19,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,871156.0,2159.0,187838,30.446,0.01838,3.671,20.007,16.001,19.998,1783719,2879263,4232344,9998945,18894271,1783719,2879263,9998945,4232344,0.8412495
20,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,759742.0,1852.0,317335,30.445,0.01275,3.666,19.997,16.0,19.997,1781487,2884044,4229107,9998630,18893268,1781487,2884044,9998630,4229107,0.84123284
21,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,827243.0,2008.0,434954,30.54,0.01532,3.682,20.015,15.996,19.994,1789054,2867162,4241734,9996755,18894705,1789054,2867162,9996755,4241734,0.84245014
22,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,829637.0,2088.0,800077,30.549,0.01552,3.683,19.98,15.99,20.002,1789960,2862276,4238509,10001049,18891794,1789960,2862276,10001049,4238509,0.84268445
23,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,799925.0,2058.0,153606,30.476,0.01415,3.666,20.007,15.999,19.998,1781778,2872661,4238251,9998960,18891650,1781778,2872661,9998960,4238251,0.8416968
24,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,831090.0,2029.0,463740,30.489,0.01559,3.669,19.996,16.006,19.998,1782881,2863095,4245177,9999182,18890335,1782881,2863095,9999182,4245177,0.84171116
25,fiji,1000000,1000,2020-01-01,2020-12-31,hybrid,799738.0,1963.0,38527,30.483,0.01414,3.674,20.008,15.99,20.004,1785123,2878435,4234007,10002129,18899694,1785123,2878435,10002129,4234007,0.8417763
