,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,910570.0,1308.0,628219,25.397,0.0304,2.725,19.985,16.009,20.003,1249493,3512412,3664513,10001274,18427692,1249493,3512412,10001274,3664513,0.7755139
1,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,924427.0,1276.0,608479,25.357,0.0341,2.717,20.002,15.999,19.996,1246614,3509170,3660777,9997917,18414478,1246614,3509170,9997917,3660777,0.7749003
2,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,921103.0,1378.0,7376,25.369,0.03292,2.717,20.019,15.994,19.996,1245582,3517875,3657261,9997763,18418481,1245582,3517875,9997763,3657261,0.7753734
3,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,915597.0,1297.0,817774,25.369,0.03155,2.715,20.005,16.006,20.001,1244784,3522079,3657160,10000434,18424457,1244784,3522079,10000434,3657160,0.775019
4,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,908466.0,1280.0,764060,25.365,0.02986,2.722,19.993,16.001,20.0,1248244,3521116,3657461,10000169,18426990,1248244,3521116,10000169,3657461,0.7750702
5,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,916544.0,1303.0,456205,25.394,0.03173,2.714,19.987,16.003,19.997,1244387,3510146,3662963,9998672,18416168,1244387,3510146,9998672,3662963,0.775728
6,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,940078.0,1346.0,673957,25.368,0.03927,2.71,20.012,16.013,20.001,1242176,3517310,3663029,10000714,18423229,1242176,3517310,10000714,3663029,0.7751184
7,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,925596.0,1311.0,356625,25.395,0.0341,2.719,19.995,15.998,20.001,1246778,3507128,3665357,10000259,18419522,1246778,3507128,10000259,3665357,0.77556974
8,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,908267.0,1250.0,106276,25.41,0.02957,2.721,20.0,16.002,20.001,1247816,3516316,3665113,10000618,18429863,1247816,3516316,10000618,3665113,0.7758137
9,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,927924.0,1353.0,621781,25.404,0.03473,2.718,20.003,15.982,20.013,1246959,3506051,3662947,10006472,18422429,1246959,3506051,10006472,3662947,0.77566427
10,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,896389.0,1301.0,607337,25.413,0.0275,2.721,20.01,16.002,19.998,1247300,3514148,3663309,9999148,18423905,1247300,3514148,9999148,3663309,0.775635
11,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,915324.0,1269.0,172703,25.377,0.0314,2.721,19.991,16.009,19.993,1247043,3517410,3658674,9996746,18419873,1247043,3517410,9996746,3658674,0.7751272
12,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,914021.0,1283.0,922065,25.39,0.03109,2.72,19.998,16.006,20.002,1247516,3518114,3661236,10000927,18427793,1247516,3518114,10000927,3661236,0.77545565
13,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,933620.0,1321.0,448940,25.402,0.03678,2.719,20.004,15.993,19.999,1247024,3517093,3659396,9999534,18423047,1247024,3517093,9999534,3659396,0.7756701
14,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,921212.0,1376.0,373190,25.387,0.03274,2.719,20.016,16.004,20.007,1247497,3509612,3667948,10003537,18428594,1247497,3509612,10003537,3667948,0.77541226
