,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,960013.0,2440.0,769405,26.781,0.0377,3.884,19.992,15.991,20.005,1898524,3448630,3739250,10002405,19088809,1898524,3448630,10002405,3739250,0.8044094
1,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,965526.0,2488.0,783422,26.788,0.04109,3.886,20.008,16.004,20.006,1900047,3448194,3739181,10002853,19090275,1900047,3448194,10002853,3739181,0.80431
2,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,958702.0,2440.0,347503,26.776,0.03717,3.897,20.003,16.012,19.998,1905276,3442263,3744186,9999123,19090848,1905276,3442263,9999123,3744186,0.8043566
3,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,961277.0,2485.0,208563,26.774,0.03841,3.891,20.007,15.998,20.003,1902121,3440190,3744535,10001489,19088335,1902121,3440190,10001489,3744535,0.80465466
4,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,947271.0,2346.0,908438,26.778,0.03206,3.889,19.992,15.995,20.003,1901084,3441360,3740005,10001472,19083921,1901084,3441360,10001472,3740005,0.80468166
5,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,961989.0,2440.0,831898,26.727,0.03893,3.887,20.009,16.003,20.003,1899980,3454725,3735949,10001699,19092353,1899980,3454725,10001699,3735949,0.80365616
6,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,954901.0,2457.0,159868,26.765,0.03525,3.9,19.999,16.007,19.997,1906988,3448415,3741056,9998511,19094970,1906988,3448415,9998511,3741056,0.8042657
7,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,953928.0,2450.0,412313,26.783,0.03462,3.893,19.996,15.991,19.992,1903590,3444076,3737413,9996187,19081266,1903590,3444076,9996187,3737413,0.8043078
8,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,949376.0,2477.0,964186,26.79,0.03276,3.899,19.996,15.997,20.001,1906186,3442614,3744733,10000302,19093835,1906186,3442614,10000302,3744733,0.8046728
9,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,949532.0,2356.0,18473,26.765,0.03314,3.886,20.008,15.997,20.005,1899484,3447472,3741106,10002565,19090627,1899484,3447472,10002565,3741106,0.8041406
10,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,957718.0,2366.0,507553,26.776,0.03653,3.896,19.994,15.99,20.003,1904683,3442439,3744594,10001585,19093301,1904683,3442439,10001585,3744594,0.8043514
11,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,955200.0,2504.0,178668,26.763,0.03549,3.897,20.011,16.005,20.0,1904854,3449403,3733350,9999873,19087480,1904854,3449403,9999873,3733350,0.8041147
12,guatemala,1000000,1000,2020-01-01,2020-12-31,hybrid,955768.0,2442.0,406012,26.787,0.03555,3.885,20.006,15.991,19.998,1899325,3444209,3738017,9999200,19080751,1899325,3444209,9999200,3738017,0.80464333
