,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,864393.0,1104.0,572493,22.502,0.01844,5.266,20.002,15.993,20.004,2619015,4005731,3094323,10002021,19721090,2619015,4005731,10002021,3094323,0.73492724
1,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,784797.0,1019.0,425006,22.532,0.01395,5.277,20.005,16.005,20.0,2623954,4001317,3097799,10000124,19723194,2623954,4001317,10000124,3097799,0.7354625
2,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,893259.0,1083.0,15714,22.515,0.02115,5.269,19.995,15.996,19.995,2620773,4008097,3091427,9997263,19717560,2620773,4008097,9997263,3091427,0.73548585
3,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,865127.0,1093.0,726849,22.496,0.01851,5.273,20.013,16.0,19.991,2622561,4009077,3089455,9995676,19716769,2622561,4009077,9995676,3089455,0.7349183
4,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,854743.0,1141.0,249059,22.483,0.01757,5.289,20.009,16.002,20.009,2630681,4009771,3095741,10004416,19740609,2630681,4009771,10004416,3095741,0.7350517
5,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,841842.0,1121.0,966251,22.477,0.01675,5.269,19.989,15.992,19.99,2620374,3996449,3089312,9994808,19700943,2620374,3996449,9994808,3089312,0.7345418
6,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,913278.0,1126.0,148611,22.503,0.02385,5.275,20.003,15.999,19.997,2623545,4000155,3097891,9998432,19720023,2623545,4000155,9998432,3097891,0.7353605
7,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,788279.0,1043.0,735941,22.545,0.01402,5.287,20.003,15.998,19.992,2629150,4006076,3094577,9996235,19726038,2629150,4006076,9996235,3094577,0.7357164
8,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,901256.0,1162.0,770854,22.491,0.02209,5.278,19.982,16.008,20.007,2625469,3996005,3102082,10003732,19727288,2625469,3996005,10003732,3102082,0.73542833
9,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,810398.0,1021.0,606515,22.513,0.01499,5.282,20.0,16.004,20.007,2627258,3999722,3094040,10003374,19724394,2627258,3999722,10003374,3094040,0.73521656
10,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,766895.0,1054.0,19030,22.493,0.01332,5.28,20.0,16.008,19.998,2625946,4005767,3093297,9999021,19724031,2625946,4005767,9999021,3093297,0.7351764
11,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,850367.0,1081.0,90253,22.485,0.01736,5.282,20.002,16.002,19.998,2627271,4001553,3095747,9999073,19723644,2627271,4001553,9999073,3095747,0.73532975
12,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,797726.0,1040.0,478911,22.52,0.01449,5.271,20.003,15.989,19.998,2621855,3993497,3095884,9999132,19710368,2621855,3993497,9999132,3095884,0.73530525
13,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,864838.0,1118.0,991267,22.52,0.01833,5.277,20.011,15.994,19.994,2624662,4009936,3095098,9996995,19726691,2624662,4009936,9996995,3095098,0.7356977
14,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,808027.0,1011.0,396944,22.499,0.01495,5.277,19.994,16.004,20.004,2624434,4004257,3090043,10001944,19720678,2624434,4004257,10001944,3090043,0.73522806
15,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,875428.0,1152.0,154571,22.548,0.01924,5.285,20.005,16.002,20.005,2628532,4008077,3100040,10002348,19738997,2628532,4008077,10002348,3100040,0.7359634
16,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,817820.0,984.0,522957,22.514,0.01536,5.286,20.011,15.993,19.996,2629403,4005977,3095892,9998224,19729496,2629403,4005977,9998224,3095892,0.7357296
17,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,888132.0,1177.0,25086,22.494,0.02058,5.28,19.999,16.017,19.993,2626004,4004570,3097676,9996436,19724686,2626004,4004570,9996436,3097676,0.73543614
18,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,846804.0,1112.0,889314,22.488,0.01714,5.274,19.999,15.998,20.003,2622831,4003907,3094848,10001534,19723120,2622831,4003907,10001534,3094848,0.7351016
19,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,807448.0,1026.0,103729,22.52,0.01481,5.28,20.002,15.997,20.009,2626427,4006646,3095271,10004342,19732686,2626427,4006646,10004342,3095271,0.73544794
20,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,849090.0,1080.0,313612,22.511,0.01721,5.267,20.005,15.998,19.997,2619728,4007127,3092095,9998457,19717407,2619728,4007127,9998457,3092095,0.7352716
21,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,832211.0,1046.0,143222,22.503,0.0161,5.278,19.995,15.998,20.005,2625167,4004675,3093891,10002326,19726059,2625167,4004675,10002326,3093891,0.7352062
22,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,833121.0,1089.0,671844,22.511,0.01622,5.276,19.993,16.005,19.99,2624421,4002029,3096036,9994971,19717457,2624421,4002029,9994971,3096036,0.7354519
23,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,858967.0,1096.0,808649,22.5,0.018,5.279,19.989,16.01,19.994,2625399,4001752,3096982,9996859,19720992,2625399,4001752,9996859,3096982,0.7353374
24,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,730557.0,944.0,840760,22.481,0.01216,5.285,20.005,15.991,19.994,2628503,4011354,3093009,9996943,19729809,2628503,4011354,9996943,3093009,0.7349671
25,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,850892.0,1047.0,476246,22.535,0.01736,5.284,20.004,15.995,20.0,2628191,3999591,3098933,9999848,19726563,2628191,3999591,9999848,3098933,0.7356186
26,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,896583.0,1128.0,572177,22.493,0.02168,5.263,20.007,16.003,19.998,2617560,4004623,3093232,9999201,19714616,2617560,4004623,9999201,3093232,0.7350431
27,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,844800.0,1064.0,487862,22.499,0.01691,5.284,20.006,16.005,20.015,2627927,4012952,3090653,10007301,19738833,2627927,4012952,10007301,3090653,0.73511374
28,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,848773.0,1027.0,54817,22.509,0.0172,5.271,20.003,15.983,19.998,2621977,3999498,3090865,9998893,19711233,2621977,3999498,9998893,3090865,0.7352772
29,guinea,1000000,1000,2020-01-01,2020-12-31,hybrid,853478.0,1131.0,758333,22.495,0.01751,5.277,20.01,16.0,20.0,2624468,4002376,3096808,9999982,19723634,2624468,4002376,9999982,3096808,0.7352195
