,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,868086.0,2062.0,254011,27.634,0.01969,3.417,19.993,16.003,19.99,1645779,3293501,3877004,9995046,18811330,1645779,3293501,9995046,3877004,0.8129388
1,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,839705.0,2094.0,800022,27.628,0.01748,3.425,19.994,16.004,20.001,1648628,3288302,3880233,10000480,18817643,1648628,3288302,10000480,3880233,0.8131263
2,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,838042.0,2091.0,784662,27.651,0.01738,3.422,19.993,16.0,20.004,1647279,3285884,3880686,10002068,18815917,1647279,3285884,10002068,3880686,0.8134383
3,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,867691.0,2121.0,83824,27.652,0.01953,3.424,20.002,16.01,20.001,1648662,3293213,3881618,10000583,18824076,1648662,3293213,10000583,3881618,0.8134188
4,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,835751.0,2047.0,80959,27.595,0.01725,3.424,19.981,16.002,20.002,1647816,3297615,3867773,10000965,18814169,1647816,3297615,10000965,3867773,0.812216
5,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,835485.0,2025.0,817670,27.621,0.01717,3.424,20.003,15.992,19.995,1648621,3296885,3878404,9997353,18821263,1648621,3296885,9997353,3878404,0.81297606
6,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,801633.0,1933.0,800580,27.627,0.01539,3.42,19.997,15.986,19.995,1646469,3295657,3867872,9997719,18807717,1646469,3295657,9997719,3867872,0.81285304
7,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,774551.0,1941.0,993169,27.637,0.01428,3.414,20.001,16.009,20.007,1644119,3301890,3876776,10003269,18826054,1644119,3301890,10003269,3876776,0.81336755
8,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,702452.0,1763.0,381554,27.65,0.01207,3.425,19.996,15.989,19.998,1649233,3292256,3873508,9998783,18813780,1649233,3292256,9998783,3873508,0.8132867
9,haiti,1000000,1000,2020-01-01,2020-12-31,hybrid,860255.0,2083.0,561061,27.656,0.01889,3.421,20.008,15.999,19.999,1647012,3290908,3883106,9999748,18820774,1647012,3290908,9999748,3883106,0.81353676
