,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,772311.0,2053.0,661168,27.984,0.01356,3.578,20.0,16.0,19.993,1733123,3277321,3983526,9996358,18990328,1733123,3277321,9996358,3983526,0.82284224
1,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,880652.0,2266.0,670807,27.95,0.01967,3.578,20.006,16.004,20.003,1733169,3281160,3989398,10001672,19005399,1733169,3281160,10001672,3989398,0.82264704
2,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,834639.0,2186.0,334162,27.95,0.01627,3.582,19.999,15.993,20.0,1735236,3276672,3986267,9999974,18998149,1735236,3276672,9999974,3986267,0.82257533
3,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,827915.0,2173.0,953640,27.944,0.01597,3.577,19.989,16.006,19.992,1732711,3279387,3982446,9996091,18990635,1732711,3279387,9996091,3982446,0.82234704
4,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,813887.0,2145.0,793683,27.929,0.01529,3.581,20.001,15.998,19.998,1734707,3286856,3976134,9999020,18996717,1734707,3286856,9999020,3976134,0.8221225
5,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,781513.0,2088.0,708789,27.954,0.01388,3.574,19.994,16.003,20.004,1731188,3269570,3990616,10001800,18993174,1731188,3269570,10001800,3990616,0.8225354
6,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,780183.0,1997.0,803288,27.937,0.01388,3.581,20.002,16.005,20.002,1734458,3282995,3983778,10001037,19002268,1734458,3282995,10001037,3983778,0.82225317
7,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,826993.0,2144.0,740887,28.002,0.01584,3.588,20.005,16.001,20.001,1738530,3273503,3995501,10000327,19007861,1738530,3273503,10000327,3995501,0.8232138
8,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,713357.0,1799.0,426664,27.944,0.01194,3.579,19.991,15.991,19.996,1733611,3283736,3978205,9997971,18993523,1733611,3283736,9997971,3978205,0.8225872
9,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,748784.0,2025.0,857312,27.927,0.01281,3.571,19.99,16.002,20.001,1729395,3282222,3980001,10000566,18992184,1729395,3282222,10000566,3980001,0.82218885
10,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,859720.0,2258.0,812438,27.984,0.01789,3.581,20.009,15.998,20.003,1734926,3277738,3987320,10001691,19001675,1734926,3277738,10001691,3987320,0.8230186
