,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,india,1000000,1000,2020-01-01,2020-12-31,hybrid,955384.0,2725.0,861882,31.154,0.03122,3.678,20.01,16.006,20.0,1787539,2850117,4350220,10000110,18987986,1787539,2850117,10000110,4350220,0.86034137
1,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960001.0,2787.0,240503,31.144,0.03335,3.678,20.017,16.001,19.997,1787062,2859950,4344660,9998413,18990085,1787062,2859950,9998413,4344660,0.8603213
2,india,1000000,1000,2020-01-01,2020-12-31,hybrid,967448.0,2715.0,270180,31.142,0.03737,3.677,20.002,16.0,19.993,1786414,2860904,4339771,9996606,18983695,1786414,2860904,9996606,4339771,0.8605291
3,india,1000000,1000,2020-01-01,2020-12-31,hybrid,965459.0,2784.0,141821,31.118,0.03629,3.675,20.003,16.005,19.999,1785586,2862061,4340677,9999729,18988053,1785586,2862061,9999729,4340677,0.8602958
4,india,1000000,1000,2020-01-01,2020-12-31,hybrid,956614.0,2768.0,743646,31.129,0.03196,3.672,20.007,15.994,19.993,1784243,2862528,4334130,9996731,18977632,1784243,2862528,9996731,4334130,0.8601306
5,india,1000000,1000,2020-01-01,2020-12-31,hybrid,958070.0,2737.0,861328,31.169,0.03219,3.68,20.008,16.004,20.004,1788474,2854214,4345156,10002025,18989869,1788474,2854214,10002025,4345156,0.8608604
6,india,1000000,1000,2020-01-01,2020-12-31,hybrid,965943.0,2738.0,217155,31.195,0.03647,3.658,19.998,16.013,20.003,1777761,2850501,4346862,10001304,18976428,1777761,2850501,10001304,4346862,0.8608719
7,india,1000000,1000,2020-01-01,2020-12-31,hybrid,964560.0,2799.0,806793,31.098,0.03561,3.675,19.999,15.99,20.003,1785901,2862585,4335378,10001698,18985562,1785901,2862585,10001698,4335378,0.8597364
8,india,1000000,1000,2020-01-01,2020-12-31,hybrid,974844.0,2807.0,639042,31.147,0.04309,3.679,20.001,15.99,19.994,1787652,2850078,4345763,9997182,18980675,1787652,2850078,9997182,4345763,0.8606293
9,india,1000000,1000,2020-01-01,2020-12-31,hybrid,967459.0,2782.0,460235,31.147,0.03735,3.669,20.009,15.997,20.006,1783249,2853188,4348121,10003087,18987645,1783249,2853188,10003087,4348121,0.860673
10,india,1000000,1000,2020-01-01,2020-12-31,hybrid,951277.0,2738.0,636445,31.124,0.02972,3.672,19.998,16.005,20.01,1783974,2857693,4341213,10004908,18987788,1783974,2857693,10004908,4341213,0.86020494
11,india,1000000,1000,2020-01-01,2020-12-31,hybrid,959430.0,2773.0,207453,31.142,0.03299,3.672,19.996,16.001,20.004,1784207,2855699,4343716,10002084,18985706,1784207,2855699,10002084,4343716,0.86036134
12,india,1000000,1000,2020-01-01,2020-12-31,hybrid,963237.0,2826.0,13345,31.165,0.03484,3.671,20.0,15.988,19.999,1784067,2853451,4338625,9999460,18975603,1784067,2853451,9999460,4338625,0.8605739
13,india,1000000,1000,2020-01-01,2020-12-31,hybrid,963438.0,2761.0,183848,31.127,0.03499,3.671,20.014,16.0,19.994,1783883,2853552,4343559,9996800,18977794,1783883,2853552,9996800,4343559,0.860262
14,india,1000000,1000,2020-01-01,2020-12-31,hybrid,959899.0,2796.0,109215,31.157,0.03327,3.674,20.02,15.999,20.009,1784991,2854121,4346374,10004712,18990198,1784991,2854121,10004712,4346374,0.8606001
15,india,1000000,1000,2020-01-01,2020-12-31,hybrid,964524.0,2729.0,336837,31.151,0.03579,3.672,19.997,15.996,20.003,1785051,2852398,4337300,10001638,18976387,1785051,2852398,10001638,4337300,0.8604418
16,india,1000000,1000,2020-01-01,2020-12-31,hybrid,966838.0,2729.0,795533,31.135,0.03687,3.673,19.991,15.995,20.003,1784671,2857100,4338632,10001677,18982080,1784671,2857100,10001677,4338632,0.8603696
17,india,1000000,1000,2020-01-01,2020-12-31,hybrid,945572.0,2674.0,640969,31.159,0.02807,3.675,20.001,16.006,20.0,1784818,2856237,4341729,9999928,18982712,1784818,2856237,9999928,4341729,0.86053205
18,india,1000000,1000,2020-01-01,2020-12-31,hybrid,969911.0,2753.0,771034,31.174,0.03893,3.672,19.996,15.991,20.0,1784857,2851958,4336563,9999910,18973288,1784857,2851958,9999910,4336563,0.860609
19,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960432.0,2728.0,791972,31.188,0.03345,3.675,20.003,16.002,19.999,1785579,2854292,4345000,9999682,18984553,1785579,2854292,9999682,4345000,0.8609957
20,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960833.0,2740.0,629959,31.162,0.03364,3.679,19.998,15.991,19.997,1787509,2861621,4339271,9998533,18986934,1787509,2861621,9998533,4339271,0.8606389
21,india,1000000,1000,2020-01-01,2020-12-31,hybrid,961938.0,2761.0,558595,31.157,0.0343,3.676,19.996,15.997,20.005,1786520,2858347,4340520,10002589,18987976,1786520,2858347,10002589,4340520,0.86072236
22,india,1000000,1000,2020-01-01,2020-12-31,hybrid,956910.0,2773.0,461843,31.184,0.03181,3.684,19.997,16.001,20.002,1789978,2857457,4344180,10001042,18992657,1789978,2857457,10001042,4344180,0.861044
23,india,1000000,1000,2020-01-01,2020-12-31,hybrid,965515.0,2733.0,62198,31.12,0.03608,3.683,20.011,15.994,20.004,1789880,2859698,4338548,10002159,18990285,1789880,2859698,10002159,4338548,0.85996586
24,india,1000000,1000,2020-01-01,2020-12-31,hybrid,958270.0,2746.0,969675,31.13,0.0326,3.673,19.998,15.995,20.01,1785352,2844565,4347473,10004914,18982304,1785352,2844565,10004914,4347473,0.8603022
25,india,1000000,1000,2020-01-01,2020-12-31,hybrid,962260.0,2707.0,419484,31.151,0.03438,3.673,19.994,15.999,19.997,1784692,2855381,4341618,9998410,18980101,1784692,2855381,9998410,4341618,0.8603099
26,india,1000000,1000,2020-01-01,2020-12-31,hybrid,960329.0,2646.0,431783,31.155,0.03341,3.678,20.015,16.003,20.003,1787754,2853169,4345801,10001732,18988456,1787754,2853169,10001732,4345801,0.8601944
