,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,880149.0,1083.0,503302,24.044,0.02478,2.843,20.003,15.992,19.996,1320011,3769723,3511385,9997785,18598904,1320011,3769723,9997785,3511385,0.76282907
1,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,876396.0,1061.0,114893,24.01,0.02431,2.843,20.001,16.017,19.998,1319609,3771622,3511990,9998759,18601980,1319609,3771622,9998759,3511990,0.76247716
2,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,906819.0,1039.0,805559,24.01,0.02925,2.841,20.002,16.003,20.001,1318897,3774400,3507208,10000332,18600837,1318897,3774400,10000332,3507208,0.76214814
3,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,910691.0,1089.0,805799,23.997,0.03003,2.839,20.002,15.997,20.004,1317943,3765296,3511364,10001880,18596483,1317943,3765296,10001880,3511364,0.7622788
4,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,909872.0,1017.0,542649,24.01,0.02974,2.84,20.004,15.996,20.004,1318600,3765505,3508127,10001803,18594035,1318600,3765505,10001803,3508127,0.76252794
5,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,866367.0,965.0,171095,24.004,0.02306,2.842,19.996,16.008,20.001,1319776,3773432,3511239,10000353,18604800,1319776,3773432,10000353,3511239,0.7623773
6,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,892823.0,1110.0,441886,24.018,0.02648,2.842,20.011,16.0,20.014,1319127,3774263,3517290,10007147,18617827,1319127,3774263,10007147,3517290,0.7626487
7,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,903026.0,1063.0,734226,23.98,0.02843,2.839,20.013,16.0,19.994,1317675,3774381,3508108,9997127,18597291,1317675,3774381,9997127,3508108,0.7619033
8,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,918838.0,1059.0,662587,24.068,0.03171,2.844,20.001,16.003,20.001,1320843,3767000,3520593,10000382,18608818,1320843,3767000,10000382,3520593,0.7633342
9,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,876410.0,1050.0,890265,24.05,0.02429,2.841,19.998,15.997,20.01,1319399,3773439,3509278,10004816,18606932,1319399,3773439,10004816,3509278,0.7629577
