,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,851542.0,1841.0,582544,29.401,0.01802,3.443,20.014,16.0,19.998,1659398,2731228,4346312,9998890,18735828,1659398,2731228,9998890,4346312,0.8242253
1,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,869878.0,1874.0,411553,29.42,0.01954,3.452,20.012,15.998,19.997,1663159,2733810,4347048,9998654,18742671,1663159,2733810,9998654,4347048,0.82473606
2,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,745282.0,1619.0,856692,29.393,0.01301,3.449,19.975,16.001,20.007,1662603,2731258,4346197,10003365,18743423,1662603,2731258,10003365,4346197,0.82434964
3,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,848211.0,1838.0,525718,29.391,0.01785,3.448,20.006,15.997,19.994,1661845,2729426,4346684,9997229,18735184,1661845,2729426,9997229,4346684,0.82427555
4,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,840997.0,1863.0,657947,29.395,0.01744,3.44,20.001,16.003,19.997,1657178,2732380,4341776,9998338,18729672,1657178,2732380,9998338,4341776,0.8241373
5,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,784479.0,1728.0,564440,29.406,0.01433,3.447,19.997,15.999,20.001,1661591,2732810,4346655,10000277,18741333,1661591,2732810,10000277,4346655,0.8242202
6,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,826001.0,1810.0,919777,29.481,0.01636,3.455,20.007,15.993,19.996,1664836,2718164,4355839,9998101,18736940,1664836,2718164,9998101,4355839,0.8254676
7,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,839345.0,1838.0,656631,29.398,0.01724,3.447,19.992,16.006,19.999,1660705,2728609,4347712,9999359,18736385,1660705,2728609,9999359,4347712,0.8241855
8,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,825088.0,1825.0,752852,29.422,0.0163,3.449,20.01,16.01,20.001,1662255,2725339,4353815,10000396,18741805,1662255,2725339,10000396,4353815,0.8245272
9,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,904844.0,1956.0,561563,29.433,0.02376,3.443,19.977,16.005,20.0,1659230,2725148,4348479,10000139,18732996,1659230,2725148,10000139,4348479,0.8245298
10,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,872828.0,1900.0,986204,29.423,0.01987,3.446,20.014,16.001,20.003,1661028,2727426,4348181,10001514,18738149,1661028,2727426,10001514,4348181,0.8244903
11,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,689922.0,1505.0,928257,29.428,0.01158,3.447,20.004,16.003,20.01,1661551,2736434,4339075,10005202,18742262,1661551,2736434,10005202,4339075,0.8246926
12,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,838661.0,1915.0,789707,29.387,0.01725,3.437,20.004,15.997,20.004,1656266,2735237,4342383,10001820,18735706,1656266,2735237,10001820,4342383,0.82400626
13,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,855255.0,1795.0,989623,29.412,0.01838,3.44,20.011,16.001,20.004,1657596,2730530,4349109,10002094,18739329,1657596,2730530,10002094,4349109,0.8244101
14,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,552947.0,1290.0,237990,29.388,0.00924,3.439,19.996,15.997,20.003,1656807,2732989,4334793,10001311,18725900,1656807,2732989,10001311,4334793,0.8239254
15,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,859341.0,1804.0,159411,29.404,0.01873,3.441,20.001,16.001,20.008,1658455,2732790,4344591,10003877,18739713,1658455,2732790,10003877,4344591,0.8242289
16,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,865615.0,1881.0,380873,29.391,0.01928,3.45,20.008,15.999,19.998,1662822,2732868,4343587,9998807,18738084,1662822,2732868,9998807,4343587,0.8239966
17,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,861712.0,1851.0,69993,29.407,0.0189,3.439,20.004,16.0,19.998,1657540,2733728,4343079,9999218,18733565,1657540,2733728,9999218,4343079,0.8241874
18,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,781696.0,1777.0,680145,29.391,0.01432,3.446,19.987,16.007,20.007,1660444,2731471,4343533,10003273,18738721,1660444,2731471,10003273,4343533,0.8241149
19,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,767402.0,1676.0,537384,29.385,0.01382,3.448,19.985,15.998,20.007,1661712,2733322,4337278,10003448,18735760,1661712,2733322,10003448,4337278,0.82392883
20,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,875296.0,1856.0,591334,29.401,0.02007,3.449,19.989,15.993,19.997,1662051,2727885,4345675,9998550,18734161,1662051,2727885,9998550,4345675,0.8242575
21,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,802867.0,1734.0,378987,29.418,0.01525,3.449,19.998,16.002,19.991,1662474,2730370,4351736,9995465,18740045,1662474,2730370,9995465,4351736,0.8246603
