,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,948693.0,3292.0,981840,31.985,0.02751,4.296,20.0,16.002,19.997,2117275,2702910,4303771,9998356,19122312,2117275,2702910,9998356,4303771,0.86267823
1,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,962283.0,3224.0,625541,32.028,0.03257,4.291,19.997,16.0,20.003,2114260,2701101,4304301,10001293,19120955,2114260,2701101,10001293,4304301,0.8631095
2,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,940008.0,3233.0,199918,32.059,0.02508,4.301,19.996,16.01,20.004,2119862,2689963,4317632,10002000,19129457,2119862,2689963,10002000,4317632,0.8639333
3,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,955373.0,3299.0,933476,32.032,0.02957,4.302,20.006,16.001,19.999,2120283,2702639,4305840,9999731,19128493,2120283,2702639,9999731,4305840,0.8635639
4,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,949600.0,3189.0,266754,32.019,0.02773,4.295,20.008,16.012,19.998,2116458,2706026,4308892,9998955,19130331,2116458,2706026,9998955,4308892,0.8631597
5,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,944505.0,3175.0,337083,32.015,0.02632,4.303,20.006,16.002,19.992,2120370,2705435,4308767,9995774,19130346,2120370,2705435,9995774,4308767,0.8632246
6,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,952513.0,3157.0,678855,32.043,0.02859,4.304,20.004,15.999,19.995,2121271,2701346,4307604,9997363,19127584,2121271,2701346,9997363,4307604,0.8635662
7,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,940510.0,3129.0,723337,32.051,0.02519,4.297,20.001,15.997,20.008,2117838,2706448,4308814,10004239,19137339,2117838,2706448,10004239,4308814,0.86373293
8,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,919265.0,3100.0,20075,32.009,0.02126,4.299,20.013,15.997,20.004,2118235,2705400,4304681,10001766,19130082,2118235,2705400,10001766,4304681,0.86310095
9,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,941072.0,3150.0,114630,32.057,0.02528,4.293,19.994,15.993,19.994,2115841,2698869,4311501,9996959,19123170,2115841,2698869,9996959,4311501,0.8639879
10,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,937983.0,3067.0,946262,32.012,0.02478,4.307,20.001,16.001,20.001,2122067,2710870,4301328,10000667,19134932,2122067,2710870,10000667,4301328,0.8630361
11,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,949961.0,3190.0,16878,32.048,0.02766,4.305,19.991,15.998,20.001,2121616,2697179,4313579,10000366,19132740,2121616,2697179,10000366,4313579,0.8636722
12,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,959848.0,3322.0,154063,31.977,0.0315,4.291,20.003,16.012,19.993,2114429,2703015,4311477,9996735,19125656,2114429,2703015,9996735,4311477,0.8628745
13,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,954322.0,3150.0,981449,32.015,0.0292,4.296,20.001,15.993,19.999,2116970,2703506,4305792,9999639,19125907,2116970,2703506,9999639,4305792,0.86340964
14,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,961817.0,3225.0,581353,31.986,0.03242,4.295,20.003,16.007,20.001,2115923,2708656,4303683,10000717,19128979,2115923,2708656,10000717,4303683,0.8629031
15,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,943545.0,3166.0,653181,32.016,0.02607,4.305,20.002,16.003,19.994,2121489,2696754,4314927,9996828,19129998,2121489,2696754,9996828,4314927,0.86324275
16,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,940414.0,3199.0,408169,32.048,0.02525,4.3,20.013,15.993,19.988,2119245,2701902,4313185,9994099,19128431,2119245,2701902,9994099,4313185,0.863691
17,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,947588.0,3116.0,704445,32.028,0.02716,4.292,20.012,15.993,20.0,2114989,2704508,4302176,10000215,19121888,2114989,2704508,10000215,4302176,0.86318856
18,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,928889.0,3124.0,492153,32.061,0.02277,4.298,19.999,15.994,20.006,2118176,2698116,4313661,10002790,19132743,2118176,2698116,10002790,4313661,0.863889
19,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,944351.0,3132.0,771498,32.023,0.02619,4.303,20.004,15.999,19.999,2120389,2708811,4303792,9999512,19132504,2120389,2708811,9999512,4303792,0.86323464
20,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,940554.0,3154.0,118194,32.05,0.0252,4.301,19.996,16.0,20.003,2119560,2706977,4304330,10001474,19132341,2119560,2706977,10001474,4304330,0.8636489
21,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,935149.0,3110.0,494240,32.038,0.02407,4.301,20.002,15.997,19.991,2118601,2698436,4310463,9995423,19122923,2118601,2698436,9995423,4310463,0.8634879
22,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,918582.0,3196.0,541662,32.099,0.02115,4.298,20.008,16.004,20.002,2117854,2690817,4312089,10000895,19121655,2117854,2690817,10000895,4312089,0.8642345
23,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,922719.0,3250.0,819517,32.047,0.02184,4.295,20.005,16.002,20.001,2116284,2703924,4314347,10000650,19135205,2116284,2703924,10000650,4314347,0.8636631
24,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,949365.0,3267.0,64889,32.05,0.02763,4.297,20.002,15.997,19.993,2117256,2699285,4308676,9996718,19121935,2117256,2699285,9996718,4308676,0.86385417
25,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,943172.0,3111.0,101233,32.024,0.02595,4.296,19.979,15.999,20.0,2116435,2700823,4307498,9999996,19124752,2116435,2700823,9999996,4307498,0.8634407
26,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,919232.0,3200.0,344822,32.029,0.02135,4.302,19.999,15.999,20.0,2120153,2702087,4312911,10000151,19135302,2120153,2702087,10000151,4312911,0.8635054
27,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,941550.0,3190.0,473083,32.013,0.02553,4.292,20.006,16.0,20.01,2114862,2704898,4304470,10004951,19129181,2114862,2704898,10004951,4304470,0.8630653
28,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,907638.0,3073.0,378078,32.028,0.01974,4.301,19.991,15.997,20.001,2119565,2706968,4305096,10000565,19132194,2119565,2706968,10000565,4305096,0.86323315
29,morocco,1000000,1000,2020-01-01,2020-12-31,hybrid,950175.0,3189.0,24355,32.046,0.02776,4.293,19.999,16.001,20.004,2115324,2697267,4313881,10002240,19128712,2115324,2697267,10002240,4313881,0.8637191
