,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,945118.0,2342.0,187567,28.805,0.03084,3.373,20.0,16.013,20.0,1620683,3253050,4011412,10000186,18885331,1620683,3253050,10000186,4011412,0.8353252
1,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,961969.0,2361.0,394307,28.816,0.038,3.369,20.018,15.993,20.005,1618041,3264890,4003316,10002396,18888643,1618041,3264890,10002396,4003316,0.83530366
2,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,946385.0,2287.0,759179,28.835,0.03124,3.372,20.001,15.999,20.0,1620464,3248056,4007328,10000178,18876026,1620464,3248056,10000178,4007328,0.83560884
3,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,959901.0,2381.0,610130,28.912,0.03679,3.365,19.998,15.998,20.005,1616964,3245592,4018995,10002650,18884201,1616964,3245592,10002650,4018995,0.8369401
4,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,944024.0,2314.0,414668,28.855,0.03047,3.368,19.993,16.0,20.0,1616770,3247634,4013917,9999827,18878148,1616770,3247634,9999827,4013917,0.8361306
5,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,944602.0,2266.0,418043,28.859,0.03061,3.373,19.997,16.006,20.003,1620600,3250976,4012543,10001511,18885630,1620600,3250976,10001511,4012543,0.83591354
6,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,958501.0,2365.0,304796,28.839,0.03612,3.365,20.019,16.011,20.005,1616980,3265513,4004947,10002653,18890093,1616980,3265513,10002653,4004947,0.8357416
7,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,960380.0,2314.0,237378,28.858,0.0373,3.375,19.992,16.003,19.998,1621269,3250285,4011632,9999249,18882435,1621269,3250285,9999249,4011632,0.83598286
8,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,941052.0,2299.0,834904,28.829,0.02953,3.368,19.997,15.989,20.002,1618469,3253228,4000366,10000896,18872959,1618469,3253228,10000896,4000366,0.83557266
9,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,967431.0,2353.0,131853,28.83,0.0418,3.364,19.999,15.989,20.003,1615537,3260166,4000788,10001548,18878039,1615537,3260166,10001548,4000788,0.8356351
10,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,951309.0,2330.0,644747,28.885,0.03299,3.376,19.987,16.0,20.0,1621858,3248122,4013818,9999801,18883599,1621858,3248122,9999801,4013818,0.83618283
11,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,950245.0,2309.0,763468,28.862,0.03256,3.367,20.004,15.997,19.998,1617694,3252467,4011007,9999221,18880389,1617694,3252467,9999221,4011007,0.8361242
12,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,954339.0,2328.0,150796,28.814,0.03434,3.369,20.007,15.992,20.001,1618989,3263579,4001691,10000497,18884756,1618989,3263579,10000497,4001691,0.8352829
13,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,938413.0,2326.0,707640,28.861,0.02884,3.369,19.999,16.003,19.996,1619257,3255478,4009021,9998138,18881894,1619257,3255478,9998138,4009021,0.835853
14,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,950425.0,2365.0,413192,28.847,0.03269,3.364,19.995,16.008,20.0,1615813,3255708,4009888,10000006,18881415,1615813,3255708,10000006,4009888,0.8358966
15,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,951917.0,2407.0,802449,28.834,0.03318,3.372,20.004,16.007,19.998,1620127,3261394,4004057,9998876,18884454,1620127,3261394,9998876,4004057,0.8355346
16,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,952351.0,2353.0,97592,28.824,0.03334,3.362,19.993,16.007,20.002,1615635,3257282,4006114,10000970,18880001,1615635,3257282,10000970,4006114,0.8357642
17,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,951795.0,2415.0,581823,28.864,0.03308,3.374,20.0,15.995,20.005,1621740,3254665,4006839,10002572,18885816,1621740,3254665,10002572,4006839,0.8363219
18,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,953529.0,2255.0,183648,28.859,0.03382,3.375,19.998,16.0,20.001,1621915,3254610,4006536,10000618,18883679,1621915,3254610,10000618,4006536,0.836137
19,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,951504.0,2372.0,511726,28.826,0.03328,3.366,19.995,15.994,19.999,1616794,3253981,4006152,9999503,18876430,1616794,3253981,9999503,4006152,0.8355921
20,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,950807.0,2349.0,616481,28.874,0.03286,3.372,19.995,15.999,19.994,1620280,3247421,4007448,9997017,18872166,1620280,3247421,9997017,4007448,0.8360727
21,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,957124.0,2296.0,209094,28.852,0.03548,3.365,19.999,16.001,19.998,1616588,3253494,4007005,9998758,18875845,1616588,3253494,9998758,4007005,0.83561945
22,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,954084.0,2139.0,602774,28.869,0.03409,3.377,20.011,15.984,20.001,1622873,3256720,4007604,10000707,18887904,1622873,3256720,10000707,4007604,0.8363163
23,nepal,1000000,1000,2020-01-01,2020-12-31,hybrid,952032.0,2381.0,116392,28.847,0.03321,3.372,19.975,16.006,20.001,1620137,3256153,4006872,10000593,18883755,1620137,3256153,10000593,4006872,0.8357754
