,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,791418.0,5951.0,400821,39.421,0.01555,2.065,20.006,16.01,19.991,838315,2083864,4380056,9995567,17297802,838315,2083864,9995567,4380056,0.952717
1,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,822446.0,6415.0,597301,39.402,0.01702,2.056,19.997,16.002,19.997,834696,2087951,4383416,9998360,17304423,834696,2087951,9998360,4383416,0.9523569
2,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,851192.0,6624.0,783291,39.425,0.01879,2.062,20.006,15.989,20.0,836866,2090756,4366981,10000175,17294778,836866,2090756,10000175,4366981,0.952735
3,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,672802.0,5057.0,776828,39.382,0.01203,2.057,19.992,16.001,19.997,835100,2089596,4371277,9998724,17294697,835100,2089596,9998724,4371277,0.9520182
4,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,819840.0,6309.0,371293,39.425,0.01691,2.06,19.991,16.006,19.995,837125,2076140,4383540,9997589,17294394,837125,2076140,9997589,4383540,0.95275164
5,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,691992.0,5114.0,896944,39.411,0.01248,2.061,20.006,15.999,19.995,837002,2087829,4371170,9997741,17293742,837002,2087829,9997741,4371170,0.9523759
6,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,851847.0,6577.0,887393,39.413,0.01884,2.06,20.013,16.01,20.004,836277,2084390,4376923,10001953,17299543,836277,2084390,10001953,4376923,0.95255744
7,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,683477.0,5150.0,23800,39.419,0.01228,2.058,19.999,16.007,19.997,835499,2081118,4382266,9998419,17297302,835499,2081118,9998419,4382266,0.9526871
8,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,639275.0,4800.0,544941,39.362,0.01141,2.058,20.017,16.002,19.995,834708,2091457,4375135,9997417,17298717,834708,2091457,9997417,4375135,0.9519844
9,new zealand,1000000,1000,2020-01-01,2020-12-31,hybrid,769864.0,5953.0,170622,39.391,0.01476,2.059,19.978,16.002,19.998,836520,2081266,4372990,9999156,17289932,836520,2081266,9999156,4372990,0.9520548
