,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,919371.0,1870.0,79012,26.53,0.02064,5.829,19.989,15.994,20.005,2905951,3382434,3749107,10002666,20040158,2905951,3382434,10002666,3749107,0.7944438
1,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,926649.0,1835.0,778225,26.565,0.02174,5.82,20.003,16.002,19.998,2901347,3383330,3756286,9998932,20039895,2901347,3383330,9998932,3756286,0.795133
2,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,967608.0,1801.0,661637,26.514,0.03342,5.826,20.001,16.001,19.993,2903953,3387461,3750517,9996729,20038660,2903953,3387461,9996729,3750517,0.79426765
3,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,925380.0,1914.0,765189,26.528,0.02146,5.825,20.003,15.992,19.999,2903814,3388068,3749062,9999709,20040653,2903814,3388068,9999709,3749062,0.7947138
4,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,952653.0,1975.0,587101,26.531,0.02749,5.838,19.991,16.008,20.002,2910265,3387008,3750815,10000824,20048912,2910265,3387008,10000824,3750815,0.79471034
5,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,945094.0,1935.0,254170,26.538,0.02539,5.83,20.007,16.001,20.007,2905825,3387825,3748650,10003466,20045766,2905825,3387825,10003466,3748650,0.7947465
6,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,962389.0,1885.0,497138,26.548,0.03114,5.82,19.997,16.002,20.001,2901061,3378735,3754219,10000287,20034302,2901061,3378735,10000287,3754219,0.7948912
7,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,957136.0,1840.0,582642,26.552,0.02909,5.816,19.998,15.998,20.007,2899370,3384011,3749471,10003458,20036310,2899370,3384011,10003458,3749471,0.7950231
8,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,953958.0,1958.0,984033,26.531,0.02797,5.828,20.001,16.011,19.998,2904963,3396254,3746535,9998884,20046636,2904963,3396254,9998884,3746535,0.79460466
9,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,914448.0,1829.0,140089,26.535,0.01988,5.834,19.989,16.004,19.997,2908498,3387536,3750047,9998699,20044780,2908498,3387536,9998699,3750047,0.79480445
10,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,955063.0,1971.0,267570,26.543,0.02843,5.822,20.003,16.006,19.995,2902705,3388766,3750643,9997474,20039588,2902705,3388766,9997474,3750643,0.79489946
11,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,941812.0,1951.0,192168,26.544,0.02458,5.826,20.002,16.012,20.002,2903807,3389675,3752276,10001185,20046943,2903807,3389675,10001185,3752276,0.79480237
12,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,949165.0,1976.0,780734,26.54,0.02658,5.814,20.004,15.993,20.005,2898010,3385368,3746302,10002340,20032020,2898010,3385368,10002340,3746302,0.7946711
13,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,951017.0,1856.0,284141,26.544,0.0271,5.823,19.988,16.005,20.001,2903118,3380101,3750967,10000707,20034893,2903118,3380101,10000707,3750967,0.79478836
