,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,939184.0,4197.0,201661,32.495,0.03066,2.862,20.012,16.01,19.997,1331252,2719510,4248604,9998701,18298067,1331252,2719510,9998701,4248604,0.8681942
1,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,961603.0,4208.0,39425,32.503,0.04014,2.869,19.985,15.999,20.001,1334519,2725637,4240970,10000544,18301670,1334519,2725637,10000544,4240970,0.8682549
2,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,954454.0,4181.0,613071,32.534,0.03632,2.866,20.009,16.006,19.993,1334346,2718621,4251137,9996720,18300824,1334346,2718621,9996720,4251137,0.8686625
3,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,947899.0,4218.0,96411,32.544,0.03365,2.871,20.008,16.006,19.993,1336090,2713861,4250638,9996262,18296851,1336090,2713861,9996262,4250638,0.8685813
4,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,947209.0,4277.0,745907,32.533,0.03332,2.877,20.018,16.003,19.999,1338886,2712157,4254104,9999472,18304619,1338886,2712157,9999472,4254104,0.86904615
5,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,943546.0,4254.0,467711,32.523,0.03193,2.866,19.99,16.001,20.002,1334552,2716180,4241098,10000974,18292804,1334552,2716180,10000974,4241098,0.8682212
6,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,958975.0,4285.0,940940,32.505,0.03863,2.871,20.011,15.991,19.998,1336322,2716292,4251378,9999010,18303002,1336322,2716292,9999010,4251378,0.8682553
7,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,941078.0,4260.0,665022,32.53,0.03104,2.869,19.997,15.993,20.0,1336095,2705384,4252619,9999764,18293862,1336095,2705384,9999764,4252619,0.8687505
8,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,947248.0,4236.0,901742,32.549,0.033,2.871,20.003,16.012,20.0,1335997,2711450,4261189,9999830,18308466,1335997,2711450,9999830,4261189,0.8690169
9,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,945653.0,4219.0,4230,32.506,0.03264,2.871,20.011,15.993,20.006,1336965,2719836,4245703,10002775,18305279,1336965,2719836,10002775,4245703,0.8683953
10,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,952253.0,4298.0,238803,32.553,0.03521,2.866,19.991,16.001,20.001,1334266,2710488,4254321,10000749,18299824,1334266,2710488,10000749,4254321,0.86915684
11,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,949095.0,4261.0,355016,32.51,0.0341,2.87,20.001,16.01,20.0,1335672,2712989,4252185,9999966,18300812,1335672,2712989,9999966,4252185,0.86809516
12,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,950377.0,4268.0,991901,32.509,0.03426,2.866,19.988,15.999,19.997,1333696,2711877,4251550,9998489,18295612,1333696,2711877,9998489,4251550,0.8684825
13,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,955209.0,4348.0,178781,32.481,0.0367,2.866,19.997,16.008,20.006,1334186,2715287,4252383,10003011,18304867,1334186,2715287,10003011,4252383,0.86809224
14,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,937777.0,4240.0,358959,32.515,0.03017,2.869,19.997,15.995,20.006,1334836,2717401,4246482,10002894,18301613,1334836,2717401,10002894,4246482,0.86846393
15,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,960036.0,4259.0,695651,32.485,0.0393,2.87,19.989,16.004,19.994,1335913,2713333,4249777,9996910,18295933,1335913,2713333,9996910,4249777,0.8680073
16,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,948245.0,4199.0,746466,32.505,0.03366,2.867,19.998,15.996,19.999,1334341,2720404,4242946,9999269,18296960,1334341,2720404,9999269,4242946,0.86828065
17,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,958665.0,4264.0,465717,32.535,0.03848,2.868,20.007,16.0,20.002,1334657,2716773,4251744,10000927,18304101,1334657,2716773,10000927,4251744,0.8682066
18,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,945531.0,4371.0,106132,32.54,0.03265,2.871,19.99,15.997,20.002,1336427,2711017,4248967,10001036,18297447,1336427,2711017,10001036,4248967,0.86882395
19,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,942783.0,4155.0,160486,32.556,0.03151,2.874,19.998,15.994,19.992,1337455,2716389,4251862,9996176,18301882,1337455,2716389,9996176,4251862,0.8690758
20,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,946922.0,4340.0,5183,32.541,0.03324,2.869,20.014,16.001,20.01,1334339,2715187,4249922,10005022,18304470,1334339,2715187,10005022,4249922,0.8687618
21,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,956165.0,4217.0,91400,32.507,0.03705,2.865,20.006,16.004,19.996,1333281,2718741,4247655,9997924,18297601,1333281,2718741,9997924,4247655,0.86834747
22,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,944574.0,4097.0,107377,32.542,0.03232,2.869,19.991,15.996,20.001,1334840,2710935,4248265,10000510,18294550,1334840,2710935,10000510,4248265,0.86866194
23,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,948539.0,4225.0,109594,32.507,0.03376,2.871,20.004,15.997,20.0,1336477,2715758,4251983,9999925,18304143,1336477,2715758,9999925,4251983,0.8683816
24,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,963258.0,4285.0,691793,32.506,0.04121,2.859,19.99,15.991,20.0,1329981,2722993,4243804,10000082,18296860,1329981,2722993,10000082,4243804,0.8683226
25,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,956340.0,4274.0,14489,32.489,0.03713,2.871,20.005,15.991,19.996,1336395,2721667,4243555,9998182,18299799,1336395,2721667,9998182,4243555,0.8681201
26,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,951994.0,4086.0,145570,32.53,0.03519,2.871,20.004,15.99,20.002,1336106,2718466,4244172,10001105,18299849,1336106,2718466,10001105,4244172,0.86871123
27,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,947546.0,4263.0,959016,32.514,0.03348,2.868,20.01,15.999,20.0,1334653,2715935,4249953,10000213,18300754,1334653,2715935,10000213,4249953,0.86841035
28,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,956481.0,4140.0,168538,32.498,0.03734,2.867,20.003,16.016,20.0,1334004,2720251,4258415,10000135,18312805,1334004,2720251,10000135,4258415,0.86840165
29,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,959897.0,4296.0,319873,32.496,0.03931,2.862,19.995,16.004,19.996,1332434,2722008,4242618,9998205,18295265,1332434,2722008,9998205,4242618,0.8681676
