,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,926894.0,2295.0,926599,29.138,0.02679,3.364,19.999,15.992,20.008,1615502,3109639,4070481,10003843,18799465,1615502,3109639,10003843,4070481,0.8313364
1,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,904242.0,2275.0,893955,29.139,0.02296,3.357,20.008,16.005,20.0,1612321,3102732,4081090,9999760,18795903,1612321,3102732,9999760,4081090,0.8312791
2,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,925744.0,2313.0,239880,29.131,0.02659,3.357,20.007,15.995,19.994,1612317,3119143,4066558,9996973,18794991,1612317,3119143,9996973,4066558,0.8307868
3,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,917974.0,2410.0,224809,29.137,0.02508,3.358,20.001,16.004,19.999,1612396,3113828,4067343,9999556,18793123,1612396,3113828,9999556,4067343,0.83085144
4,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,907321.0,2275.0,34486,29.15,0.02342,3.354,19.996,16.001,20.003,1610589,3104419,4074467,10001589,18791064,1610589,3104419,10001589,4074467,0.83113843
5,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,923971.0,2294.0,132577,29.143,0.02627,3.359,20.01,15.994,20.001,1612889,3111651,4071897,10000256,18796693,1612889,3111651,10000256,4071897,0.83094877
6,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,928469.0,2386.0,689360,29.147,0.02723,3.358,20.002,16.0,20.0,1612099,3106874,4076429,9999815,18795217,1612099,3106874,9999815,4076429,0.83097476
7,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,927442.0,2262.0,980351,29.144,0.02704,3.362,20.005,15.996,20.004,1614394,3108313,4073393,10002235,18798335,1614394,3108313,10002235,4073393,0.8310601
8,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,942810.0,2393.0,597916,29.131,0.03105,3.355,19.998,16.006,20.003,1610612,3122028,4069256,10001394,18803290,1610612,3122028,10001394,4069256,0.83113194
9,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,934187.0,2371.0,602051,29.151,0.0286,3.36,19.998,16.006,19.993,1613392,3106676,4075767,9996661,18792496,1613392,3106676,9996661,4075767,0.8313044
10,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,932661.0,2348.0,698535,29.13,0.02818,3.365,19.999,16.0,20.002,1615608,3113773,4072132,10001034,18802547,1615608,3113773,10001034,4072132,0.8309556
11,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,916930.0,2284.0,981290,29.156,0.02479,3.364,20.007,16.002,20.003,1615799,3119703,4069209,10001541,18806252,1615799,3119703,10001541,4069209,0.83135056
12,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,918485.0,2262.0,184963,29.102,0.02517,3.36,20.009,16.0,19.996,1612998,3121853,4067052,9998217,18800120,1612998,3121853,9998217,4067052,0.83070123
13,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,909117.0,2336.0,624306,29.138,0.0237,3.363,19.985,16.0,19.995,1614838,3106657,4068578,9997494,18787567,1614838,3106657,9997494,4068578,0.8309451
14,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,932617.0,2324.0,580191,29.152,0.02817,3.361,19.994,15.994,20.009,1613620,3111042,4077121,10004356,18806139,1613620,3111042,10004356,4077121,0.8312257
15,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,924766.0,2254.0,429207,29.185,0.02632,3.354,19.996,16.007,20.009,1610536,3103834,4084343,10004486,18803199,1610536,3103834,10004486,4084343,0.83174133
