,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,859467.0,2087.0,933462,26.938,0.01564,5.773,20.011,16.001,20.001,2877468,3460072,3555329,10000482,19893351,2877468,3460072,10000482,3555329,0.7866395
1,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,898048.0,2134.0,443160,26.939,0.01874,5.779,19.991,16.005,19.997,2880144,3466727,3549003,9998472,19894346,2880144,3466727,9998472,3549003,0.78669643
2,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,826797.0,1979.0,518508,26.87,0.01392,5.769,19.994,16.007,20.0,2875106,3455731,3549723,10000084,19880644,2875106,3455731,10000084,3549723,0.78561467
3,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,840598.0,2065.0,367611,26.929,0.01449,5.762,20.025,16.008,20.0,2872131,3464041,3556538,9999786,19892496,2872131,3464041,9999786,3556538,0.78654784
4,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,846953.0,2084.0,164274,26.966,0.01489,5.767,20.013,15.996,20.007,2874620,3453870,3556079,10003698,19888267,2874620,3453870,10003698,3556079,0.7868437
5,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,918725.0,2090.0,29599,26.934,0.02126,5.769,19.986,15.999,20.005,2875258,3457697,3552630,10002352,19887937,2875258,3457697,10002352,3552630,0.7864563
6,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,926669.0,2161.0,677741,26.938,0.02255,5.778,20.006,15.998,19.999,2879713,3467866,3546197,9999343,19893119,2879713,3467866,9999343,3546197,0.78649247
7,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,838658.0,2014.0,63772,26.928,0.01445,5.765,19.995,16.005,20.003,2873372,3466675,3549616,10001259,19890922,2873372,3466675,10001259,3549616,0.78629375
8,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,742886.0,1781.0,410189,26.889,0.011,5.778,20.0,16.006,20.003,2880231,3460128,3554243,10001516,19896118,2880231,3460128,10001516,3554243,0.785988
9,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,883194.0,2022.0,321112,26.914,0.01741,5.779,20.006,16.001,19.995,2880674,3462721,3548117,9997551,19889063,2880674,3462721,9997551,3548117,0.7861501
10,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,807712.0,1928.0,240274,26.912,0.01312,5.773,20.0,16.0,19.99,2876938,3455817,3550152,9995241,19878148,2876938,3455817,9995241,3550152,0.78600234
11,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,874708.0,2020.0,771103,26.927,0.01667,5.764,19.985,16.008,19.998,2872938,3459639,3552264,9998970,19883811,2872938,3459639,9998970,3552264,0.785934
12,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,921769.0,2115.0,610583,26.963,0.02173,5.766,19.996,15.992,20.006,2873753,3465509,3548677,10002827,19890766,2873753,3465509,10002827,3548677,0.7869089
13,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,826015.0,1858.0,889730,26.92,0.01381,5.775,19.99,16.007,20.0,2878537,3461952,3549742,9999814,19890045,2878537,3461952,9999814,3549742,0.7861658
14,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,805617.0,1970.0,447279,26.909,0.01302,5.769,19.998,16.002,19.997,2875187,3455928,3556753,9998634,19886502,2875187,3455928,9998634,3556753,0.7863095
15,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,866258.0,2168.0,965043,26.939,0.01603,5.758,19.995,15.995,19.998,2869851,3467629,3548277,9999078,19884835,2869851,3467629,9999078,3548277,0.7864071
16,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,882253.0,2116.0,317585,26.931,0.01724,5.777,20.009,16.007,19.991,2879586,3462621,3551818,9995385,19889410,2879586,3462621,9995385,3551818,0.786713
17,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,851964.0,2045.0,63180,26.95,0.0152,5.77,20.004,16.009,20.002,2875592,3461995,3553360,10000809,19891756,2875592,3461995,10000809,3553360,0.7867022
18,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,796321.0,1894.0,629841,26.936,0.01266,5.777,19.991,16.001,20.005,2879176,3463296,3552216,10002425,19897113,2879176,3463296,10002425,3552216,0.7865052
19,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,843653.0,2026.0,60488,26.942,0.01468,5.776,20.02,15.995,20.003,2878886,3463660,3554485,10001358,19898389,2878886,3463660,10001358,3554485,0.78661877
20,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,859857.0,2007.0,959095,26.914,0.01572,5.76,20.009,15.998,20.001,2871091,3468738,3541717,10000324,19881870,2871091,3468738,10000324,3541717,0.7860442
21,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,831417.0,2007.0,996424,26.933,0.01414,5.769,20.008,15.999,19.999,2875439,3462523,3547539,9999543,19885044,2875439,3462523,9999543,3547539,0.7863958
22,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,867901.0,2051.0,632993,26.929,0.01619,5.773,19.989,15.994,20.002,2877274,3470252,3541794,10001227,19890547,2877274,3470252,10001227,3541794,0.7865239
23,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,774590.0,1950.0,772013,26.906,0.01187,5.764,19.987,15.998,20.0,2872856,3464352,3551790,9999809,19888807,2872856,3464352,9999809,3551790,0.786194
24,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,904428.0,2046.0,906857,26.931,0.01952,5.775,19.997,15.999,19.999,2877991,3461424,3555186,9999719,19894320,2877991,3461424,9999719,3555186,0.78637594
25,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,886448.0,2095.0,897946,26.934,0.01774,5.765,19.994,15.994,19.99,2873686,3458243,3551937,9994989,19878855,2873686,3458243,9994989,3551937,0.78650105
26,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,909297.0,2091.0,225294,26.951,0.02,5.785,19.992,15.999,20.007,2883353,3458805,3554075,10003507,19899740,2883353,3458805,10003507,3554075,0.7867789
27,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,837484.0,2054.0,35380,26.973,0.01439,5.767,20.003,15.986,19.998,2874546,3456793,3553855,9999055,19884249,2874546,3456793,9999055,3553855,0.78685355
28,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,835058.0,2107.0,880459,26.944,0.01425,5.775,20.006,16.001,20.003,2878226,3461716,3553986,10001600,19895528,2878226,3461716,10001600,3553986,0.7866513
29,samoa,1000000,1000,2020-01-01,2020-12-31,hybrid,882362.0,2193.0,417788,26.922,0.01733,5.769,19.995,15.994,20.009,2875670,3455453,3549258,10004724,19885105,2875670,3455453,10004724,3549258,0.7860719
