,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,933496.0,1381.0,138571,23.641,0.02791,4.989,19.999,15.997,20.003,2476997,3812488,3267351,10001548,19558384,2476997,3812488,10001548,3267351,0.74999213
1,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,916366.0,1452.0,713658,23.622,0.0245,4.98,20.0,16.004,19.997,2472443,3809080,3271055,9998353,19550931,2472443,3809080,9998353,3271055,0.74979854
2,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,934395.0,1423.0,102129,23.638,0.02811,4.989,19.996,16.007,19.995,2476284,3810231,3273067,9997437,19557019,2476284,3810231,9997437,3273067,0.74992967
3,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,929694.0,1513.0,70348,23.592,0.02715,4.98,20.0,15.985,20.006,2472191,3818632,3258783,10003111,19552717,2472191,3818632,10003111,3258783,0.7493341
4,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,935016.0,1454.0,366289,23.615,0.02841,4.976,20.002,16.001,19.999,2470336,3814039,3270906,9999620,19554901,2470336,3814039,9999620,3270906,0.74981403
5,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,915902.0,1400.0,1486,23.63,0.02449,4.981,19.991,15.989,20.006,2472856,3817781,3266724,10003224,19560585,2472856,3817781,10003224,3266724,0.7498915
6,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,904124.0,1368.0,845585,23.626,0.02266,4.975,20.002,15.995,20.004,2470304,3815262,3266732,10001891,19554189,2470304,3815262,10001891,3266732,0.7496358
7,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,932469.0,1480.0,6277,23.619,0.02782,4.978,20.008,16.013,20.01,2471396,3810612,3269988,10004765,19556761,2471396,3810612,10004765,3269988,0.7493616
8,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,933156.0,1438.0,374218,23.611,0.02796,4.99,20.005,16.007,20.001,2477335,3811350,3268714,10000631,19558030,2477335,3811350,10000631,3268714,0.7495876
9,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,915059.0,1443.0,800825,23.624,0.02425,4.985,20.008,15.992,19.989,2475009,3822404,3257639,9994744,19549796,2475009,3822404,9994744,3257639,0.74938333
10,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,914812.0,1404.0,801600,23.608,0.02433,4.98,20.003,16.008,19.997,2472519,3824025,3262986,9998494,19558024,2472519,3824025,9998494,3262986,0.7494418
11,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,940927.0,1455.0,446530,23.586,0.02998,4.98,19.992,16.0,19.997,2472105,3816946,3259317,9998642,19547010,2472105,3816946,9998642,3259317,0.7489867
12,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,918421.0,1405.0,587044,23.632,0.02498,4.979,19.988,15.992,20.003,2472247,3814460,3263242,10001630,19551579,2472247,3814460,10001630,3263242,0.7498385
13,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,904033.0,1421.0,410616,23.643,0.02263,4.976,19.994,16.0,20.011,2470442,3818242,3267140,10005688,19561512,2470442,3818242,10005688,3267140,0.7502127
14,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,919596.0,1439.0,80923,23.635,0.02519,4.977,20.005,15.989,20.0,2471255,3809932,3262697,9999869,19543753,2471255,3809932,9999869,3262697,0.7499724
15,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,926375.0,1430.0,990894,23.617,0.02644,4.973,20.004,16.005,19.993,2468960,3816376,3268224,9996533,19550093,2468960,3816376,9996533,3268224,0.74971306
16,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,939499.0,1385.0,607648,23.597,0.02959,4.981,20.006,16.006,20.011,2472898,3823411,3263065,10005671,19565045,2472898,3823411,10005671,3263065,0.74931
17,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,929850.0,1399.0,567814,23.6,0.02719,4.98,20.012,16.003,20.001,2471763,3814538,3271176,10000642,19558119,2471763,3814538,10000642,3271176,0.7497693
18,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,893064.0,1426.0,391025,23.621,0.02128,4.982,20.0,15.999,20.003,2473278,3828442,3256900,10001391,19560011,2473278,3828442,10001391,3256900,0.74931043
19,south sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,907982.0,1400.0,864726,23.618,0.02319,4.972,19.996,16.003,19.997,2468291,3806340,3271596,9998334,19544561,2468291,3806340,9998334,3271596,0.7497969
