,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,968525.0,10906.0,716644,44.25,0.03912,2.08,20.003,16.006,20.001,848714,1580428,4657597,10000404,17087143,848714,1580428,10000404,4657597,1.0036376
1,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,939652.0,10490.0,486031,44.274,0.02771,2.075,19.995,15.999,19.992,846303,1570449,4669188,9996174,17082114,846303,1570449,9996174,4669188,1.0040468
2,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,966328.0,10907.0,26634,44.261,0.03765,2.075,19.989,15.997,20.005,846558,1572876,4663150,10002542,17085126,846558,1572876,10002542,4663150,1.0036012
3,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,962514.0,10878.0,179286,44.294,0.03559,2.077,19.995,15.997,20.002,846767,1569589,4666048,10001142,17083546,846767,1569589,10001142,4666048,1.0040723
4,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,953400.0,10575.0,654691,44.259,0.03188,2.076,19.992,16.001,20.004,847164,1573015,4661344,10002004,17083527,847164,1573015,10002004,4661344,1.0034648
5,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,959053.0,10893.0,702725,44.28,0.034,2.075,20.028,15.996,19.995,846471,1580203,4653679,9997252,17077605,846471,1580203,9997252,4653679,1.0037707
6,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963938.0,11135.0,269776,44.297,0.03626,2.074,20.0,15.998,20.005,845498,1575947,4661541,10002296,17085282,845498,1575947,10002296,4661541,1.0041611
7,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,962772.0,10783.0,843271,44.268,0.03566,2.079,20.011,16.009,20.003,848907,1575930,4667220,10001570,17093627,848907,1575930,10001570,4667220,1.0037276
8,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,955007.0,10778.0,690784,44.31,0.03213,2.077,19.994,15.997,20.005,848720,1571686,4659988,10002573,17082967,848720,1571686,10002573,4659988,1.0041171
9,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,973406.0,10902.0,90676,44.294,0.04272,2.078,19.995,16.0,19.998,847632,1576365,4654774,9999172,17077943,847632,1576365,9999172,4654774,1.004098
10,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,969342.0,11098.0,814838,44.289,0.03919,2.08,19.996,16.004,19.999,848505,1571854,4663737,9999737,17083833,848505,1571854,9999737,4663737,1.0041083
11,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,944135.0,10487.0,714768,44.308,0.02886,2.074,20.018,16.006,20.008,846016,1578284,4659343,10004104,17087747,846016,1578284,10004104,4659343,1.0039489
12,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,963103.0,10905.0,227944,44.289,0.03605,2.075,19.99,16.012,20.003,846801,1567477,4670840,10001441,17086559,846801,1567477,10001441,4670840,1.0041007
13,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,956743.0,10722.0,946314,44.321,0.03293,2.073,20.005,16.002,20.0,846143,1571475,4661257,10000243,17079118,846143,1571475,10000243,4661257,1.0044297
14,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,966561.0,10979.0,251099,44.259,0.03775,2.078,19.981,16.0,19.999,848300,1575635,4654004,9999438,17077377,848300,1575635,9999438,4654004,1.0038192
15,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,965232.0,10867.0,994304,44.263,0.03686,2.075,19.994,16.006,20.004,847551,1570633,4664838,10001926,17084948,847551,1570633,10001926,4664838,1.0035831
16,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,965737.0,10761.0,343267,44.348,0.03714,2.079,20.008,15.994,20.0,848656,1571505,4657070,9999977,17077208,848656,1571505,9999977,4657070,1.0048834
17,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,967462.0,10775.0,566321,44.27,0.03821,2.076,19.978,15.995,20.002,847491,1567794,4669348,10001125,17085758,847491,1567794,10001125,4669348,1.0039179
18,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,961673.0,11099.0,126181,44.284,0.03525,2.072,20.006,16.0,19.998,845891,1572466,4659139,9998936,17076432,845891,1572466,9998936,4659139,1.0038501
19,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,961363.0,10785.0,68527,44.266,0.0351,2.077,20.009,15.999,20.005,847547,1578204,4654229,10002417,17082397,847547,1578204,10002417,4654229,1.0037941
20,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,965751.0,10949.0,661143,44.292,0.03725,2.077,20.006,15.996,20.001,848186,1570176,4661963,10000254,17080579,848186,1570176,10000254,4661963,1.0041331
21,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,958823.0,10777.0,46898,44.26,0.03388,2.077,19.985,16.0,19.994,847490,1572500,4661988,9997078,17079056,847490,1572500,9997078,4661988,1.003826
22,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,953914.0,10697.0,200955,44.294,0.03173,2.078,19.997,15.994,20.004,849012,1575761,4660918,10001794,17087485,849012,1575761,10001794,4660918,1.0041546
23,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,970653.0,10944.0,246587,44.288,0.04057,2.076,20.009,15.996,19.996,847772,1574218,4663262,9998081,17083333,847772,1574218,9998081,4663262,1.0037798
24,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,962382.0,10645.0,880601,44.268,0.03556,2.077,19.98,15.995,20.011,847485,1574080,4663653,10005454,17090672,847485,1574080,10005454,4663653,1.0038056
25,spain,1000000,1000,2020-01-01,2020-12-31,hybrid,953820.0,10611.0,563878,44.289,0.03177,2.077,19.979,15.995,20.007,847662,1570385,4659962,10003265,17081274,847662,1570385,10003265,4659962,1.0041014
