,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,929542.0,1170.0,803806,23.829,0.0319,3.662,19.996,16.008,20.003,1778742,3772491,3370178,10001304,18922715,1778742,3772491,10001304,3370178,0.7518047
1,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,902830.0,1118.0,573840,23.818,0.0262,3.662,20.004,16.01,19.998,1778011,3776025,3378839,9998865,18931740,1778011,3776025,9998865,3378839,0.7522007
2,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,928644.0,1179.0,709684,23.813,0.03175,3.659,19.997,16.008,20.001,1777291,3776335,3367541,10000306,18921473,1777291,3776335,10000306,3367541,0.7518028
3,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,934452.0,1092.0,77058,23.821,0.03341,3.658,20.005,16.0,20.006,1776148,3775175,3369331,10002890,18923544,1776148,3775175,10002890,3369331,0.75217307
4,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,945702.0,1196.0,110283,23.849,0.03737,3.655,19.996,16.001,20.0,1775123,3766814,3376298,9999940,18918175,1775123,3766814,9999940,3376298,0.75253856
5,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,938307.0,1155.0,44987,23.834,0.03441,3.657,20.003,15.997,19.996,1776496,3778008,3369315,9998180,18921999,1776496,3778008,9998180,3369315,0.75227696
6,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,925018.0,1150.0,629072,23.837,0.03085,3.654,19.998,16.003,20.0,1774690,3776920,3375305,10000160,18927075,1774690,3776920,10000160,3375305,0.75221163
7,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,924918.0,1139.0,753162,23.828,0.03088,3.654,19.996,16.012,20.003,1774349,3769665,3375275,10001364,18920653,1774349,3769665,10001364,3375275,0.7519071
8,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,941793.0,1137.0,7248,23.84,0.03597,3.655,19.992,16.006,20.005,1774713,3765546,3375104,10002661,18918024,1774713,3765546,10002661,3375104,0.7522633
9,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,940663.0,1167.0,575816,23.81,0.0355,3.644,19.998,15.997,19.992,1769598,3777880,3372425,9995946,18915849,1769598,3777880,9995946,3372425,0.7520254
10,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,923678.0,1147.0,870120,23.829,0.03047,3.651,20.001,16.002,19.996,1773248,3773349,3375027,9997779,18919403,1773248,3773349,9997779,3375027,0.75210804
11,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,937868.0,1137.0,286809,23.857,0.03447,3.659,19.993,16.001,20.001,1777422,3773679,3374518,10000707,18926326,1777422,3773679,10000707,3374518,0.75250965
12,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,945158.0,1129.0,387600,23.823,0.03736,3.651,20.006,15.997,20.003,1772713,3777412,3368005,10001661,18919791,1772713,3777412,10001661,3368005,0.7518721
13,togo,1000000,1000,2020-01-01,2020-12-31,hybrid,922754.0,1189.0,135949,23.816,0.03021,3.657,19.999,16.002,20.0,1776042,3776716,3368820,9999887,18921465,1776042,3776716,9999887,3368820,0.7518462
