,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,868307.0,3332.0,653000,32.306,0.01797,3.457,19.999,16.001,20.003,1667164,2817563,4203259,10001467,18689453,1667164,2817563,10001467,4203259,0.862672
1,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,808632.0,3056.0,516676,32.255,0.01449,3.456,20.007,16.001,20.005,1665950,2819751,4209131,10002441,18697273,1665950,2819751,10002441,4209131,0.86218536
2,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,866820.0,3168.0,21774,32.278,0.01788,3.449,19.982,16.006,19.988,1663226,2819646,4202720,9994149,18679741,1663226,2819646,9994149,4202720,0.862485
3,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,834186.0,3064.0,986092,32.28,0.01572,3.459,20.017,16.004,19.998,1667645,2829913,4207283,9999026,18703867,1667645,2829913,9999026,4207283,0.8624899
4,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,830420.0,3212.0,457540,32.27,0.01551,3.453,20.011,15.998,20.005,1664771,2827901,4196953,10002410,18692035,1664771,2827901,10002410,4196953,0.8625208
5,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,829973.0,3084.0,742805,32.265,0.01554,3.46,19.997,15.993,20.004,1667980,2813661,4205695,10001905,18689241,1667980,2813661,10001905,4205695,0.86232144
6,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,817341.0,3099.0,136873,32.24,0.01489,3.448,20.011,15.996,20.004,1662078,2825228,4204603,10001927,18693836,1662078,2825228,10001927,4204603,0.8622237
7,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,838284.0,3104.0,444406,32.26,0.01602,3.456,20.004,15.998,19.999,1666345,2826302,4193660,9999402,18685709,1666345,2826302,9999402,4193660,0.8622283
8,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,812807.0,3073.0,98275,32.261,0.01471,3.451,20.006,16.001,19.995,1664039,2826972,4196476,9997728,18685215,1664039,2826972,9997728,4196476,0.8620424
9,venezuela,1000000,1000,2020-01-01,2020-12-31,hybrid,876698.0,3349.0,131822,32.289,0.01858,3.451,20.004,15.999,20.002,1663581,2810342,4205716,10001094,18680733,1663581,2810342,10001094,4205716,0.86271507
