,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,943773.0,6184.0,208599,38.959,0.02825,2.553,19.99,16.0,20.001,1148818,2048635,4567373,10000746,17765572,1148818,2048635,10000746,4567373,0.9552454
1,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,964364.0,6584.0,264156,38.93,0.03595,2.562,19.992,15.997,19.995,1152705,2047793,4565813,9997506,17763817,1152705,2047793,9997506,4565813,0.95525897
2,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,970096.0,6527.0,325904,38.933,0.03966,2.553,20.006,16.002,20.002,1148848,2055341,4565484,10001023,17770696,1148848,2055341,10001023,4565484,0.9551572
3,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,934894.0,6281.0,776589,38.927,0.02608,2.558,19.995,16.001,20.005,1150556,2050677,4569445,10002730,17773408,1150556,2050677,10002730,4569445,0.9548315
4,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,958343.0,6523.0,417137,38.93,0.03315,2.552,20.008,15.999,20.006,1147573,2054781,4563640,10003010,17769004,1147573,2054781,10003010,4563640,0.9552698
5,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,951908.0,6302.0,400871,38.89,0.03065,2.555,20.004,16.008,20.0,1149498,2053508,4573264,10000082,17776352,1149498,2053508,10000082,4573264,0.9545936
6,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,949952.0,6270.0,364622,38.973,0.02997,2.553,19.994,15.997,19.993,1148240,2046278,4567289,9996475,17758282,1148240,2046278,9996475,4567289,0.9559052
7,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,969378.0,6579.0,153182,38.937,0.03907,2.559,19.981,15.999,20.004,1150454,2047810,4565827,10001806,17765897,1150454,2047810,10001806,4565827,0.95524657
8,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959581.0,6438.0,190056,38.983,0.03384,2.559,20.018,15.981,20.001,1151101,2043694,4563756,10000483,17759034,1151101,2043694,10000483,4563756,0.95556176
9,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,917195.0,6213.0,701008,38.919,0.02294,2.555,20.007,16.003,20.013,1149115,2054837,4567220,10006267,17777439,1149115,2054837,10006267,4567220,0.9547585
10,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,950132.0,6436.0,501343,38.92,0.02995,2.554,20.01,16.005,19.995,1149695,2052970,4571277,9997264,17771206,1149695,2052970,9997264,4571277,0.95483935
11,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,963341.0,6473.0,377374,38.927,0.03561,2.555,20.006,16.002,20.001,1149073,2050735,4568037,10000693,17768538,1149073,2050735,10000693,4568037,0.9551005
12,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,950567.0,6528.0,955307,38.958,0.03022,2.555,19.985,16.003,20.003,1148651,2045255,4561777,10001680,17757363,1148651,2045255,10001680,4561777,0.9552157
13,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960340.0,6471.0,109923,38.944,0.03402,2.562,19.995,16.009,20.003,1152746,2049693,4562574,10001698,17766711,1152746,2049693,10001698,4562574,0.95505345
14,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,964762.0,6438.0,795847,38.949,0.03637,2.557,20.011,15.997,19.999,1150263,2047724,4572356,9999321,17769664,1150263,2047724,9999321,4572356,0.9553438
15,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,918880.0,6196.0,211037,38.944,0.02311,2.558,19.988,15.999,19.996,1150907,2051351,4561577,9997850,17761685,1150907,2051351,9997850,4561577,0.95535123
16,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,965524.0,6477.0,481465,38.95,0.03673,2.556,20.01,16.0,19.999,1149916,2050694,4570005,9999267,17769882,1149916,2050694,9999267,4570005,0.9553087
17,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,953117.0,6196.0,886958,38.952,0.03105,2.557,20.004,15.993,19.996,1150743,2049888,4564827,9997871,17763329,1150743,2049888,9997871,4564827,0.9551616
18,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,968462.0,6385.0,337303,38.977,0.03852,2.559,20.005,15.997,19.994,1151414,2042591,4564603,9996932,17755540,1151414,2042591,9996932,4564603,0.9553769
19,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,953181.0,6478.0,842268,38.912,0.03121,2.551,20.005,16.001,19.999,1146759,2052907,4569128,9999669,17768463,1146759,2052907,9999669,4569128,0.9550045
20,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959440.0,6472.0,828853,38.975,0.03379,2.562,20.03,16.006,19.998,1152123,2046323,4573150,9998954,17770550,1152123,2046323,9998954,4573150,0.9556097
21,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,949519.0,6582.0,202446,38.952,0.02981,2.559,19.998,15.999,20.003,1150914,2048732,4566499,10001557,17767702,1150914,2048732,10001557,4566499,0.95539653
22,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,960925.0,6402.0,690821,38.96,0.03414,2.557,20.006,16.002,19.996,1151138,2045255,4571425,9998147,17765965,1151138,2045255,9998147,4571425,0.9553632
23,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,950727.0,6323.0,133682,38.917,0.03025,2.551,19.999,16.0,19.998,1147779,2053087,4569497,9999214,17769577,1147779,2053087,9999214,4569497,0.9550385
24,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,968554.0,6639.0,731487,38.946,0.0385,2.556,19.999,15.998,20.001,1150215,2051741,4570121,10000632,17772709,1150215,2051741,10000632,4570121,0.9554104
25,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,959682.0,6471.0,394899,38.92,0.0338,2.557,20.005,15.997,20.002,1150434,2048236,4568013,10000772,17767455,1150434,2048236,10000772,4568013,0.95485634
26,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,947610.0,6306.0,48921,38.935,0.02926,2.559,19.991,15.999,19.997,1151509,2049082,4571558,9998636,17770785,1151509,2049082,9998636,4571558,0.9552518
27,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,962958.0,6424.0,376416,38.94,0.03529,2.555,19.992,16.007,19.999,1150069,2047244,4578970,9999308,17775591,1150069,2047244,9999308,4578970,0.9552336
28,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,957711.0,6436.0,403185,38.889,0.03311,2.553,19.992,15.998,20.001,1147768,2050883,4564638,10000338,17763627,1147768,2050883,10000338,4564638,0.9544797
29,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,963391.0,6481.0,46213,38.946,0.03551,2.557,20.004,15.995,20.009,1150458,2054295,4558283,10004318,17767354,1150458,2054295,10004318,4558283,0.9551394
