,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,939202.0,7235.0,205903,40.782,0.0311,1.915,20.0,16.007,20.002,740283,1698341,4780196,10001169,17219989,740283,1698341,10001169,4780196,0.96374947
1,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,932507.0,7256.0,438036,40.779,0.02926,1.92,19.999,15.999,19.998,741596,1693961,4780135,9999204,17214896,741596,1693961,9999204,4780135,0.96361023
2,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,943367.0,7362.0,77997,40.809,0.03232,1.923,19.985,16.001,19.999,743479,1692443,4776796,9999597,17212315,743479,1692443,9999597,4776796,0.9638965
3,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,964107.0,7542.0,93921,40.746,0.04216,1.917,20.008,16.002,19.997,740252,1699167,4778127,9998372,17215918,740252,1699167,9998372,4778127,0.9634176
4,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,953073.0,7572.0,561536,40.848,0.03597,1.922,20.002,16.009,19.999,742760,1691611,4774386,9999350,17208107,742760,1691611,9999350,4774386,0.9644935
5,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,937238.0,7223.0,810589,40.752,0.03062,1.914,20.007,16.003,20.002,740149,1694908,4784148,10000818,17220023,740149,1694908,10000818,4784148,0.9634893
6,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,945414.0,7458.0,396516,40.759,0.0331,1.918,19.988,16.002,20.001,740546,1703550,4774256,10000335,17218687,740546,1703550,10000335,4774256,0.96319455
7,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,947242.0,7255.0,739239,40.81,0.03364,1.916,19.994,15.994,19.998,740946,1696198,4778751,9998764,17214659,740946,1696198,9998764,4778751,0.96393853
8,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,961093.0,7453.0,205766,40.803,0.04013,1.918,20.016,15.998,20.002,742184,1692486,4778091,10000984,17213745,742184,1692486,10000984,4778091,0.9640229
9,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,957966.0,7479.0,826302,40.792,0.03846,1.921,19.999,15.995,19.998,742673,1693605,4773178,9999194,17208650,742673,1693605,9999194,4773178,0.96371484
10,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,948625.0,7253.0,568653,40.776,0.03416,1.918,20.005,16.001,19.995,740814,1694465,4780589,9997538,17213406,740814,1694465,9997538,4780589,0.96362066
11,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,936380.0,7256.0,715153,40.779,0.03024,1.916,20.002,15.997,19.999,740375,1697376,4775755,9999379,17212885,740375,1697376,9999379,4775755,0.9635954
12,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,940934.0,7301.0,793860,40.766,0.03157,1.918,19.992,15.998,20.002,740848,1698426,4775667,10001009,17215950,740848,1698426,10001009,4775667,0.9634317
13,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,946633.0,7268.0,710822,40.76,0.0335,1.917,19.998,16.004,20.002,740761,1693329,4782468,10000980,17217538,740761,1693329,10000980,4782468,0.9633909
14,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,933160.0,7150.0,800339,40.792,0.02934,1.919,19.991,15.995,19.997,741738,1690445,4777467,9998512,17208162,741738,1690445,9998512,4777467,0.9637116
15,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,942202.0,7300.0,750967,40.798,0.03198,1.919,20.002,16.001,19.998,741706,1694498,4782145,9999067,17217416,741706,1694498,9999067,4782145,0.96381176
16,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,963470.0,7421.0,931694,40.803,0.04168,1.92,20.004,15.999,20.002,742220,1695528,4776650,10001039,17215437,742220,1695528,10001039,4776650,0.9637004
17,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,955912.0,7432.0,276701,40.815,0.0375,1.92,20.002,16.003,19.997,741333,1694301,4783416,9998495,17217545,741333,1694301,9998495,4783416,0.9640278
18,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,950333.0,7272.0,272540,40.772,0.03489,1.915,19.996,15.994,20.005,739743,1696224,4778925,10002318,17217210,739743,1696224,10002318,4778925,0.963768
19,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,953133.0,7379.0,601862,40.78,0.03601,1.917,20.007,16.0,19.996,740786,1695529,4780027,9998109,17214451,740786,1695529,9998109,4780027,0.963797
20,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,947915.0,7446.0,962744,40.771,0.03386,1.914,20.018,16.001,19.996,738970,1699425,4777967,9997801,17214163,738970,1699425,9997801,4777967,0.96348673
21,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,945593.0,7380.0,105275,40.803,0.03307,1.916,20.0,16.004,19.995,740507,1691559,4783501,9997374,17212941,740507,1691559,9997374,4783501,0.9637897
22,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,946878.0,7414.0,320772,40.785,0.0336,1.915,19.999,15.993,20.002,739238,1692627,4779761,10000973,17212599,739238,1692627,10000973,4779761,0.96371996
23,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,960967.0,7459.0,311821,40.759,0.04009,1.911,19.999,16.002,20.003,737772,1697525,4781780,10001666,17218743,737772,1697525,10001666,4781780,0.9636703
24,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,949075.0,7523.0,668098,40.776,0.03431,1.917,19.995,16.006,19.998,741098,1695485,4777405,9999148,17213136,741098,1695485,9999148,4777405,0.9633601
25,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,942093.0,7231.0,965849,40.752,0.03209,1.914,20.0,15.99,19.997,739924,1699900,4777487,9998718,17216029,739924,1699900,9998718,4777487,0.9633247
26,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,951452.0,7401.0,775207,40.804,0.03547,1.914,19.993,15.994,19.998,739895,1688714,4778298,9999033,17205940,739895,1688714,9999033,4778298,0.9640467
27,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,962687.0,7355.0,153582,40.781,0.04116,1.916,20.0,15.991,20.002,739771,1705001,4774164,10001027,17219963,739771,1705001,10001027,4774164,0.9638869
28,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,943241.0,7279.0,739732,40.786,0.03215,1.916,20.001,16.004,19.998,740448,1696361,4780633,9999036,17216478,740448,1696361,9999036,4780633,0.96380365
29,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,952734.0,7327.0,567891,40.785,0.03575,1.916,19.994,16.006,20.003,739917,1691837,4782847,10001641,17216242,739917,1691837,10001641,4782847,0.96376455
