,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,939757.0,3644.0,96641,29.71,0.03374,2.748,19.987,16.0,20.001,1264198,3117925,3909047,10000401,18291571,1264198,3117925,10000401,3909047,0.83833796
1,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,937162.0,3779.0,941449,29.712,0.03286,2.753,19.989,15.997,20.003,1266805,3127319,3904779,10001539,18300442,1266805,3127319,10001539,3904779,0.83799213
2,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,947126.0,3657.0,758724,29.695,0.03656,2.746,20.003,15.998,20.009,1264229,3132150,3903815,10004385,18304579,1264229,3132150,10004385,3903815,0.83769584
3,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,924002.0,3541.0,733640,29.688,0.02922,2.752,20.011,15.996,20.003,1266249,3122083,3913325,10001371,18303028,1266249,3122083,10001371,3913325,0.8378781
4,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,933139.0,3491.0,437691,29.718,0.03144,2.748,20.009,16.004,19.999,1264904,3128951,3911866,9999269,18304990,1264904,3128951,9999269,3911866,0.8384377
5,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,919801.0,3493.0,274419,29.679,0.02845,2.749,19.992,15.999,20.007,1265524,3127653,3900188,10003253,18296618,1265524,3127653,10003253,3900188,0.837545
6,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,944738.0,3550.0,316405,29.695,0.03541,2.752,20.009,16.014,20.004,1266632,3126533,3913354,10002072,18308591,1266632,3126533,10002072,3913354,0.8379209
7,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,918752.0,3502.0,414971,29.654,0.02812,2.751,20.002,16.001,20.001,1265998,3131596,3902902,10000458,18300954,1265998,3131596,10000458,3902902,0.8373105
8,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,896079.0,3534.0,866525,29.715,0.02415,2.747,20.013,16.003,20.001,1265173,3124435,3903804,10000696,18294108,1265173,3124435,10000696,3903804,0.83812374
9,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,945950.0,3523.0,119598,29.658,0.03592,2.753,20.005,15.995,19.994,1266361,3133093,3904369,9996956,18300779,1266361,3133093,9996956,3904369,0.83746225
10,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,955141.0,3572.0,122283,29.702,0.04006,2.754,20.007,16.004,20.003,1267982,3130274,3912459,10001675,18312390,1267982,3130274,10001675,3912459,0.8380242
11,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,917121.0,3523.0,347450,29.698,0.02759,2.749,19.996,15.997,20.005,1265118,3126253,3907724,10002686,18301781,1265118,3126253,10002686,3907724,0.8377471
12,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,946868.0,3636.0,632417,29.71,0.03612,2.754,20.006,15.996,19.993,1267147,3121685,3904457,9996548,18289837,1267147,3121685,9996548,3904457,0.8381003
13,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,934932.0,3468.0,627559,29.707,0.03213,2.748,20.0,16.003,20.002,1264261,3129353,3909980,10001025,18304619,1264261,3129353,10001025,3909980,0.83811
14,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,951548.0,3652.0,298718,29.704,0.0384,2.748,19.998,16.016,19.997,1264658,3126892,3911263,9998600,18301413,1264658,3126892,9998600,3911263,0.8379186
15,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,921559.0,3356.0,908711,29.712,0.02874,2.747,19.999,16.006,20.0,1264185,3124384,3910306,10000112,18298987,1264185,3124384,10000112,3910306,0.8381458
16,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,911519.0,3469.0,663983,29.7,0.02649,2.75,20.001,16.003,19.997,1265333,3123005,3914670,9998446,18301454,1265333,3123005,9998446,3914670,0.83817065
17,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,958877.0,3760.0,791369,29.66,0.04256,2.75,20.001,16.012,20.003,1265487,3124559,3905000,10001648,18296694,1265487,3124559,10001648,3905000,0.8376448
18,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,945265.0,3654.0,390260,29.71,0.03557,2.75,19.991,16.0,20.002,1265365,3120730,3906903,10000876,18293874,1265365,3120730,10000876,3906903,0.83793837
19,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,931236.0,3576.0,596442,29.722,0.03105,2.747,19.998,16.008,20.003,1264771,3126705,3909742,10001673,18302891,1264771,3126705,10001673,3909742,0.8380463
20,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,922029.0,3389.0,849466,29.663,0.02884,2.744,19.995,15.995,19.992,1261855,3133527,3894629,9996063,18286074,1261855,3133527,9996063,3894629,0.83745325
21,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,932348.0,3558.0,89566,29.687,0.0313,2.749,19.99,16.0,19.999,1265116,3131061,3905951,9999460,18301588,1265116,3131061,9999460,3905951,0.8378766
22,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,941071.0,3639.0,997151,29.664,0.03408,2.747,20.004,15.995,20.0,1263521,3138540,3900612,10000079,18302752,1263521,3138540,10000079,3900612,0.83752567
23,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,943371.0,3677.0,992182,29.696,0.03466,2.752,19.998,16.002,19.999,1266108,3139931,3900809,9999371,18306219,1266108,3139931,9999371,3900809,0.83799833
24,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,939215.0,3617.0,109120,29.668,0.03338,2.754,19.985,15.992,20.005,1267715,3131249,3901098,10002385,18302447,1267715,3131249,10002385,3901098,0.8376253
25,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,939096.0,3719.0,118609,29.695,0.03356,2.751,19.988,15.999,20.007,1266099,3120176,3908123,10003450,18297848,1266099,3120176,10003450,3908123,0.8380419
26,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,932638.0,3518.0,714088,29.697,0.03137,2.754,20.015,16.007,20.001,1267095,3138162,3903232,10000540,18309029,1267095,3138162,10000540,3903232,0.8380365
27,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,930178.0,3582.0,320809,29.718,0.0306,2.75,20.003,15.996,20.004,1265439,3124456,3911480,10001829,18303204,1265439,3124456,10001829,3911480,0.83843803
28,bolivia,1000000,1000,2020-01-01,2020-12-31,hybrid,916440.0,3506.0,748073,29.688,0.02754,2.751,19.995,16.0,20.001,1266140,3119957,3913806,10000306,18300209,1266140,3119957,10000306,3913806,0.8379198
