,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,692058.0,3052.0,956888,35.171,0.01151,2.57,19.991,16.005,19.996,1158259,2329879,4678931,9998064,18165133,1158259,2329879,9998064,4678931,0.90917784
1,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,746307.0,3329.0,949193,35.182,0.01289,2.564,20.017,16.009,19.998,1155272,2332143,4678835,9998950,18165200,1155272,2332143,9998950,4678835,0.90955365
2,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,783946.0,3595.0,495510,35.161,0.01413,2.561,20.005,15.999,19.995,1152874,2331672,4674920,9997501,18156967,1152874,2331672,9997501,4674920,0.9089792
3,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,768504.0,3534.0,816464,35.161,0.01354,2.559,19.998,16.001,19.994,1152769,2335779,4670119,9996842,18155509,1152769,2335779,9996842,4670119,0.909076
4,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,835679.0,3788.0,832337,35.171,0.01639,2.564,20.012,16.008,20.003,1155175,2334912,4669445,10001370,18160902,1155175,2334912,10001370,4669445,0.9088866
5,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,904896.0,4078.0,551950,35.182,0.02211,2.564,20.012,15.994,19.997,1154486,2324197,4673688,9998271,18150642,1154486,2324197,9998271,4673688,0.90917015
6,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,869246.0,3919.0,742915,35.121,0.01865,2.567,20.013,16.002,19.994,1155857,2336427,4666711,9997010,18156005,1155857,2336427,9997010,4666711,0.9085911
7,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,398062.0,1745.0,128856,35.133,0.00789,2.565,20.002,16.009,20.003,1155369,2333311,4669641,10001709,18160030,1155369,2333311,10001709,4669641,0.9087189
8,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,841842.0,3842.0,574171,35.158,0.0167,2.568,20.001,15.997,19.998,1156185,2336136,4667226,9998887,18158434,1156185,2336136,9998887,4667226,0.9092133
9,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,749455.0,3316.0,62672,35.206,0.01295,2.569,19.996,15.997,19.997,1157276,2324308,4676513,9998430,18156527,1157276,2324308,9998430,4676513,0.90974814
10,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,921633.0,4222.0,477706,35.157,0.02464,2.566,19.997,16.007,19.998,1156429,2337602,4668333,9999135,18161499,1156429,2337602,9999135,4668333,0.909046
11,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,828936.0,3693.0,225988,35.167,0.01602,2.565,20.003,16.002,19.997,1154589,2331956,4669368,9998544,18154457,1154589,2331956,9998544,4669368,0.9089752
12,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,829690.0,3688.0,978299,35.168,0.01607,2.572,19.998,16.0,19.993,1158551,2335169,4669997,9996577,18160294,1158551,2335169,9996577,4669997,0.9091236
13,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,683291.0,3085.0,259011,35.152,0.01146,2.566,20.007,16.0,20.002,1156282,2340665,4661915,10000987,18159849,1156282,2340665,10000987,4661915,0.9088602
14,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,871145.0,3979.0,349368,35.198,0.01878,2.567,20.017,15.995,20.002,1156573,2328733,4670392,10001246,18156944,1156573,2328733,10001246,4670392,0.90922856
15,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,610880.0,2642.0,721324,35.148,0.0101,2.565,19.997,15.996,20.008,1155129,2330786,4677670,10003967,18167552,1155129,2330786,10003967,4677670,0.90914357
16,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,732482.0,3176.0,26981,35.161,0.01251,2.565,19.993,16.0,20.004,1154678,2328707,4672215,10002068,18157668,1154678,2328707,10002068,4672215,0.9092148
17,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,770114.0,3400.0,575007,35.176,0.01354,2.573,20.003,15.995,19.998,1159868,2330678,4673736,9999192,18163474,1159868,2330678,9999192,4673736,0.9092655
18,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,692500.0,3035.0,112130,35.138,0.0116,2.562,19.999,16.005,19.999,1153785,2335209,4667648,9999598,18156240,1153785,2335209,9999598,4667648,0.9087614
19,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,901644.0,4118.0,732480,35.172,0.02169,2.566,19.971,15.997,19.997,1155496,2329763,4671211,9998623,18155093,1155496,2329763,9998623,4671211,0.90924096
20,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,755512.0,3457.0,341070,35.159,0.01314,2.561,19.994,16.002,19.995,1152897,2337097,4669453,9997388,18156835,1152897,2337097,9997388,4669453,0.908995
21,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,868944.0,3932.0,380398,35.164,0.01857,2.564,20.002,16.007,20.002,1154229,2328416,4675798,10001093,18159536,1154229,2328416,10001093,4675798,0.90922487
