,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,949517.0,1157.0,191813,23.044,0.03754,4.067,19.993,15.999,19.993,1996093,3848698,3266177,9996263,19107231,1996093,3848698,9996263,3266177,0.7420469
1,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,942294.0,1109.0,850726,23.018,0.03483,4.061,20.003,16.005,19.995,1992997,3848813,3268873,9997359,19108042,1992997,3848813,9997359,3268873,0.74184436
2,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,933472.0,1130.0,750228,23.028,0.03218,4.072,19.991,15.997,19.999,1998121,3849532,3262710,9999342,19109705,1998121,3849532,9999342,3262710,0.74202263
3,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,913778.0,1061.0,271910,23.008,0.02756,4.059,20.005,15.998,20.002,1991667,3852565,3261644,10001204,19107080,1991667,3852565,10001204,3261644,0.74147767
4,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,947718.0,1203.0,731894,23.039,0.03665,4.066,19.996,15.996,19.995,1995711,3851228,3271419,9997595,19115953,1995711,3851228,9997595,3271419,0.7422329
5,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,949569.0,1125.0,433669,23.039,0.03763,4.065,20.002,15.987,20.005,1995650,3857096,3259010,10002432,19114188,1995650,3857096,10002432,3259010,0.7420252
6,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,953818.0,1071.0,469404,23.043,0.03961,4.074,19.99,16.007,20.004,1999363,3848859,3266245,10002239,19116706,1999363,3848859,10002239,3266245,0.7421864
7,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,947584.0,1121.0,243730,23.031,0.03684,4.071,19.991,15.998,19.998,1997631,3848519,3268833,9999150,19114133,1997631,3848519,9999150,3268833,0.74202925
8,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,953596.0,1136.0,674372,22.995,0.03961,4.066,20.009,16.001,20.002,1995238,3853370,3264294,10001150,19114052,1995238,3853370,10001150,3264294,0.7415491
9,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,950948.0,1096.0,819831,23.027,0.03836,4.061,20.003,16.004,19.992,1992882,3847201,3267636,9995914,19103633,1992882,3847201,9995914,3267636,0.7419089
10,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,951859.0,1070.0,260466,23.039,0.03852,4.067,20.005,16.019,19.996,1995747,3851450,3269668,9998115,19114980,1995747,3851450,9998115,3269668,0.74210316
11,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,931803.0,1101.0,19628,23.022,0.03169,4.062,19.989,15.994,19.998,1993125,3856118,3259196,9998943,19107382,1993125,3856118,9998943,3259196,0.7417214
12,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,955667.0,1171.0,79382,23.035,0.04056,4.072,20.005,15.997,20.002,1998586,3854511,3262794,10001135,19117026,1998586,3854511,10001135,3262794,0.74214816
13,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,951681.0,1094.0,973453,23.03,0.03857,4.067,19.991,15.997,19.996,1996364,3850658,3268063,9998010,19113095,1996364,3850658,9998010,3268063,0.7423191
14,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,953183.0,1115.0,359780,23.035,0.0395,4.07,20.003,16.002,19.999,1997256,3851034,3268636,9999539,19116465,1997256,3851034,9999539,3268636,0.7420205
15,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,948815.0,1141.0,747300,23.065,0.03727,4.063,19.999,15.997,19.994,1994471,3848381,3266677,9997156,19106685,1994471,3848381,9997156,3266677,0.74247783
16,cameroon,1000000,1000,2020-01-01,2020-12-31,hybrid,929508.0,1086.0,205747,23.032,0.03079,4.068,20.0,16.007,19.997,1996382,3855421,3271525,9998554,19121882,1996382,3855421,9998554,3271525,0.74208695
