,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,970794.0,4168.0,538694,33.974,0.04307,2.747,20.01,16.001,20.004,1263975,2530139,4522434,10001802,18318350,1263975,2530139,10001802,4522434,0.8961699
1,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,944173.0,4020.0,357702,33.96,0.02981,2.743,20.007,16.004,20.002,1261950,2519326,4534214,10000834,18316324,1261950,2519326,10000834,4534214,0.89624965
2,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,944971.0,4046.0,50571,33.97,0.03,2.746,20.008,16.004,19.993,1262779,2521598,4526928,9996656,18307961,1262779,2521598,9996656,4526928,0.8962422
3,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959986.0,4216.0,295957,33.908,0.03606,2.739,20.014,16.001,19.995,1259628,2530913,4522343,9997749,18310633,1259628,2530913,9997749,4522343,0.8955407
4,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959710.0,4231.0,293748,33.947,0.03578,2.742,20.019,15.984,20.005,1261218,2524763,4524412,10002715,18313108,1261218,2524763,10002715,4524412,0.8959365
5,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,958344.0,4144.0,932233,33.929,0.03512,2.746,19.991,15.994,19.993,1263384,2521307,4524003,9996569,18305263,1263384,2521307,9996569,4524003,0.89578116
6,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,959995.0,4110.0,854994,33.934,0.03606,2.751,19.985,15.989,20.006,1264960,2525479,4518869,10003051,18312359,1264960,2525479,10003051,4518869,0.89562
7,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,948092.0,4230.0,540302,33.96,0.03088,2.745,20.008,16.002,19.997,1262064,2523783,4527506,9998571,18311924,1262064,2523783,9998571,4527506,0.89616597
8,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,956840.0,4133.0,304633,33.923,0.03425,2.75,20.003,16.008,20.002,1266175,2528700,4523881,10000903,18319659,1266175,2528700,10000903,4523881,0.89573723
9,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,964431.0,4283.0,139022,33.951,0.03851,2.746,19.998,16.0,19.999,1262995,2528369,4519046,9999294,18309704,1262995,2528369,9999294,4519046,0.89594513
10,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,942335.0,3936.0,433784,33.917,0.02931,2.742,20.008,16.004,20.006,1260956,2530474,4526860,10002861,18321151,1260956,2530474,10002861,4526860,0.8953892
11,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,948101.0,4172.0,167703,33.969,0.03111,2.742,20.005,15.99,20.001,1261669,2532498,4513608,10000329,18308104,1261669,2532498,10000329,4513608,0.8960377
12,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,964721.0,4188.0,534239,33.963,0.0389,2.75,20.001,16.003,19.995,1264783,2520136,4525488,9997673,18308080,1264783,2520136,9997673,4525488,0.8964307
13,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,962803.0,4160.0,85370,33.948,0.03748,2.749,19.996,15.995,20.002,1264256,2519311,4527020,10001049,18311636,1264256,2519311,10001049,4527020,0.89609635
14,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,947250.0,4056.0,634805,33.966,0.03063,2.75,20.014,16.004,20.006,1264416,2531647,4521347,10002982,18320392,1264416,2531647,10002982,4521347,0.8961006
15,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,964407.0,4150.0,748321,33.979,0.03836,2.748,19.997,16.001,20.005,1263821,2528960,4526126,10002253,18321160,1263821,2528960,10002253,4526126,0.89639485
16,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,951345.0,4143.0,406177,33.924,0.03214,2.743,19.989,16.007,20.002,1261651,2525332,4521603,10000772,18309358,1261651,2525332,10000772,4521603,0.8955574
17,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,957249.0,4030.0,481228,33.949,0.03449,2.748,19.992,16.008,20.002,1264183,2527069,4524760,10001185,18317197,1264183,2527069,10001185,4524760,0.89596623
18,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,943453.0,4059.0,745072,33.916,0.02955,2.749,19.999,16.007,20.005,1264786,2523342,4525790,10002558,18316476,1264786,2523342,10002558,4525790,0.8953904
19,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,947918.0,3960.0,776221,33.953,0.03079,2.741,20.002,15.995,19.998,1260346,2525335,4524089,9999176,18308946,1260346,2525335,9999176,4524089,0.8959397
20,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,937618.0,4057.0,276606,33.958,0.02795,2.751,20.003,15.997,20.002,1265574,2529694,4517022,10000988,18313278,1265574,2529694,10000988,4517022,0.8960273
21,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,955087.0,4201.0,222915,33.988,0.03352,2.746,20.013,16.003,20.008,1263180,2526287,4524738,10003797,18318002,1263180,2526287,10003797,4524738,0.8966008
22,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,960955.0,4293.0,557688,33.948,0.03654,2.744,20.005,15.993,19.997,1261718,2526730,4517210,9998650,18304308,1261718,2526730,9998650,4517210,0.8960126
23,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,946632.0,4129.0,511633,33.942,0.03056,2.748,19.999,16.004,20.009,1264718,2531952,4517953,10004530,18319153,1264718,2531952,10004530,4517953,0.8959702
24,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,928236.0,4052.0,762569,33.914,0.02584,2.748,20.004,16.01,19.994,1264852,2525346,4526647,9997211,18314056,1264852,2525346,9997211,4526647,0.89555526
25,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,932524.0,4033.0,337854,33.945,0.02667,2.744,20.013,15.999,19.995,1262165,2524803,4523009,9997661,18307638,1262165,2524803,9997661,4523009,0.8959714
26,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,956962.0,4173.0,811436,33.974,0.03442,2.746,20.006,16.006,19.997,1262895,2523962,4528906,9998742,18314505,1262895,2523962,9998742,4528906,0.89628214
27,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,968780.0,4243.0,30670,33.955,0.0414,2.745,20.006,15.995,20.001,1262401,2524920,4522830,10000415,18310566,1262401,2524920,10000415,4522830,0.8961096
28,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,951575.0,4156.0,805103,33.913,0.03224,2.743,20.004,15.986,20.003,1261021,2533798,4516715,10001251,18312785,1261021,2533798,10001251,4516715,0.89554656
29,colombia,1000000,1000,2020-01-01,2020-12-31,hybrid,944683.0,4187.0,534747,33.985,0.02988,2.748,19.996,16.012,20.0,1264573,2523871,4526734,9999789,18314967,1264573,2523871,9999789,4526734,0.89655113
