,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,919246.0,9965.0,114615,43.448,0.02768,1.63,20.011,16.002,20.009,536157,1747892,4304090,10004354,16592493,536157,1747892,10004354,4304090,1.0026445
1,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,893145.0,9583.0,782835,43.5,0.02369,1.628,20.018,15.988,20.0,536015,1747886,4295537,10000136,16579574,536015,1747886,10000136,4295537,1.0034213
2,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,918764.0,10108.0,783245,43.458,0.02765,1.629,19.993,16.0,20.001,536723,1755395,4298828,10000609,16591555,536723,1755395,10000609,4298828,1.0028709
3,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,922745.0,9903.0,750643,43.443,0.02832,1.628,20.01,15.997,19.999,535441,1748940,4306714,9999532,16590627,535441,1748940,9999532,4306714,1.0024396
4,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,911679.0,9912.0,718255,43.455,0.02634,1.628,20.02,16.006,20.0,536507,1754227,4305541,9999832,16596107,536507,1754227,9999832,4305541,1.0025822
5,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,938407.0,10321.0,551193,43.461,0.03219,1.631,19.996,16.001,20.007,537200,1750869,4298503,10003313,16589885,537200,1750869,10003313,4298503,1.0028098
6,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,882464.0,9454.0,46660,43.487,0.02252,1.632,20.0,15.996,19.999,538205,1747200,4305448,9999579,16590432,538205,1747200,9999579,4305448,1.0029832
7,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,922077.0,9923.0,240443,43.462,0.02824,1.633,20.012,16.001,19.999,537991,1750290,4298108,9999460,16585849,537991,1750290,9999460,4298108,1.0026858
8,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,935418.0,10182.0,462641,43.455,0.0314,1.634,20.004,16.007,20.005,538125,1747146,4304662,10002705,16592638,538125,1747146,10002705,4304662,1.0026072
9,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,842398.0,9018.0,217674,43.444,0.01922,1.633,19.998,16.006,19.998,537488,1754635,4299183,9999155,16590461,537488,1754635,9999155,4299183,1.0027468
10,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,928927.0,10163.0,417176,43.463,0.02975,1.632,19.989,15.998,19.998,537861,1752258,4298677,9999107,16587903,537861,1752258,9999107,4298677,1.0027528
11,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,878676.0,9285.0,390573,43.453,0.02216,1.629,19.992,15.997,20.003,535447,1747995,4305074,10001335,16589851,535447,1747995,10001335,4305074,1.0028547
12,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,880899.0,9439.0,681197,43.406,0.02242,1.628,19.997,16.005,20.001,535164,1753713,4302744,10000586,16592207,535164,1753713,10000586,4302744,1.0022618
13,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,901569.0,9761.0,252026,43.501,0.02476,1.634,19.997,16.0,20.005,538327,1743926,4301258,10002311,16585822,538327,1743926,10002311,4301258,1.003244
14,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,931493.0,10013.0,948691,43.475,0.03025,1.629,20.004,16.005,19.996,536304,1741708,4307669,9998057,16583738,536304,1741708,9998057,4307669,1.0030354
15,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,908481.0,9701.0,217821,43.504,0.02578,1.635,20.008,16.004,20.001,538713,1743672,4306810,10000396,16589591,538713,1743672,10000396,4306810,1.0032344
16,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,909683.0,9855.0,345329,43.454,0.02599,1.63,19.994,16.011,20.001,536849,1747921,4304305,10000435,16589510,536849,1747921,10000435,4304305,1.0027885
17,finland,1000000,1000,2020-01-01,2020-12-31,hybrid,896983.0,9748.0,344578,43.487,0.02416,1.635,19.992,16.001,20.0,538284,1751312,4301852,9999816,16591264,538284,1751312,9999816,4301852,1.0030118
