,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,947157.0,1581.0,875078,25.622,0.03908,3.241,20.006,15.996,20.003,1547305,3306000,3755896,10001362,18610563,1547305,3306000,10001362,3755896,0.77726626
1,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,928820.0,1605.0,946432,25.613,0.0328,3.244,19.986,15.994,20.003,1548986,3306507,3758198,10001351,18615042,1548986,3306507,10001351,3758198,0.77723414
2,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,930440.0,1575.0,941507,25.611,0.03326,3.252,19.989,16.005,20.0,1552391,3304638,3763504,9999790,18620323,1552391,3304638,9999790,3763504,0.7773684
3,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,949240.0,1585.0,172648,25.606,0.04036,3.242,20.008,15.999,20.002,1547888,3304336,3762490,10000851,18615565,1547888,3304336,10000851,3762490,0.7773363
4,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,941146.0,1567.0,969279,25.613,0.03683,3.253,20.011,15.999,20.002,1553013,3304710,3760112,10001047,18618882,1553013,3304710,10001047,3760112,0.77728176
5,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,900252.0,1547.0,484587,25.626,0.02642,3.241,19.99,16.003,20.001,1547398,3296660,3764584,10000745,18609387,1547398,3296660,10000745,3764584,0.77750033
6,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,945851.0,1609.0,408945,25.59,0.03904,3.245,20.003,16.01,20.0,1548549,3303811,3759460,10000080,18611900,1548549,3303811,10000080,3759460,0.777029
7,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,932722.0,1521.0,652639,25.657,0.03369,3.25,20.004,16.005,19.995,1552128,3311872,3762048,9997446,18623494,1552128,3311872,9997446,3762048,0.77786314
8,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,920785.0,1553.0,861503,25.586,0.03061,3.24,19.99,15.999,19.999,1546972,3309602,3753205,9999475,18609254,1546972,3309602,9999475,3753205,0.77689177
9,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,932092.0,1514.0,878878,25.578,0.0336,3.242,19.992,15.99,19.994,1547405,3314153,3752930,9997037,18611525,1547405,3314153,9997037,3752930,0.7769015
10,gabon,1000000,1000,2020-01-01,2020-12-31,hybrid,937891.0,1545.0,847052,25.594,0.03552,3.245,19.991,16.016,19.994,1549526,3312330,3758958,9996911,18617725,1549526,3312330,9996911,3758958,0.77695024
