,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,768717.0,6756.0,606032,43.122,0.01404,2.005,19.987,15.991,19.999,800354,1617452,4653127,9999593,17070526,800354,1617452,9999593,4653127,0.99948156
1,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,832473.0,7348.0,116986,43.103,0.01663,2.008,20.0,15.994,20.001,801968,1623356,4652353,10000330,17078007,801968,1623356,10000330,4652353,0.99927974
2,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,656071.0,5573.0,563110,43.087,0.01129,2.003,19.995,16.007,20.002,799772,1622224,4655960,10000859,17078815,799772,1622224,10000859,4655960,0.9986826
3,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,866494.0,7780.0,522330,43.107,0.01878,2.009,19.998,16.0,19.997,801671,1620769,4659948,9998474,17080862,801671,1620769,9998474,4659948,0.9990442
4,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,882098.0,7931.0,703689,43.105,0.02007,2.001,19.997,16.002,20.004,799011,1624887,4657113,10001924,17082935,799011,1624887,10001924,4657113,0.9994111
5,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,641962.0,5490.0,207452,43.155,0.011,2.006,19.98,16.005,19.995,801614,1614248,4658723,9997517,17072102,801614,1614248,9997517,4658723,0.99957514
6,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,776070.0,6771.0,630228,43.143,0.01423,2.006,20.019,15.995,19.999,801375,1622066,4648402,9999440,17071283,801375,1622066,9999440,4648402,0.99955106
7,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,894393.0,8080.0,539565,43.108,0.02138,2.007,19.994,15.999,20.0,801421,1620605,4651595,10000079,17073700,801421,1620605,10000079,4651595,0.9990779
8,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,756516.0,6496.0,168883,43.137,0.0136,2.004,19.995,16.007,19.999,799993,1619238,4662615,9999685,17081531,799993,1619238,9999685,4662615,0.99942654
9,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,778616.0,6804.0,400442,43.142,0.01437,2.008,19.991,15.997,20.006,801758,1614656,4659910,10002791,17079115,801758,1614656,10002791,4659910,0.99969995
10,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,787863.0,6951.0,130588,43.112,0.01469,2.008,19.986,15.999,19.996,801802,1617097,4656307,9998131,17073337,801802,1617097,9998131,4656307,0.99905026
11,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,409200.0,3237.0,802458,43.112,0.00822,2.004,20.01,16.004,20.002,801155,1620254,4660322,10000953,17082684,801155,1620254,10000953,4660322,0.9992069
12,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,719945.0,6208.0,275685,43.13,0.0126,2.002,20.002,15.992,20.005,799317,1611837,4657202,10002471,17070827,799317,1611837,10002471,4657202,0.99965245
13,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,906319.0,8310.0,295108,43.178,0.02258,2.01,19.997,16.007,20.0,803670,1612338,4657907,10000012,17073927,803670,1612338,10000012,4657907,1.000142
14,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,862405.0,7717.0,805660,43.155,0.01844,2.008,19.995,16.004,19.996,801980,1614084,4660151,9998173,17074388,801980,1614084,9998173,4660151,0.99981505
15,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,843399.0,7480.0,953078,43.09,0.01729,2.004,20.013,16.006,19.995,799981,1623645,4654969,9997290,17075885,799981,1623645,9997290,4654969,0.99904275
16,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,900608.0,7989.0,224747,43.115,0.0219,2.005,19.99,16.002,19.999,800613,1623045,4657554,9999518,17080730,800613,1623045,9999518,4657554,0.9992107
17,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,938305.0,8478.0,520287,43.132,0.02821,2.006,19.97,16.005,19.999,801670,1609096,4657355,9999655,17067776,801670,1609096,9999655,4657355,0.9995526
18,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,843930.0,7627.0,760764,43.159,0.01724,2.007,19.997,16.005,20.001,801239,1612938,4661149,10000550,17075876,801239,1612938,10000550,4661149,0.9997655
19,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,784585.0,6931.0,554846,43.115,0.01458,2.0,19.993,15.999,20.014,798671,1614486,4657774,10006954,17077885,798671,1614486,10006954,4657774,0.99946016
20,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,772210.0,6822.0,357300,43.126,0.01416,2.007,20.009,15.997,19.994,800777,1622213,4645293,9997219,17065502,800777,1622213,9997219,4645293,0.99943906
21,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,783318.0,6931.0,473786,43.14,0.01454,2.005,20.014,16.002,20.002,801005,1614056,4651687,10000815,17067563,801005,1614056,10000815,4651687,0.99953634
22,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,764764.0,6614.0,32652,43.116,0.01384,2.003,20.003,16.005,20.002,800037,1622572,4655175,10000916,17078700,800037,1622572,10000916,4655175,0.999124
23,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,756516.0,6507.0,66360,43.112,0.01359,2.011,20.006,15.999,20.004,803226,1618060,4657381,10002187,17080854,803226,1618060,10002187,4657381,0.9990303
24,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,821589.0,7384.0,447892,43.105,0.01606,2.007,20.0,16.005,19.995,801426,1621912,4653776,9997406,17074520,801426,1621912,9997406,4653776,0.9991257
25,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,774534.0,6738.0,53014,43.158,0.01421,2.011,19.984,16.006,19.999,802637,1613835,4652838,9999643,17068953,802637,1613835,9999643,4652838,0.9995797
26,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,891187.0,8143.0,46323,43.145,0.02091,2.009,20.017,16.012,20.003,802466,1618048,4660598,10001711,17082823,802466,1618048,10001711,4660598,0.99961966
27,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,755476.0,6540.0,590788,43.122,0.0136,2.007,19.987,16.006,19.998,801604,1622325,4653636,9998887,17076452,801604,1622325,9998887,4653636,0.99927145
28,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,842715.0,7364.0,320041,43.141,0.01724,2.007,19.992,15.996,19.996,801664,1615604,4660156,9998005,17075429,801664,1615604,9998005,4660156,0.9997269
29,hungary,1000000,1000,2020-01-01,2020-12-31,hybrid,842385.0,7350.0,250960,43.11,0.01718,2.009,19.994,16.006,19.993,802174,1620593,4656349,9996335,17075451,802174,1620593,9996335,4656349,0.9991454
