,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,798844.0,2254.0,674761,31.775,0.01471,3.028,20.006,15.999,19.998,1427110,2716088,4436209,9998926,18578333,1427110,2716088,9998926,4436209,0.8608945
1,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,817323.0,2325.0,431,31.838,0.01553,3.032,20.004,16.0,20.003,1430225,2707133,4439772,10001304,18578434,1430225,2707133,10001304,4439772,0.8613834
2,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,812198.0,2289.0,876109,31.789,0.01529,3.033,20.003,16.003,19.993,1428982,2711859,4442168,9996452,18579461,1428982,2711859,9996452,4442168,0.86083776
3,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,793848.0,2272.0,257629,31.799,0.0145,3.03,19.996,16.006,19.999,1428024,2706031,4444846,9999633,18578534,1428024,2706031,9999633,4444846,0.86106366
4,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,845096.0,2392.0,967506,31.758,0.01711,3.031,19.993,15.992,19.999,1428737,2723242,4426856,9999289,18578124,1428737,2723242,9999289,4426856,0.86025214
5,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,615635.0,1675.0,848489,31.817,0.01006,3.032,19.998,16.001,19.997,1428110,2713699,4439759,9998403,18579971,1428110,2713699,9998403,4439759,0.8610271
6,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,806020.0,2324.0,943004,31.769,0.01498,3.028,19.992,16.012,19.999,1427969,2711899,4441479,9999540,18580887,1427969,2711899,9999540,4441479,0.8608792
7,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,883810.0,2418.0,854912,31.832,0.02005,3.033,20.006,16.007,20.003,1429481,2710972,4441610,10001543,18583606,1429481,2710972,10001543,4441610,0.8614692
8,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,834640.0,2373.0,419428,31.818,0.01652,3.032,20.001,16.002,20.006,1429328,2709179,4445617,10002984,18587108,1429328,2709179,10002984,4445617,0.86116415
9,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,840389.0,2334.0,359169,31.817,0.01671,3.034,19.998,15.996,19.997,1429534,2717662,4438060,9998608,18583864,1429534,2717662,9998608,4438060,0.8612226
10,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,697178.0,1917.0,980119,31.749,0.01161,3.025,20.01,16.004,19.998,1425451,2716625,4440012,9998933,18581021,1425451,2716625,9998933,4440012,0.86031556
11,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,885457.0,2508.0,181214,31.781,0.02037,3.031,19.989,16.004,19.999,1428341,2705796,4444205,9999323,18577665,1428341,2705796,9999323,4444205,0.8608905
12,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,904206.0,2590.0,667464,31.825,0.02233,3.042,20.019,16.007,19.996,1433821,2710142,4445150,9998132,18587245,1433821,2710142,9998132,4445150,0.86150646
13,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,845728.0,2386.0,168805,31.819,0.01711,3.034,20.013,16.005,20.006,1430260,2713213,4442752,10002803,18589028,1430260,2713213,10002803,4442752,0.8612901
14,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,734828.0,2049.0,905094,31.783,0.01255,3.039,19.994,15.996,20.004,1432318,2713803,4433887,10002081,18582089,1432318,2713803,10002081,4433887,0.8607607
15,indonesia,1000000,1000,2020-01-01,2020-12-31,hybrid,765067.0,2246.0,171353,31.788,0.01345,3.038,19.999,15.992,19.994,1432046,2714459,4432092,9997022,18575619,1432046,2714459,9997022,4432092,0.86075497
