,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,967710.0,1430.0,934200,24.947,0.03177,6.721,20.005,16.003,19.991,3356332,3571997,3596399,9995424,20520152,3356332,3571997,9995424,3596399,0.77147514
1,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,974544.0,1473.0,904903,24.915,0.03571,6.707,20.004,15.994,20.0,3349616,3578661,3594401,9999911,20522589,3349616,3578661,9999911,3594401,0.7712239
2,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,963766.0,1515.0,913325,24.927,0.02993,6.708,20.002,16.005,20.002,3349796,3570847,3595403,10001157,20517203,3349796,3570847,10001157,3595403,0.7713405
3,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,971695.0,1564.0,858826,24.887,0.03402,6.71,20.013,16.003,20.001,3351115,3582448,3590143,10000285,20523991,3351115,3582448,10000285,3590143,0.7707441
4,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,957419.0,1505.0,387057,24.928,0.02765,6.719,19.995,16.004,20.004,3355489,3576746,3592851,10001878,20526964,3355489,3576746,10001878,3592851,0.7708647
5,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,971107.0,1457.0,929983,24.91,0.0338,6.724,20.015,15.994,20.004,3357773,3571484,3595104,10002230,20526591,3357773,3571484,10002230,3595104,0.77127045
6,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,978561.0,1476.0,941761,24.917,0.03894,6.703,20.001,16.001,20.001,3347203,3578823,3591259,10000703,20517988,3347203,3578823,10000703,3591259,0.7710671
7,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973204.0,1483.0,539638,24.905,0.03495,6.719,19.997,16.002,19.993,3355477,3571846,3597295,9996516,20521134,3355477,3571846,9996516,3597295,0.770819
8,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,966612.0,1513.0,429179,24.919,0.03123,6.712,19.998,16.0,19.999,3351699,3571899,3595906,9999469,20518973,3351699,3571899,9999469,3595906,0.7711913
9,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,964943.0,1464.0,204524,24.885,0.03066,6.707,20.014,16.0,19.995,3349337,3584899,3587563,9997287,20519086,3349337,3584899,9997287,3587563,0.77056575
10,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,948493.0,1554.0,821718,24.894,0.02519,6.707,20.007,15.998,20.002,3349128,3577734,3583701,10001013,20511576,3349128,3577734,10001013,3583701,0.77054864
11,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,977694.0,1502.0,667720,24.893,0.03824,6.699,20.004,16.008,19.997,3345174,3582657,3594784,9998588,20521203,3345174,3582657,9998588,3594784,0.7709901
12,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,963127.0,1452.0,571316,24.926,0.02975,6.715,19.988,15.995,20.0,3353695,3568176,3591748,9999978,20513597,3353695,3568176,9999978,3591748,0.77150095
13,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,966711.0,1482.0,507726,24.901,0.03151,6.711,19.979,16.003,20.0,3351576,3577231,3588205,10000127,20517139,3351576,3577231,10000127,3588205,0.7706789
14,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,965050.0,1503.0,368372,24.937,0.03061,6.708,20.005,15.999,19.994,3349469,3566857,3598254,9997036,20511616,3349469,3566857,9997036,3598254,0.77155304
15,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,969890.0,1553.0,473666,24.914,0.03301,6.713,19.997,16.005,20.007,3352331,3579928,3591157,10003590,20527006,3352331,3579928,10003590,3591157,0.7711432
16,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,979558.0,1568.0,405465,24.902,0.03973,6.71,20.004,16.009,19.993,3350726,3568745,3597253,9996360,20513084,3350726,3568745,9996360,3597253,0.77096105
17,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,969083.0,1535.0,774087,24.929,0.03262,6.706,20.012,16.006,20.004,3348738,3574267,3598653,10002137,20523795,3348738,3574267,10002137,3598653,0.77129763
18,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,960985.0,1449.0,946033,24.912,0.02897,6.717,20.006,15.999,19.999,3354357,3578786,3590604,9999419,20523166,3354357,3578786,9999419,3590604,0.7712931
19,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,974286.0,1480.0,847418,24.864,0.03579,6.7,20.007,15.996,20.008,3346194,3581743,3583616,10004121,20515674,3346194,3581743,10004121,3583616,0.77012295
20,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973711.0,1435.0,584657,24.891,0.03522,6.709,20.0,15.991,19.996,3350428,3586392,3582394,9998146,20517360,3350428,3586392,9998146,3582394,0.7709741
21,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,973429.0,1528.0,118188,24.929,0.03518,6.722,19.999,15.992,20.004,3357001,3572721,3590216,10001790,20521728,3357001,3572721,10001790,3590216,0.77125114
