,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,957622.0,12729.0,107785,46.075,0.03431,1.856,19.987,16.011,20.002,699073,1480016,4523733,10000768,16703590,699073,1480016,10000768,4523733,1.0255474
1,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,949853.0,12452.0,203643,46.045,0.03164,1.86,19.994,15.998,20.005,700341,1485877,4525606,10002254,16714078,700341,1485877,10002254,4525606,1.0253694
2,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,954878.0,12229.0,915415,46.054,0.03349,1.857,19.989,15.993,20.005,698427,1480304,4527903,10002488,16709122,698427,1480304,10002488,4527903,1.0254257
3,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,950124.0,12429.0,57757,46.088,0.03161,1.859,20.01,15.994,20.002,700147,1482990,4521899,10001174,16706210,700147,1482990,10001174,4521899,1.0259405
4,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,950985.0,12451.0,959154,46.123,0.03178,1.86,20.017,15.993,20.0,699700,1480873,4522088,10000033,16702694,699700,1480873,10000033,4522088,1.0263705
5,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,958375.0,12613.0,552753,46.097,0.03478,1.857,20.001,16.007,19.993,700044,1478295,4524892,9996410,16699641,700044,1478295,9996410,4524892,1.0260402
6,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,945320.0,12286.0,991726,46.119,0.03002,1.856,19.995,16.006,20.002,699289,1477475,4531976,10001138,16709878,699289,1477475,10001138,4531976,1.0263103
7,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,953947.0,12465.0,682775,46.061,0.03306,1.858,20.0,15.997,19.994,700031,1487095,4522459,9997077,16706662,700031,1487095,9997077,4522459,1.0256189
8,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,973019.0,12845.0,533401,46.128,0.04337,1.859,20.001,15.998,19.995,700487,1481170,4519796,9997700,16699153,700487,1481170,9997700,4519796,1.0264504
9,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,966725.0,12696.0,264193,46.12,0.0389,1.86,19.984,15.998,20.003,700376,1477814,4527962,10001497,16707649,700376,1477814,10001497,4527962,1.0264419
10,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,959985.0,12629.0,253667,46.104,0.03544,1.853,20.0,15.993,19.997,698166,1482238,4518945,9998370,16697719,698166,1482238,9998370,4518945,1.0261196
11,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,958824.0,12460.0,676954,46.101,0.03494,1.857,20.017,15.999,20.006,699543,1486454,4518686,10003169,16707852,699543,1486454,10003169,4518686,1.0260975
12,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,962141.0,12575.0,263726,46.076,0.03628,1.856,19.996,15.995,19.995,698839,1478119,4528772,9997707,16703437,698839,1478119,9997707,4528772,1.0257053
13,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,959921.0,12461.0,374079,46.111,0.03521,1.859,19.998,16.002,19.998,699943,1478328,4531348,9998966,16708585,699943,1478328,9998966,4531348,1.0264009
14,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,957115.0,12586.0,257738,46.125,0.03412,1.856,19.991,15.994,20.001,699667,1475471,4526875,10000484,16702497,699667,1475471,10000484,4526875,1.0263182
15,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,944845.0,12260.0,3095,46.079,0.02996,1.858,19.991,16.0,20.012,699875,1475833,4530916,10005873,16712497,699875,1475833,10005873,4530916,1.0258659
16,italy,1000000,1000,2020-01-01,2020-12-31,hybrid,958464.0,12586.0,99854,46.142,0.03472,1.859,19.996,15.999,19.997,700833,1477070,4526646,9998614,16703163,700833,1477070,9998614,4526646,1.0265446
