,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,893793.0,3501.0,465815,32.337,0.02374,2.721,20.002,15.997,19.999,1249109,2541297,4312694,9999281,18102381,1249109,2541297,9999281,4312694,0.85651374
1,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,918915.0,3619.0,887251,32.312,0.02789,2.721,19.993,16.003,20.0,1248238,2542780,4301142,10000219,18092379,1248238,2542780,10000219,4301142,0.85613745
2,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,925689.0,3568.0,623685,32.292,0.02956,2.725,20.003,16.0,20.0,1250464,2541463,4305388,10000127,18097442,1250464,2541463,10000127,4305388,0.85606724
3,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,931518.0,3572.0,509656,32.284,0.03123,2.72,20.002,16.0,20.003,1247759,2553610,4298237,10001695,18101301,1247759,2553610,10001695,4298237,0.855761
4,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,940278.0,3604.0,435063,32.332,0.03381,2.723,20.0,16.0,20.003,1249870,2544327,4306363,10001349,18101909,1249870,2544327,10001349,4306363,0.85631186
5,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,914057.0,3600.0,97075,32.346,0.0271,2.725,20.004,15.995,20.002,1251115,2545175,4299647,10001063,18097000,1251115,2545175,10001063,4299647,0.8562622
6,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,911783.0,3583.0,861715,32.288,0.02678,2.722,20.014,15.996,19.998,1248663,2550337,4300277,9998896,18098173,1248663,2550337,9998896,4300277,0.8556679
7,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,929365.0,3615.0,764530,32.289,0.03066,2.715,20.002,15.994,19.993,1246216,2545173,4299618,9996636,18087643,1246216,2545173,9996636,4299618,0.85587096
8,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,913050.0,3524.0,617455,32.348,0.02681,2.725,19.982,16.004,19.999,1250239,2542517,4303772,9999336,18095864,1250239,2542517,9999336,4303772,0.8565009
9,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,904557.0,3634.0,66867,32.321,0.02563,2.72,19.997,16.002,20.0,1247121,2548322,4298646,9999918,18094007,1247121,2548322,9999918,4298646,0.8560657
10,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,912824.0,3495.0,266730,32.303,0.0268,2.727,19.997,15.997,19.996,1251136,2541503,4306016,9997964,18096619,1251136,2541503,9997964,4306016,0.856083
11,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,924399.0,3602.0,848732,32.306,0.02951,2.714,19.998,15.996,19.997,1245175,2540548,4309265,9998407,18093395,1245175,2540548,9998407,4309265,0.85604525
12,kazakhstan,1000000,1000,2020-01-01,2020-12-31,hybrid,919970.0,3521.0,102364,32.308,0.02831,2.721,20.001,16.002,20.003,1248872,2549326,4304873,10001695,18104766,1248872,2549326,10001695,4304873,0.8559485
