,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,930991.0,2056.0,122185,27.434,0.03348,2.595,19.994,15.991,20.008,1173253,3257823,3899609,10004033,18334718,1173253,3257823,10004033,3899609,0.8116262
1,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,921273.0,2120.0,4593,27.421,0.03082,2.597,20.013,15.999,20.001,1173736,3269592,3884333,10000268,18327929,1173736,3269592,10000268,3884333,0.8112639
2,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,926230.0,2025.0,93644,27.408,0.03191,2.585,20.01,16.006,20.003,1168461,3260714,3900448,10001711,18331334,1168461,3260714,10001711,3900448,0.8114111
3,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,896373.0,2092.0,353281,27.421,0.02586,2.599,19.994,16.0,20.008,1175121,3264537,3898651,10003909,18342218,1175121,3264537,10003909,3898651,0.81152457
4,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,841326.0,1904.0,170898,27.393,0.01984,2.596,19.987,15.999,20.008,1173428,3264113,3896709,10003771,18338021,1173428,3264113,10003771,3896709,0.81138057
5,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,912636.0,2142.0,897916,27.439,0.02873,2.592,20.002,15.994,20.009,1171101,3261082,3897616,10004274,18334073,1171101,3261082,10004274,3897616,0.8116844
6,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,746506.0,1715.0,518134,27.435,0.0149,2.592,19.996,16.005,20.001,1171255,3259915,3896504,10000271,18327945,1171255,3259915,10000271,3896504,0.8116711
7,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,903098.0,1972.0,523311,27.447,0.02694,2.593,19.998,15.995,20.008,1172191,3260587,3893572,10003840,18330190,1172191,3260587,10003840,3893572,0.81201696
8,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,930416.0,2121.0,110911,27.423,0.03342,2.589,19.993,16.006,20.001,1170204,3264358,3893603,10000664,18328829,1170204,3264358,10000664,3893603,0.81167537
9,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,904057.0,1964.0,534402,27.429,0.0271,2.593,19.995,16.005,20.001,1171756,3252958,3901030,10000632,18326376,1171756,3252958,10000632,3901030,0.81166804
10,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,912124.0,2001.0,163112,27.4,0.02875,2.593,19.996,16.007,20.004,1172726,3266964,3894270,10002186,18336146,1172726,3266964,10002186,3894270,0.8111371
11,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,918861.0,2050.0,989608,27.396,0.03025,2.589,19.985,16.001,20.007,1170328,3266564,3888062,10003414,18328368,1170328,3266564,10003414,3888062,0.8110735
12,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,915978.0,2031.0,972462,27.399,0.02973,2.59,20.023,16.011,20.005,1170436,3267127,3895951,10002647,18336161,1170436,3267127,10002647,3895951,0.81118196
13,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,926881.0,2150.0,106690,27.423,0.03228,2.59,19.997,16.002,19.998,1170995,3263883,3895507,9999053,18329438,1170995,3263883,9999053,3895507,0.8114825
14,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,886561.0,1981.0,962042,27.42,0.02456,2.595,19.998,16.002,19.997,1172978,3266941,3892409,9998309,18330637,1172978,3266941,9998309,3892409,0.81149745
15,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,918971.0,2011.0,881611,27.457,0.03023,2.594,20.0,16.005,19.998,1172555,3261430,3898469,9998943,18331397,1172555,3261430,9998943,3898469,0.8119314
16,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,923621.0,2071.0,946364,27.36,0.03165,2.588,19.999,16.003,20.003,1169545,3274166,3884198,10001250,18329159,1169545,3274166,10001250,3884198,0.81067353
17,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,901658.0,1910.0,944661,27.415,0.02677,2.591,19.988,15.998,20.0,1171345,3269052,3889317,9999932,18329646,1171345,3269052,9999932,3889317,0.8116105
18,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,924931.0,2129.0,294034,27.407,0.0318,2.594,19.996,15.998,20.001,1172397,3267894,3894644,10000264,18335199,1172397,3267894,10000264,3894644,0.8114541
19,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,897742.0,2058.0,124080,27.429,0.02607,2.601,19.992,15.993,20.002,1175799,3257969,3900537,10000755,18335060,1175799,3257969,10000755,3900537,0.8118968
20,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,919238.0,2060.0,678397,27.428,0.03012,2.595,20.009,16.003,20.002,1173780,3265319,3899505,10001119,18339723,1173780,3265319,10001119,3899505,0.8119355
21,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,924789.0,2123.0,823859,27.425,0.03162,2.588,19.981,16.005,20.001,1169737,3260436,3899281,10000331,18329785,1169737,3260436,10000331,3899281,0.81172675
22,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,910487.0,2111.0,214471,27.448,0.02856,2.588,20.001,16.007,20.003,1169226,3257553,3899629,10001416,18327824,1169226,3257553,10001416,3899629,0.8115857
23,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,899833.0,2026.0,371961,27.429,0.02635,2.589,20.013,15.996,20.006,1170759,3266018,3893172,10002752,18332701,1170759,3266018,10002752,3893172,0.8115943
24,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,905099.0,1990.0,697274,27.412,0.02737,2.589,20.004,15.995,19.993,1170052,3262399,3897722,9996287,18326460,1170052,3262399,9996287,3897722,0.81151366
25,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,920541.0,2114.0,262179,27.424,0.03062,2.593,20.006,16.001,20.006,1171760,3263972,3895209,10002814,18333755,1171760,3263972,10002814,3895209,0.81148
26,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,902907.0,2056.0,88951,27.407,0.02702,2.591,19.995,16.0,19.997,1171654,3266946,3891831,9998433,18328864,1171654,3266946,9998433,3891831,0.81132644
27,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,907195.0,2056.0,247067,27.413,0.02789,2.589,19.991,15.994,20.002,1170491,3257869,3894332,10000764,18323456,1170491,3257869,10000764,3894332,0.81139815
28,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,882261.0,1945.0,499326,27.417,0.02398,2.591,20.01,16.01,19.995,1170697,3265371,3899667,9997438,18333173,1170697,3265371,9997438,3899667,0.811554
29,lesotho,1000000,1000,2020-01-01,2020-12-31,hybrid,888492.0,1990.0,778919,27.395,0.02487,2.592,20.014,15.999,20.001,1170949,3267509,3890596,10000408,18329462,1170949,3267509,10000408,3890596,0.8110728
