,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,918524.0,10340.0,74783,43.774,0.02663,1.8,20.003,16.002,19.988,659931,1564656,4538015,9994120,16756722,659931,1564656,9994120,4538015,0.9967103
1,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,935862.0,10658.0,957655,43.818,0.03053,1.805,20.014,15.998,19.999,661737,1565796,4533228,9999328,16760089,661737,1565796,9999328,4533228,0.9973401
2,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,934547.0,10602.0,500563,43.786,0.03007,1.802,20.011,16.01,19.992,660026,1566805,4536179,9995986,16758996,660026,1566805,9995986,4536179,0.99707466
3,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,948400.0,10694.0,341555,43.77,0.03444,1.8,20.025,16.006,19.999,659397,1565666,4545491,9999344,16769898,659397,1565666,9999344,4545491,0.99705446
4,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,925376.0,10188.0,865327,43.791,0.02782,1.801,19.978,16.002,20.012,660820,1561923,4541074,10006131,16769948,660820,1561923,10006131,4541074,0.9973735
5,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,942855.0,10698.0,957602,43.786,0.03234,1.802,20.0,15.997,19.994,660836,1563782,4541689,9997227,16763534,660836,1563782,9997227,4541689,0.9972779
6,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,929064.0,10469.0,741875,43.751,0.02897,1.798,20.001,15.998,20.003,659171,1570546,4532323,10001721,16763761,659171,1570546,10001721,4532323,0.99664956
7,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,922099.0,10211.0,119668,43.798,0.02741,1.801,20.001,15.999,19.996,661144,1562953,4536836,9998194,16759127,661144,1562953,9998194,4536836,0.99690956
8,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,879108.0,9558.0,701593,43.741,0.02144,1.801,19.995,15.996,20.004,659033,1567576,4539600,10002237,16768446,659033,1567576,10002237,4539600,0.9965815
9,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,905876.0,10009.0,814397,43.728,0.02455,1.798,19.997,16.006,19.997,658215,1575081,4534958,9998711,16766965,658215,1575081,9998711,4534958,0.9966203
10,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,810640.0,8779.0,638429,43.742,0.01672,1.804,19.981,15.998,19.995,661088,1564335,4538549,9997567,16761539,661088,1564335,9997567,4538549,0.99652886
11,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,930557.0,10452.0,438750,43.761,0.02915,1.801,19.994,15.999,20.001,659329,1565682,4541544,10000664,16767219,659329,1565682,10000664,4541544,0.99686444
12,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,922050.0,10292.0,819581,43.838,0.0272,1.804,19.998,15.997,19.998,661574,1568176,4528874,9998918,16757542,661574,1568176,9998918,4528874,0.9976272
13,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,925584.0,10488.0,317356,43.773,0.02796,1.802,19.994,16.003,20.005,660548,1568111,4537866,10002555,16769080,660548,1568111,10002555,4537866,0.997005
14,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,914748.0,10256.0,498986,43.779,0.0259,1.802,19.995,16.003,19.998,659732,1566367,4538394,9999181,16763674,659732,1566367,9999181,4538394,0.9971125
15,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,891400.0,9983.0,86936,43.762,0.02273,1.802,20.007,16.001,20.004,660159,1563038,4535645,10001957,16760799,660159,1563038,10001957,4535645,0.99669665
16,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,923990.0,10435.0,555952,43.757,0.02774,1.798,20.0,15.997,20.001,658573,1561446,4542979,10000574,16763572,658573,1561446,10000574,4542979,0.99661815
17,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,932231.0,10489.0,606979,43.808,0.02948,1.8,20.019,15.999,19.997,659192,1565012,4537599,9998254,16760057,659192,1565012,9998254,4537599,0.99738306
18,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,918417.0,10233.0,432265,43.784,0.02672,1.801,20.017,15.99,19.998,659866,1570691,4530254,9998865,16759676,659866,1570691,9998865,4530254,0.99687165
19,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,939064.0,10566.0,846341,43.765,0.03115,1.805,20.014,15.995,19.999,661240,1572963,4536037,9999323,16769563,661240,1572963,9999323,4536037,0.99704033
20,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,929991.0,10625.0,33428,43.757,0.02884,1.799,19.99,15.998,20.005,659584,1566552,4539026,10002632,16767794,659584,1566552,10002632,4539026,0.9969279
21,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,925028.0,10382.0,218668,43.798,0.02777,1.803,19.993,16.007,19.998,661644,1561158,4550095,9998917,16771814,661644,1561158,9998917,4550095,0.99716926
22,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,947860.0,10848.0,829194,43.749,0.03402,1.803,20.008,15.996,20.009,660281,1572633,4542201,10004337,16779452,660281,1572633,10004337,4542201,0.99646646
23,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,942502.0,10688.0,926675,43.757,0.03215,1.802,20.003,15.998,20.003,660203,1568637,4529002,10001518,16759360,660203,1568637,10001518,4529002,0.996907
24,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,879739.0,9669.0,406863,43.791,0.02145,1.8,20.014,16.005,19.994,659595,1566475,4537620,9997068,16760758,659595,1566475,9997068,4537620,0.9971469
25,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,895490.0,10100.0,508910,43.816,0.0232,1.805,19.992,16.003,19.995,661593,1561821,4532838,9997742,16753994,661593,1561821,9997742,4532838,0.99750197
26,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,934860.0,10510.0,509902,43.809,0.03003,1.807,19.984,16.0,20.002,662795,1563141,4532879,10000784,16759599,662795,1563141,10000784,4532879,0.9972453
27,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,939983.0,10372.0,239171,43.779,0.03141,1.801,19.982,16.012,20.004,659983,1561290,4546410,10001947,16769630,659983,1561290,10001947,4546410,0.9971109
28,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,887689.0,9859.0,385385,43.753,0.0222,1.798,20.007,15.99,20.004,658908,1574408,4532121,10001834,16767271,658908,1574408,10001834,4532121,0.9970431
29,lithuania,1000000,1000,2020-01-01,2020-12-31,hybrid,928971.0,10614.0,431561,43.762,0.02873,1.798,20.004,15.997,19.999,658230,1570559,4535036,9999313,16763138,658230,1570559,9999313,4535036,0.99670756
