,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,972205.0,3129.0,566622,32.371,0.03938,3.652,19.985,16.003,20.004,1773744,2566643,4566750,10002035,18909172,1773744,2566643,10002035,4566750,0.8793201
1,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,964296.0,3080.0,152605,32.365,0.03431,3.661,20.004,16.001,20.002,1778254,2572210,4568747,10000787,18919998,1778254,2572210,10000787,4568747,0.8792788
2,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,960924.0,3069.0,631309,32.32,0.0326,3.658,19.996,16.002,19.996,1777024,2578478,4565040,9997797,18918339,1777024,2578478,9997797,4565040,0.8788007
3,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,964310.0,3147.0,177254,32.377,0.03418,3.671,20.013,16.0,20.001,1782942,2574712,4566077,10000534,18924265,1782942,2574712,10000534,4566077,0.8794338
4,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,962944.0,3128.0,234875,32.379,0.03359,3.666,19.991,15.999,19.995,1780373,2568369,4568238,9997523,18914503,1780373,2568369,9997523,4568238,0.8794828
5,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,964186.0,3124.0,138890,32.34,0.03431,3.662,20.001,16.0,19.996,1778803,2572684,4566423,9997920,18915830,1778803,2572684,9997920,4566423,0.87887543
6,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,972488.0,3080.0,999888,32.372,0.03937,3.658,20.008,15.989,20.0,1776496,2568747,4563698,10000184,18909125,1776496,2568747,10000184,4563698,0.879164
7,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,967140.0,3113.0,993414,32.36,0.03599,3.67,19.992,16.007,20.0,1782372,2569675,4567014,9999839,18918900,1782372,2569675,9999839,4567014,0.87919205
8,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,954185.0,3060.0,254889,32.368,0.03001,3.663,20.009,16.0,19.994,1779195,2571152,4567339,9997067,18914753,1779195,2571152,9997067,4567339,0.8790489
9,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,958354.0,3140.0,350553,32.357,0.03154,3.662,19.992,15.999,20.003,1778616,2575476,4568692,10001499,18924283,1778616,2575476,10001499,4568692,0.8791936
10,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,955388.0,3045.0,519961,32.367,0.03043,3.661,19.996,16.004,20.001,1777974,2569640,4572278,10000629,18920521,1777974,2569640,10000629,4572278,0.8791327
11,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,944278.0,3058.0,588991,32.353,0.02675,3.658,20.001,16.0,19.997,1776446,2573627,4564428,9998479,18912980,1776446,2573627,9998479,4564428,0.87904114
12,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,957717.0,3077.0,879459,32.369,0.03112,3.668,20.011,15.998,20.001,1781621,2570592,4572325,10000473,18925011,1781621,2570592,10000473,4572325,0.8797213
13,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,956424.0,3064.0,630910,32.353,0.03082,3.658,19.989,15.998,19.995,1776625,2573651,4567669,9997515,18915460,1776625,2573651,9997515,4567669,0.8791233
14,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,964029.0,3181.0,213353,32.374,0.03391,3.662,19.992,16.012,20.001,1778880,2567238,4570197,10000674,18916989,1778880,2567238,10000674,4570197,0.87919176
15,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,954987.0,2990.0,264828,32.346,0.03016,3.661,20.012,16.004,19.997,1778175,2571427,4572808,9998500,18920910,1778175,2571427,9998500,4572808,0.8790888
16,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,968182.0,3028.0,696706,32.301,0.03652,3.663,19.999,16.004,19.999,1779172,2576782,4570127,9999331,18925412,1779172,2576782,9999331,4570127,0.87850505
