,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,934256.0,9216.0,245988,43.359,0.02671,2.194,19.974,15.999,19.999,924567,1570064,4548800,9999273,17042704,924567,1570064,9999273,4548800,1.0066884
1,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,916631.0,8939.0,359823,43.394,0.02344,2.194,19.991,16.002,19.999,924797,1563029,4554852,9999588,17042266,924797,1563029,9999588,4554852,1.0071868
2,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,971131.0,9799.0,557182,43.419,0.04092,2.195,19.995,16.002,19.998,925947,1572128,4542581,9998836,17039492,925947,1572128,9998836,4542581,1.0073183
3,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,948927.0,9543.0,270859,43.385,0.03055,2.194,19.999,16.002,19.997,924893,1569904,4544968,9998649,17038414,924893,1569904,9998649,4544968,1.0067741
4,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,958464.0,9671.0,201323,43.432,0.03379,2.202,20.002,15.992,20.0,928412,1563534,4544529,9999859,17036334,928412,1563534,9999859,4544529,1.007604
5,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,908784.0,8874.0,764685,43.357,0.02246,2.194,19.999,16.0,20.0,924453,1572564,4543614,10000067,17040698,924453,1572564,10000067,4543614,1.0065527
6,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,896954.0,8835.0,910413,43.432,0.02097,2.191,20.001,16.007,20.001,923842,1562510,4552542,10000259,17039153,923842,1562510,10000259,4552542,1.0076691
7,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,905147.0,8856.0,613484,43.392,0.02202,2.201,19.991,16.0,20.002,927732,1570864,4546599,10000922,17046117,927732,1570864,10000922,4546599,1.0069982
8,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,904371.0,8835.0,273844,43.414,0.02185,2.197,20.013,16.005,19.998,925586,1560960,4554268,9999063,17039877,925586,1560960,9999063,4554268,1.0073888
9,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,933430.0,9285.0,985356,43.374,0.02639,2.197,19.985,16.002,20.003,925801,1569865,4551419,10001620,17048705,925801,1569865,10001620,4551419,1.0066658
10,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,942803.0,9304.0,66249,43.449,0.02842,2.193,20.0,15.998,20.005,924401,1564515,4551531,10002694,17043141,924401,1564515,10002694,4551531,1.0078096
11,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,939796.0,9348.0,296716,43.445,0.0278,2.195,19.976,16.002,19.994,925242,1563766,4545748,9996804,17031560,925242,1563766,9996804,4545748,1.0079023
12,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,824646.0,7902.0,637448,43.401,0.01593,2.194,20.002,16.004,20.002,924661,1571340,4545477,10001037,17042515,924661,1571340,10001037,4545477,1.0070698
13,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,930125.0,9268.0,71102,43.415,0.02569,2.201,20.01,15.995,20.005,928495,1572567,4542937,10002253,17046252,928495,1572567,10002253,4542937,1.0072105
14,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,929857.0,9259.0,874430,43.388,0.02564,2.195,19.987,15.996,20.002,924580,1568701,4541413,10000825,17035519,924580,1568701,10000825,4541413,1.0070087
15,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,952124.0,9358.0,924709,43.347,0.03148,2.194,20.003,16.0,20.003,924424,1570584,4552173,10001699,17048880,924424,1570584,10001699,4552173,1.0065705
16,malta,1000000,1000,2020-01-01,2020-12-31,hybrid,924171.0,8966.0,406680,43.397,0.02471,2.193,19.993,16.006,20.001,924069,1567184,4550398,10000509,17042160,924069,1567184,10000509,4550398,1.0070326
