,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,929745.0,10677.0,354669,44.284,0.0283,1.748,19.986,16.002,19.999,622633,1854398,4272613,9999593,16749237,622633,1854398,9999593,4272613,1.0008448
1,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,931164.0,10665.0,730210,44.291,0.02877,1.751,20.003,16.003,20.009,624664,1854740,4278306,10004343,16762053,624664,1854740,10004343,4278306,1.0007191
2,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,927425.0,10879.0,316867,44.339,0.028,1.751,19.994,16.01,20.0,624803,1853360,4275989,10000057,16754209,624803,1853360,10000057,4275989,1.0014406
3,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,930852.0,10631.0,997735,44.236,0.02869,1.748,19.991,16.004,20.001,622688,1861816,4271040,10000452,16755996,622688,1861816,10000452,4271040,1.0002881
4,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,938139.0,10982.0,336002,44.314,0.0304,1.752,20.006,15.993,20.002,624890,1855620,4268598,10001195,16750303,624890,1855620,10001195,4268598,1.0010597
5,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,885398.0,9899.0,164564,44.25,0.02187,1.749,20.006,16.017,19.997,622670,1862465,4275562,9998638,16759335,622670,1862465,9998638,4275562,1.0002428
6,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,927093.0,10633.0,946068,44.271,0.02791,1.752,20.005,15.995,20.0,624558,1857202,4268458,9999863,16750081,624558,1857202,9999863,4268458,1.000441
7,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,901664.0,10258.0,862908,44.262,0.0237,1.748,20.003,16.005,20.004,622776,1858165,4277248,10002209,16760398,622776,1858165,10002209,4277248,1.000721
8,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,938478.0,10802.0,961100,44.275,0.03049,1.753,19.994,15.999,20.007,625098,1856952,4272464,10003265,16757779,625098,1856952,10003265,4272464,1.0005468
9,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,890187.0,9961.0,244659,44.285,0.02239,1.752,20.0,15.997,19.988,624392,1864543,4267090,9994091,16750116,624392,1864543,9994091,4267090,1.0008538
10,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,907230.0,10252.0,628060,44.266,0.02454,1.745,20.006,15.998,20.006,621958,1861759,4265673,10003139,16752529,621958,1861759,10003139,4265673,1.0004994
11,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,947849.0,10731.0,33263,44.291,0.0333,1.751,20.01,15.988,19.996,624232,1858276,4272498,9997962,16752968,624232,1858276,9997962,4272498,1.0007392
12,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,932320.0,10586.0,902502,44.313,0.02882,1.75,19.997,15.991,20.004,623634,1856605,4278798,10001915,16760952,623634,1856605,10001915,4278798,1.0010208
13,martinique,1000000,1000,2020-01-01,2020-12-31,hybrid,916938.0,10463.0,20518,44.253,0.02588,1.749,19.984,16.0,19.999,622791,1856829,4277869,9999356,16756845,622791,1856829,9999356,4277869,1.0003597
