,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,908586.0,4839.0,495689,39.009,0.02203,2.225,20.006,16.002,19.995,945203,1745853,5069138,9997496,17757690,945203,1745853,9997496,5069138,0.9572857
1,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,731155.0,3668.0,894985,38.997,0.01248,2.223,19.993,15.994,19.998,942314,1743157,5072333,9998843,17756647,942314,1743157,9998843,5072333,0.95705813
2,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,805476.0,4073.0,952863,39.032,0.01475,2.228,19.987,16.004,19.991,946612,1735216,5083727,9995560,17761115,946612,1735216,9995560,5083727,0.95768005
3,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,799016.0,4221.0,872895,39.003,0.01452,2.226,20.009,16.01,20.001,944879,1743365,5076690,10000271,17765205,944879,1743365,10000271,5076690,0.9571735
4,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,908652.0,4784.0,441559,39.027,0.02211,2.226,19.988,15.997,19.999,944413,1747363,5067647,9999629,17759052,944413,1747363,9999629,5067647,0.95752877
5,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,683536.0,3451.0,910122,39.035,0.01133,2.223,19.994,15.997,20.002,942636,1736246,5078988,10001225,17759095,942636,1736246,10001225,5078988,0.95753235
6,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,845833.0,4429.0,222108,38.994,0.01678,2.226,20.033,15.992,19.997,944909,1746709,5073185,9998741,17763544,944909,1746709,9998741,5073185,0.9571173
7,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,906822.0,4726.0,207150,39.009,0.02187,2.223,19.998,15.997,19.993,943362,1745374,5067733,9996656,17753125,943362,1745374,9996656,5067733,0.95716995
8,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,573763.0,2765.0,649411,39.014,0.00961,2.226,20.001,15.994,19.999,944535,1743130,5073327,9999620,17760612,944535,1743130,9999620,5073327,0.9573543
9,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,589323.0,2979.0,776449,38.986,0.00988,2.224,20.014,15.988,19.999,944041,1737771,5074223,9999696,17755731,944041,1737771,9999696,5074223,0.9572695
10,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,895837.0,4748.0,224516,39.007,0.02067,2.221,20.022,15.99,19.996,941934,1739725,5072816,9997854,17752329,941934,1739725,9997854,5072816,0.9572491
11,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,789082.0,4053.0,878720,38.977,0.01416,2.22,20.013,16.015,19.999,941984,1748644,5074855,9999306,17764789,941984,1748644,9999306,5074855,0.95706964
12,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,791006.0,4058.0,595226,39.043,0.01416,2.222,19.98,15.996,20.002,943089,1740914,5068205,10000855,17753063,943089,1740914,10000855,5068205,0.9576079
13,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,808684.0,4042.0,379091,39.007,0.01485,2.224,19.987,16.001,20.004,944574,1740335,5078393,10001759,17765061,944574,1740335,10001759,5078393,0.95715064
14,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,893964.0,4683.0,746718,39.002,0.02043,2.224,20.021,16.0,19.999,943708,1748287,5068680,9999466,17760141,943708,1748287,9999466,5068680,0.9571474
15,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,594636.0,2961.0,538568,38.996,0.0099,2.224,19.999,15.999,19.993,943302,1750213,5065592,9996588,17755695,943302,1750213,9996588,5065592,0.9568976
