,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,798209.0,910.0,93891,20.649,0.01655,4.945,20.006,15.996,19.996,2454539,4189997,2685699,9997805,19328040,2454539,4189997,9997805,2685699,0.6941401
1,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,803169.0,907.0,112448,20.644,0.01674,4.953,20.003,16.002,20.003,2458330,4196780,2682724,10001338,19339172,2458330,4196780,10001338,2682724,0.69380444
2,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,824461.0,907.0,18498,20.643,0.01798,4.954,19.998,15.993,20.0,2459065,4187151,2688714,9999960,19334890,2459065,4187151,9999960,2688714,0.6939335
3,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,735503.0,840.0,399270,20.651,0.01385,4.951,20.008,16.001,20.006,2457522,4190171,2687946,10002847,19338486,2457522,4190171,10002847,2687946,0.694267
4,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,800262.0,924.0,556297,20.66,0.0167,4.945,20.0,16.001,20.002,2454135,4184385,2688981,10001176,19328677,2454135,4184385,10001176,2688981,0.69400704
5,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,708411.0,833.0,524479,20.654,0.01303,4.943,19.996,16.0,20.002,2453555,4194964,2690124,10001170,19339813,2453555,4194964,10001170,2690124,0.694169
6,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,721996.0,853.0,190728,20.659,0.01349,4.951,19.998,15.999,19.991,2457071,4188463,2687842,9995597,19328973,2457071,4188463,9995597,2687842,0.6943843
7,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,805321.0,979.0,901341,20.632,0.01683,4.952,19.996,15.991,20.003,2457692,4197929,2682155,10001716,19339492,2457692,4197929,10001716,2682155,0.6940139
8,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,849631.0,928.0,62056,20.663,0.0199,4.949,20.01,16.0,19.991,2456157,4194596,2689541,9995720,19336014,2456157,4194596,9995720,2689541,0.6939749
9,niger,1000000,1000,2020-01-01,2020-12-31,hybrid,840838.0,962.0,732344,20.633,0.01914,4.953,20.002,15.989,20.001,2458559,4190192,2681747,10000344,19330842,2458559,4190192,10000344,2681747,0.6935016
