,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,986868.0,1401.0,814109,29.956,0.03688,7.02,19.981,15.995,19.999,3507009,2120291,5287527,9999285,20914112,3507009,2120291,9999285,5287527,0.8714932
1,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,971949.0,1378.0,638389,29.979,0.02576,7.019,20.0,16.0,19.999,3506509,2115841,5292689,9999445,20914484,3506509,2115841,9999445,5292689,0.8716251
2,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,987576.0,1429.0,891783,29.978,0.03823,7.033,20.013,16.001,19.996,3513226,2115158,5290534,9997879,20916797,3513226,2115158,9997879,5290534,0.871635
3,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,967751.0,1374.0,52654,29.961,0.02401,7.033,19.992,15.998,20.0,3513295,2113124,5293008,9999993,20919420,3513295,2113124,9999993,5293008,0.8716183
4,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,976323.0,1325.0,969265,29.984,0.02791,7.027,19.988,15.998,20.009,3510381,2116124,5292313,10004302,20923120,3510381,2116124,10004302,5292313,0.8718978
5,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,978931.0,1426.0,790469,29.977,0.02966,7.021,20.002,16.001,20.003,3507175,2117840,5293067,10001666,20919748,3507175,2117840,10001666,5293067,0.871731
6,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,984090.0,1406.0,95880,29.972,0.0341,7.032,19.996,16.004,19.996,3512610,2107896,5302843,9998228,20921577,3512610,2107896,9998228,5302843,0.8716394
7,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,983779.0,1411.0,677604,29.968,0.03321,7.023,20.004,16.009,20.004,3508407,2116507,5302179,10002163,20929256,3508407,2116507,10002163,5302179,0.8717736
8,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,975499.0,1351.0,573980,29.976,0.02762,7.019,20.014,16.005,20.004,3506160,2115240,5299418,10002070,20922888,3506160,2115240,10002070,5299418,0.87176317
9,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,980735.0,1388.0,130173,29.956,0.03095,7.023,20.005,16.0,19.997,3508279,2114039,5295398,9998735,20916451,3508279,2114039,9998735,5295398,0.8715146
10,oman,1000000,1000,2020-01-01,2020-12-31,hybrid,977911.0,1415.0,531889,29.955,0.02906,7.021,19.991,16.002,20.0,3507721,2115983,5291301,9999784,20914789,3507721,2115983,9999784,5291301,0.87134045
