,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,966514.0,11844.0,787732,45.435,0.03707,2.05,19.993,15.988,20.003,829085,1532309,4531587,10001539,16894520,829085,1532309,10001539,4531587,1.021777
1,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,960906.0,11534.0,21847,45.43,0.03447,2.048,19.981,16.01,19.997,829118,1532855,4537270,9998580,16897823,829118,1532855,9998580,4537270,1.0217499
2,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,950322.0,11525.0,801601,45.431,0.03034,2.043,20.012,16.002,20.003,826938,1538838,4532968,10001365,16900109,826938,1538838,10001365,4532968,1.0215542
3,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,960915.0,11694.0,377430,45.404,0.0342,2.047,19.991,16.002,19.999,828268,1538029,4531980,9999355,16897632,828268,1538029,9999355,4531980,1.0216193
4,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,944896.0,11242.0,379810,45.394,0.02869,2.049,19.996,15.997,19.996,828702,1534384,4538915,9998174,16900175,828702,1534384,9998174,4538915,1.021407
5,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,951685.0,11534.0,117577,45.401,0.03092,2.047,19.991,16.003,20.0,827384,1530450,4541348,10000022,16899204,827384,1530450,10000022,4541348,1.0212824
6,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,955917.0,11444.0,463485,45.368,0.03237,2.043,19.997,16.004,19.994,825255,1543648,4535354,9997117,16901374,825255,1543648,9997117,4535354,1.0208979
7,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,944699.0,11668.0,734513,45.41,0.02881,2.045,20.005,16.0,20.002,827716,1536412,4532151,10000959,16897238,827716,1536412,10000959,4532151,1.0215709
8,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,957467.0,11997.0,416668,45.448,0.03294,2.051,20.003,15.995,19.996,829809,1536503,4530740,9997851,16894903,829809,1536503,9997851,4530740,1.0218474
9,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,973345.0,11986.0,528443,45.411,0.04157,2.048,19.995,15.996,20.006,828934,1537311,4532396,10003086,16901727,828934,1537311,10003086,4532396,1.0217607
10,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,958320.0,11591.0,661752,45.439,0.0333,2.046,19.974,15.993,19.999,828019,1535287,4530267,9999516,16893089,828019,1535287,9999516,4530267,1.0219187
11,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,954413.0,11590.0,148650,45.407,0.03167,2.048,19.992,16.004,20.003,828471,1538930,4530426,10001329,16899156,828471,1538930,10001329,4530426,1.0214049
12,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,968199.0,11948.0,735205,45.395,0.0382,2.043,20.007,15.997,19.997,826711,1537721,4534327,9998670,16897429,826711,1537721,9998670,4534327,1.0211787
13,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,961342.0,11786.0,913690,45.373,0.03451,2.047,19.99,15.997,20.009,828256,1537461,4529319,10004304,16899340,828256,1537461,10004304,4529319,1.0209672
14,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,967661.0,11519.0,137714,45.397,0.03813,2.049,20.005,15.997,19.995,828609,1534470,4531038,9997535,16891652,828609,1534470,9997535,4531038,1.021282
