,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,832314.0,3310.0,582297,34.76,0.01596,2.963,20.007,16.009,19.997,1389165,2331395,4643910,9998680,18363150,1389165,2331395,9998680,4643910,0.88910717
1,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,866761.0,3629.0,140049,34.765,0.01813,2.966,20.004,16.005,19.997,1390989,2329050,4645202,9998545,18363786,1390989,2329050,9998545,4645202,0.8892892
2,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,861717.0,3551.0,315351,34.755,0.01773,2.965,20.002,15.998,19.997,1390511,2337247,4637492,9998263,18363513,1390511,2337247,9998263,4637492,0.88910174
3,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,815486.0,3351.0,165925,34.772,0.01509,2.96,20.011,15.997,19.993,1388276,2333005,4639371,9996526,18357178,1388276,2333005,9996526,4639371,0.8894764
4,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,787928.0,3193.0,322268,34.753,0.01392,2.962,20.001,15.998,20.008,1389094,2329111,4641953,10004239,18364397,1389094,2329111,10004239,4641953,0.88933754
5,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,863171.0,3573.0,180439,34.725,0.01785,2.957,20.004,16.0,19.999,1386713,2334772,4638723,9999456,18359664,1386713,2334772,9999456,4638723,0.8887507
6,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,843629.0,3477.0,886017,34.775,0.01654,2.955,20.008,16.004,19.996,1386257,2324911,4645934,9997765,18354867,1386257,2324911,9997765,4645934,0.88955957
7,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,706889.0,2922.0,271793,34.731,0.01164,2.961,20.007,16.002,19.997,1388603,2331982,4638952,9998478,18358015,1388603,2331982,9998478,4638952,0.8888064
8,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,833677.0,3371.0,365547,34.748,0.01603,2.961,20.009,16.002,19.989,1388403,2333210,4639875,9994630,18356118,1388403,2333210,9994630,4639875,0.8891658
9,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,163579.0,647.0,146442,34.752,0.00625,2.959,20.01,16.007,19.999,1386851,2333317,4642388,9999332,18361888,1386851,2333317,9999332,4642388,0.88911164
10,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,839094.0,3523.0,118099,34.75,0.01629,2.962,20.004,15.998,20.001,1389267,2325453,4651635,10000465,18366820,1389267,2325453,10000465,4651635,0.8892986
11,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,933674.0,3875.0,839517,34.773,0.02707,2.961,20.006,15.998,19.998,1387639,2332945,4636564,9998863,18356011,1387639,2332945,9998863,4636564,0.88949525
12,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,866431.0,3697.0,127004,34.762,0.01808,2.965,20.003,16.001,19.999,1390509,2335449,4638774,9999279,18364011,1390509,2335449,9999279,4638774,0.8891642
13,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,772746.0,3143.0,737134,34.728,0.0135,2.958,20.005,16.012,20.002,1387642,2337418,4634411,10001196,18360667,1387642,2337418,10001196,4634411,0.88852876
14,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,876184.0,3637.0,234189,34.784,0.01892,2.97,19.981,15.987,20.006,1393115,2324968,4631439,10002777,18352299,1393115,2324968,10002777,4631439,0.8893777
15,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,848843.0,3495.0,458535,34.741,0.01695,2.957,19.988,15.998,20.004,1386949,2328550,4638097,10001959,18355555,1386949,2328550,10001959,4638097,0.8889217
16,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,865609.0,3573.0,112632,34.741,0.01803,2.967,19.996,15.999,19.997,1390997,2336096,4639388,9998433,18364914,1390997,2336096,9998433,4639388,0.8887682
17,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,840252.0,3487.0,256041,34.765,0.01637,2.963,19.988,15.999,20.003,1389976,2331681,4636815,10001330,18359802,1389976,2331681,10001330,4636815,0.8892504
18,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,814474.0,3250.0,904314,34.759,0.01508,2.961,19.995,16.0,20.004,1387906,2330013,4640181,10001819,18359919,1387906,2330013,10001819,4640181,0.88932216
19,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,854147.0,3485.0,84508,34.724,0.01717,2.968,19.998,15.999,19.995,1392147,2338850,4638689,9997701,18367387,1392147,2338850,9997701,4638689,0.8887382
20,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,802627.0,3287.0,597090,34.795,0.01453,2.959,19.998,15.997,19.997,1387339,2328092,4647477,9998509,18361417,1387339,2328092,9998509,4647477,0.88965076
21,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,444254.0,1822.0,550921,34.725,0.00795,2.959,20.002,15.997,19.992,1387188,2330854,4638241,9995771,18352054,1387188,2330854,9995771,4638241,0.8885971
22,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,827295.0,3468.0,230173,34.757,0.01565,2.961,19.995,15.997,19.996,1388338,2330005,4638646,9997890,18354879,1388338,2330005,9997890,4638646,0.88950807
23,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,769999.0,3072.0,931526,34.729,0.01335,2.965,19.995,16.007,20.002,1390338,2332719,4643690,10001000,18367747,1390338,2332719,10001000,4643690,0.888781
24,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,844156.0,3434.0,38029,34.766,0.01656,2.96,20.016,16.003,20.002,1387500,2334312,4638211,10001206,18361229,1387500,2334312,10001206,4638211,0.8891838
25,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,873609.0,3643.0,952609,34.783,0.01861,2.961,20.011,16.006,20.002,1387983,2331356,4643504,10000840,18363683,1387983,2331356,10000840,4643504,0.8895245
26,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,830030.0,3405.0,759325,34.712,0.01587,2.963,19.997,15.99,20.008,1389093,2333196,4638524,10004017,18364830,1389093,2333196,10004017,4638524,0.8886203
27,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,886022.0,3559.0,684554,34.739,0.01994,2.961,20.0,16.002,19.991,1388468,2322472,4642914,9995741,18349595,1388468,2322472,9995741,4642914,0.88903487
28,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,786200.0,3267.0,803944,34.749,0.01391,2.954,20.005,16.005,19.993,1384648,2335319,4643885,9996530,18360382,1384648,2335319,9996530,4643885,0.8891112
29,seychelles,1000000,1000,2020-01-01,2020-12-31,hybrid,882340.0,3612.0,445748,34.739,0.01951,2.957,20.003,15.993,20.0,1385967,2332503,4641373,9999914,18359757,1385967,2332503,9999914,4641373,0.8887047
