,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,836305.0,1188.0,855119,23.694,0.01631,4.945,20.006,16.006,19.998,2454001,3820402,3356133,9999045,19629581,2454001,3820402,9999045,3356133,0.7537406
1,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,880825.0,1192.0,178595,23.686,0.01955,4.935,20.008,15.999,19.999,2449117,3814502,3362076,9999496,19625191,2449117,3814502,9999496,3362076,0.7533402
2,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,897367.0,1167.0,653383,23.697,0.02142,4.934,20.006,15.992,19.999,2448459,3810744,3356978,9999374,19615555,2448459,3810744,9999374,3356978,0.7536735
3,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,577510.0,856.0,341025,23.723,0.00918,4.94,19.999,16.001,20.002,2451248,3808890,3362991,10000798,19623927,2451248,3808890,10000798,3362991,0.75404185
4,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,859471.0,1216.0,592142,23.708,0.01782,4.939,19.995,15.995,20.003,2451290,3807641,3365398,10001601,19625930,2451290,3807641,10001601,3365398,0.7539676
5,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,567968.0,794.0,901668,23.676,0.00906,4.933,20.003,16.0,19.993,2447981,3814282,3358896,9996498,19617657,2447981,3814282,9996498,3358896,0.7533262
6,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,886901.0,1192.0,921409,23.682,0.02028,4.93,19.996,15.997,19.997,2446804,3813319,3358505,9998548,19617176,2446804,3813319,9998548,3358505,0.75357926
7,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,873355.0,1207.0,953717,23.711,0.0189,4.934,19.994,15.999,19.996,2448696,3808493,3357692,9998169,19613050,2448696,3808493,9998169,3357692,0.7537313
8,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,728043.0,1036.0,551183,23.7,0.012,4.925,20.011,15.984,20.001,2444352,3805275,3359117,10000492,19609236,2444352,3805275,10000492,3359117,0.7537708
9,sierra leone,1000000,1000,2020-01-01,2020-12-31,hybrid,784314.0,1091.0,389451,23.696,0.01375,4.932,20.006,15.991,20.0,2447687,3813449,3360647,9999767,19621550,2447687,3813449,9999767,3360647,0.75364935
