,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,938826.0,9401.0,71854,42.984,0.03072,1.731,19.986,15.999,19.994,607707,1618761,4639885,9997045,16863398,607707,1618761,9997045,4639885,0.99365306
1,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,920636.0,9363.0,469935,42.977,0.02676,1.725,20.015,16.001,19.995,605535,1611712,4648302,9997643,16863192,605535,1611712,9997643,4648302,0.99362785
2,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,939227.0,9375.0,313374,42.975,0.03098,1.726,19.985,15.999,20.005,606052,1609818,4647928,10002720,16866518,606052,1609818,10002720,4647928,0.9935182
3,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,947413.0,9616.0,547831,43.004,0.03352,1.728,20.005,15.997,20.002,605924,1615297,4642905,10000850,16864976,605924,1615297,10000850,4642905,0.9938365
4,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,939100.0,9411.0,658138,42.939,0.03095,1.723,20.021,16.0,19.995,604679,1621048,4646436,9997333,16869496,604679,1621048,9997333,4646436,0.99323165
5,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,940725.0,9543.0,131206,43.004,0.03136,1.724,20.001,16.0,20.004,606164,1612695,4645988,10001877,16866724,606164,1612695,10001877,4645988,0.9939593
6,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,946434.0,9560.0,177763,42.979,0.03329,1.723,20.001,16.006,19.999,605573,1612701,4644142,9999472,16861888,605573,1612701,9999472,4644142,0.9934774
7,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,912343.0,8984.0,291006,42.977,0.02528,1.725,20.007,15.995,19.997,605843,1616509,4645251,9998671,16866274,605843,1616509,9998671,4645251,0.99354243
8,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,923530.0,9203.0,481313,42.952,0.02729,1.726,19.984,16.001,20.001,607268,1613937,4646983,10000483,16868671,607268,1613937,10000483,4646983,0.9929341
9,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,933618.0,9295.0,720752,42.983,0.02943,1.726,20.009,16.007,20.005,605334,1608672,4650685,10002598,16867289,605334,1608672,10002598,4650685,0.9933794
10,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,947221.0,9472.0,813979,43.016,0.03335,1.724,20.007,15.992,19.995,606150,1612526,4640818,9997513,16857007,606150,1612526,9997513,4640818,0.9938335
11,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,955429.0,9669.0,545756,43.008,0.03693,1.725,20.006,16.004,19.995,605588,1611515,4646845,9997686,16861634,605588,1611515,9997686,4646845,0.9939265
12,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,949754.0,9674.0,863660,42.995,0.03431,1.725,19.993,15.995,19.995,605748,1612324,4642104,9997572,16857748,605748,1612324,9997572,4642104,0.99377584
13,switzerland,1000000,1000,2020-01-01,2020-12-31,hybrid,950023.0,9615.0,676278,42.941,0.03456,1.728,20.016,15.993,20.001,606779,1614929,4647641,10000396,16869745,606779,1614929,10000396,4647641,0.99321526
