,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,851021.0,1024.0,583665,22.665,0.02034,3.934,19.99,16.0,19.999,1925328,3913482,3160485,9999377,18998672,1925328,3913482,9999377,3160485,0.7327272
1,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,843287.0,1019.0,252583,22.649,0.0196,3.927,20.004,16.006,20.009,1921911,3916452,3165501,10004364,19008228,1921911,3916452,10004364,3165501,0.7326263
2,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,765375.0,981.0,625986,22.669,0.01526,3.935,20.007,16.001,20.002,1926072,3919829,3162132,10001229,19009262,1926072,3919829,10001229,3162132,0.73303926
3,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,873180.0,1040.0,316403,22.675,0.02262,3.933,19.999,15.999,19.992,1924882,3913364,3158089,9995917,18992252,1924882,3913364,9995917,3158089,0.7330518
4,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,882233.0,1066.0,902190,22.668,0.02349,3.939,19.99,15.998,20.002,1927461,3916268,3155170,10000951,18999850,1927461,3916268,10000951,3155170,0.7329743
5,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,853731.0,1071.0,836245,22.652,0.02063,3.932,20.011,16.004,19.992,1923847,3925789,3156464,9996057,19002157,1923847,3925789,9996057,3156464,0.7327353
6,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,643958.0,808.0,870855,22.665,0.01171,3.931,19.992,15.998,20.006,1924328,3923224,3156923,10003183,19007658,1924328,3923224,10003183,3156923,0.7329514
7,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,606874.0,723.0,467945,22.658,0.01097,3.93,20.014,16.008,19.999,1923515,3923671,3160204,9999372,19006762,1923515,3923671,9999372,3160204,0.73299295
8,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,805195.0,919.0,335119,22.658,0.01708,3.941,20.002,16.0,20.005,1929347,3923594,3159189,10002600,19014730,1929347,3923594,10002600,3159189,0.7328006
9,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,637438.0,827.0,668888,22.627,0.01161,3.933,20.007,16.008,19.989,1924270,3919601,3158165,9994707,18996743,1924270,3919601,9994707,3158165,0.7325272
10,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,818201.0,936.0,134335,22.673,0.01796,3.927,19.986,15.999,20.004,1921158,3906912,3165521,10002082,18995673,1921158,3906912,10002082,3165521,0.73327875
11,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,762234.0,976.0,47584,22.663,0.01517,3.934,20.001,16.007,19.999,1924854,3920372,3158234,9999321,19002781,1924854,3920372,9999321,3158234,0.7328636
12,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,705093.0,843.0,426324,22.649,0.01318,3.936,19.991,15.999,20.007,1926501,3926969,3153226,10003290,19009986,1926501,3926969,10003290,3153226,0.73285085
13,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,663876.0,886.0,285093,22.66,0.01217,3.928,20.002,16.0,20.0,1922069,3913701,3161921,10000055,18997746,1922069,3913701,10000055,3161921,0.73321
14,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,814773.0,1002.0,802100,22.678,0.01775,3.935,19.998,16.002,19.998,1925542,3915067,3164424,9998800,19003833,1925542,3915067,9998800,3164424,0.73318577
15,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,491712.0,625.0,390674,22.644,0.00924,3.938,20.011,16.005,20.001,1926547,3927151,3159707,10000631,19014036,1926547,3927151,10000631,3159707,0.73285824
16,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,841100.0,991.0,279971,22.666,0.0195,3.934,20.007,16.001,20.01,1925539,3922360,3160487,10004966,19013352,1925539,3922360,10004966,3160487,0.73290706
17,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,766273.0,948.0,64220,22.647,0.01529,3.944,19.995,16.004,20.001,1930106,3910000,3165273,10000386,19005765,1930106,3910000,10000386,3165273,0.7329148
18,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,848921.0,1042.0,424536,22.643,0.02009,3.934,20.005,16.004,20.005,1925547,3925453,3158563,10002471,19012034,1925547,3925453,10002471,3158563,0.73270416
19,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,650811.0,898.0,367450,22.686,0.01185,3.934,19.994,15.986,19.999,1924993,3907585,3160677,9999564,18992819,1924993,3907585,9999564,3160677,0.73318636
20,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,798626.0,968.0,100313,22.643,0.01674,3.938,19.996,16.004,19.994,1926895,3925538,3156855,9996887,19006175,1926895,3925538,9996887,3156855,0.7325003
21,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,629810.0,796.0,45891,22.655,0.01139,3.934,19.992,15.996,20.005,1925858,3918211,3160869,10002427,19007365,1925858,3918211,10002427,3160869,0.7330377
22,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,623103.0,799.0,748960,22.7,0.01129,3.928,20.004,15.989,20.005,1921773,3917187,3159761,10002370,19001091,1921773,3917187,10002370,3159761,0.7333348
23,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,789037.0,963.0,975991,22.661,0.01641,3.929,20.007,15.999,19.995,1922120,3918937,3161926,9997575,19000558,1922120,3918937,9997575,3161926,0.7327486
24,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,761834.0,986.0,153322,22.636,0.01513,3.936,20.004,15.989,19.996,1926102,3919075,3152498,9998141,18995816,1926102,3919075,9998141,3152498,0.7325064
25,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,844522.0,1036.0,177365,22.694,0.01975,3.938,20.001,16.009,19.998,1926685,3917215,3170572,9999154,19013626,1926685,3917215,9999154,3170572,0.73364806
26,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,837681.0,1015.0,361172,22.654,0.01917,3.924,20.01,15.995,20.001,1920209,3927916,3157932,10000400,19006457,1920209,3927916,10000400,3157932,0.7328506
27,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,828000.0,968.0,708470,22.647,0.01862,3.938,20.002,15.993,19.998,1926786,3921518,3153421,9998906,19000631,1926786,3921518,9998906,3153421,0.73262525
28,tanzania,1000000,1000,2020-01-01,2020-12-31,hybrid,826900.0,1022.0,593716,22.648,0.01849,3.939,19.983,15.977,19.997,1927529,3912579,3158549,9998690,18997347,1927529,3912579,9998690,3158549,0.73286396
